lad,reports,unique_users,average_per_user
E06000001,4,2,2.0
E06000002,3,3,1.0
E06000003,5,3,1.6666666666666667
E06000004,4,4,1.0
E06000005,1,1,1.0
E06000006,6,4,1.5
E06000007,12,10,1.2
E06000008,44,36,1.2222222222222223
E06000009,19,15,1.2666666666666666
E06000010,5,5,1.0
E06000011,12,9,1.3333333333333333
E06000012,2,2,1.0
E06000013,1,1,1.0
E06000014,3,3,1.0
E06000015,2,2,1.0
E06000016,10,7,1.4285714285714286
E06000017,1,1,1.0
E06000018,7,7,1.0
E06000019,14,9,1.5555555555555556
E06000020,11,8,1.375
E06000021,30,16,1.875
E06000022,12,7,1.7142857142857142
E06000023,54,27,2.0
E06000024,6,5,1.2
E06000025,11,9,1.2222222222222223
E06000026,11,6,1.8333333333333333
E06000027,12,5,2.4
E06000030,17,12,1.4166666666666667
E06000031,43,21,2.0476190476190474
E06000032,19,12,1.5833333333333333
E06000033,9,7,1.2857142857142858
E06000034,3,3,1.0
E06000035,2,2,1.0
E06000036,8,8,1.0
E06000037,9,8,1.125
E06000038,22,18,1.2222222222222223
E06000039,4,4,1.0
E06000040,11,11,1.0
E06000041,10,7,1.4285714285714286
E06000042,21,13,1.6153846153846154
E06000043,22,16,1.375
E06000044,3,3,1.0
E06000045,201,118,1.7033898305084745
E06000046,11,5,2.2
E06000047,21,14,1.5
E06000049,43,25,1.72
E06000050,19,14,1.3571428571428572
E06000051,8,8,1.0
E06000052,21,17,1.2352941176470589
E06000054,33,16,2.0625
E06000055,9,8,1.125
E06000056,22,17,1.2941176470588236
E06000057,38,28,1.3571428571428572
E06000058,43,14,3.0714285714285716
E06000059,7,7,1.0
E06000060,47,36,1.3055555555555556
E07000008,45,22,2.0454545454545454
E07000009,4,3,1.3333333333333333
E07000010,11,8,1.375
E07000011,10,9,1.1111111111111112
E07000012,19,16,1.1875
E07000026,2,2,1.0
E07000027,7,3,2.3333333333333335
E07000028,1,1,1.0
E07000029,10,6,1.6666666666666667
E07000030,2,2,1.0
E07000031,12,6,2.0
E07000032,7,6,1.1666666666666667
E07000033,4,3,1.3333333333333333
E07000034,7,5,1.4
E07000035,3,3,1.0
E07000036,8,8,1.0
E07000037,4,3,1.3333333333333333
E07000038,6,5,1.2
E07000039,4,3,1.3333333333333333
E07000040,3,2,1.5
E07000041,4,4,1.0
E07000042,2,2,1.0
E07000043,9,8,1.125
E07000044,14,7,2.0
E07000045,2,2,1.0
E07000046,10,6,1.6666666666666667
E07000047,3,3,1.0
E07000061,6,6,1.0
E07000062,5,3,1.6666666666666667
E07000063,5,3,1.6666666666666667
E07000064,7,6,1.1666666666666667
E07000065,13,10,1.3
E07000066,7,5,1.4
E07000067,12,5,2.4
E07000068,16,5,3.2
E07000069,7,5,1.4
E07000070,15,11,1.3636363636363635
E07000071,13,11,1.1818181818181819
E07000072,8,7,1.1428571428571428
E07000073,7,5,1.4
E07000074,2,2,1.0
E07000075,3,2,1.5
E07000076,3,3,1.0
E07000077,2,2,1.0
E07000078,28,20,1.4
E07000079,5,3,1.6666666666666667
E07000080,2,2,1.0
E07000081,8,5,1.6
E07000082,3,3,1.0
E07000083,5,5,1.0
E07000084,17,12,1.4166666666666667
