period,LAD,report_count,user_count,average
2017-11,,1,1,1.0
2017-11,E06000001,33,16,2.0625
2017-11,E06000002,15,8,1.875
2017-11,E06000003,11,9,1.2222222222222223
2017-11,E06000004,55,33,1.6666666666666667
2017-11,E06000005,8,6,1.3333333333333333
2017-11,E06000006,15,13,1.1538461538461537
2017-11,E06000007,12,11,1.0909090909090908
2017-11,E06000008,34,20,1.7
2017-11,E06000009,13,11,1.1818181818181819
2017-11,E06000010,159,24,6.625
2017-11,E06000011,5,5,1.0
2017-11,E06000012,4,4,1.0
2017-11,E06000013,7,6,1.1666666666666667
2017-11,E06000014,11,9,1.2222222222222223
2017-11,E06000015,15,13,1.1538461538461537
2017-11,E06000016,24,19,1.263157894736842
2017-11,E06000017,10,5,2.0
2017-11,E06000018,28,16,1.75
2017-11,E06000019,18,13,1.3846153846153846
2017-11,E06000020,2,2,1.0
2017-11,E06000021,28,23,1.2173913043478262
2017-11,E06000022,29,21,1.380952380952381
2017-11,E06000023,491,307,1.5993485342019544
2017-11,E06000024,38,26,1.4615384615384615
2017-11,E06000025,62,34,1.8235294117647058
2017-11,E06000026,11,10,1.1
2017-11,E06000027,12,10,1.2
2017-11,E06000030,50,36,1.3888888888888888
2017-11,E06000031,76,23,3.3043478260869565
2017-11,E06000032,71,37,1.9189189189189189
2017-11,E06000033,18,7,2.5714285714285716
2017-11,E06000034,16,14,1.1428571428571428
2017-11,E06000035,31,24,1.2916666666666667
2017-11,E06000036,26,19,1.368421052631579
2017-11,E06000037,16,14,1.1428571428571428
2017-11,E06000038,73,46,1.5869565217391304
2017-11,E06000039,29,19,1.5263157894736843
2017-11,E06000040,47,34,1.3823529411764706
2017-11,E06000041,52,40,1.3
2017-11,E06000042,5,5,1.0
2017-11,E06000043,48,38,1.263157894736842
2017-11,E06000044,7,7,1.0
2017-11,E06000045,106,51,2.0784313725490198
2017-11,E06000046,6,4,1.5
2017-11,E06000047,65,27,2.4074074074074074
2017-11,E06000049,146,67,2.1791044776119404
2017-11,E06000050,48,33,1.4545454545454546
2017-11,E06000051,39,15,2.6
2017-11,E06000052,74,54,1.3703703703703705
2017-11,E06000054,15,13,1.1538461538461537
2017-11,E06000055,27,14,1.9285714285714286
2017-11,E06000056,14,14,1.0
2017-11,E06000057,28,19,1.4736842105263157
2017-11,E06000058,20,18,1.1111111111111112
2017-11,E06000059,27,21,1.2857142857142858
2017-11,E07000004,40,32,1.25
2017-11,E07000005,21,15,1.4
2017-11,E07000006,36,26,1.3846153846153846
2017-11,E07000007,53,39,1.358974358974359
2017-11,E07000008,21,16,1.3125
2017-11,E07000009,6,6,1.0
2017-11,E07000010,8,4,2.0
2017-11,E07000011,13,10,1.3
2017-11,E07000012,10,10,1.0
2017-11,E07000026,6,6,1.0
2017-11,E07000027,8,1,8.0
2017-11,E07000028,9,6,1.5
2017-11,E07000029,32,25,1.28
