lad,reports,unique_users,average_per_user
E06000001,2210,626,3.5303514376996805
E06000002,1156,488,2.3688524590163933
E06000003,1581,655,2.4137404580152673
E06000004,4149,1433,2.895324494068388
E06000005,1818,419,4.3389021479713605
E06000006,1631,618,2.6391585760517797
E06000007,2919,1188,2.457070707070707
E06000008,4842,1591,3.0433689503456947
E06000009,2269,917,2.474372955288986
E06000010,4417,1349,3.274277242401779
E06000011,3564,1307,2.7268553940321345
E06000012,991,441,2.247165532879819
E06000013,1970,656,3.0030487804878048
E06000014,2346,795,2.950943396226415
E06000015,3326,1078,3.085343228200371
E06000016,2957,1247,2.371291098636728
E06000017,3352,1296,2.5864197530864197
E06000018,3526,1042,3.383877159309021
E06000019,5177,1461,3.543463381245722
E06000020,2199,753,2.9203187250996017
E06000021,5831,1683,3.4646464646464645
E06000022,40447,12862,3.1446897838594308
E06000023,47388,18265,2.594470298384889
E06000024,4161,1572,2.6469465648854964
E06000025,6131,2029,3.0216855593888616
E06000026,3602,1417,2.5419901199717714
E06000027,1596,637,2.5054945054945055
E06000030,3104,1356,2.2890855457227137
E06000031,16591,5176,3.205370942812983
E06000032,9298,1676,5.547732696897374
E06000033,2716,793,3.4249684741488022
E06000034,2045,673,3.038632986627043
E06000035,4549,1459,3.117888965044551
E06000036,3030,1108,2.734657039711191
E06000037,3536,1217,2.905505341002465
E06000038,7547,2086,3.617929050814957
E06000039,2963,871,3.401836969001148
E06000040,4406,1616,2.7264851485148514
E06000041,7447,1951,3.8170169144028705
E06000042,4197,1592,2.6363065326633164
E06000043,5829,1930,3.0202072538860105
E06000044,1696,991,1.7114026236125126
E06000045,14764,4641,3.181210945916828
E06000046,20197,1812,11.146247240618102
E06000047,5357,1776,3.016328828828829
E06000049,26864,3220,8.342857142857143
E06000050,4311,1686,2.5569395017793592
E06000051,5330,1751,3.043974871501999
E06000052,8621,2895,2.977892918825561
E06000053,1,1,1.0
E06000054,4424,2048,2.16015625
E06000055,3112,1146,2.7155322862129143
E06000056,6315,2283,2.7660972404730617
E06000057,5388,1824,2.9539473684210527
E06000058,6340,1759,3.6043206367254124
E06000059,4586,1898,2.41622760800843
E06000060,97696,35391,2.7604758271877032
E07000008,4744,1393,3.4055994256999282
E07000009,894,440,2.0318181818181817
E07000010,1146,430,2.6651162790697676
E07000011,2166,1162,1.8640275387263339
E07000012,3836,1690,2.2698224852071007
E07000026,1063,452,2.351769911504425
E07000027,984,318,3.0943396226415096
E07000028,1008,401,2.513715710723192
E07000029,2016,771,2.614785992217899
E07000030,634,272,2.3308823529411766
E07000031,2025,806,2.5124069478908186
E07000032,1990,803,2.4782067247820674
E07000033,1616,593,2.725126475548061
E07000034,2317,528,4.388257575757576
E07000035,1565,532,2.941729323308271
E07000036,2915,892,3.2679372197309418
E07000037,1285,592,2.170608108108108
E07000038,3246,744,4.362903225806452
E07000039,2224,812,2.7389162561576357
E07000040,2408,900,2.6755555555555555
E07000041,1313,563,2.3321492007104796
E07000042,1010,413,2.4455205811138017
E07000043,2387,998,2.3917835671342687
E07000044,1655,618,2.677993527508091
E07000045,2146,970,2.2123711340206187
E07000046,2204,575,3.8330434782608696
E07000047,548,269,2.037174721189591
E07000061,3724,1595,2.334796238244514
E07000062,5209,1919,2.7144346013548724
E07000063,8220,3337,2.4632903805813604
E07000064,11627,4608,2.523220486111111
E07000065,15613,5325,2.932018779342723
E07000066,2626,1275,2.059607843137255
E07000067,1484,772,1.922279792746114
E07000068,1981,528,3.7518939393939394
E07000069,1595,529,3.015122873345936
E07000070,2893,1149,2.517841601392515
E07000071,4807,1485,3.237037037037037
E07000072,2943,1233,2.386861313868613
E07000073,1291,510,2.5313725490196077
E07000074,615,278,2.212230215827338
E07000075,1614,721,2.2385575589459084
E07000076,1619,769,2.105331599479844
E07000077,1489,705,2.1120567375886523
E07000078,6681,1804,3.703436807095344
E07000079,3395,960,3.5364583333333335
E07000080,1898,758,2.503957783641161
E07000081,2296,790,2.9063291139240506
E07000082,2694,964,2.7946058091286305
E07000083,3142,1131,2.778072502210433
E07000084,6176,1606,3.8455790784557906
E07000085,3459,1191,2.9042821158690177
E07000086,2453,959,2.5578727841501565
E07000087,1575,668,2.3577844311377247
E07000088,1113,475,2.343157894736842
E07000089,13943,6258,2.2280281240012783
