period,LAD,SHEF_A_CODE,report_count,user_count,average
2007-7,E06000003,A56,1,1,1.0
2007-7,E06000003,A57,1,1,1.0
2007-7,E06000004,A53,1,1,1.0
2007-7,E06000004,A56,1,1,1.0
2007-7,E06000006,A57,1,1,1.0
2007-7,E06000006,A73,1,1,1.0
2007-7,E06000007,A56,1,1,1.0
2007-7,E06000009,A20,1,1,1.0
2007-7,E06000009,A41,1,1,1.0
2007-7,E06000009,A57,1,1,1.0
2007-7,E06000010,A57,2,2,1.0
2007-7,E06000011,A41,1,1,1.0
2007-7,E06000013,A41,1,1,1.0
2007-7,E06000015,A29,1,1,1.0
2007-7,E06000015,A33,1,1,1.0
2007-7,E06000015,A57,1,1,1.0
2007-7,E06000015,A60,1,1,1.0
2007-7,E06000016,A33,1,1,1.0
2007-7,E06000016,A81,1,1,1.0
2007-7,E06000018,A41,1,1,1.0
2007-7,E06000018,A60,1,1,1.0
2007-7,E06000018,A82,1,1,1.0
2007-7,E06000021,A1,1,1,1.0
2007-7,E06000021,A20,2,1,2.0
2007-7,E06000021,A41,1,1,1.0
2007-7,E06000021,A60,1,1,1.0
2007-7,E06000021,A73,1,1,1.0
2007-7,E06000021,A81,1,1,1.0
2007-7,E06000022,A1,1,1,1.0
2007-7,E06000022,A29,1,1,1.0
2007-7,E06000023,A1,1,1,1.0
2007-7,E06000023,A20,2,2,1.0
2007-7,E06000023,A29,2,2,1.0
2007-7,E06000023,A54,1,1,1.0
2007-7,E06000023,A57,1,1,1.0
2007-7,E06000023,A73,1,1,1.0
2007-7,E06000024,A29,1,1,1.0
2007-7,E06000025,A1,1,1,1.0
2007-7,E06000025,A60,1,1,1.0
2007-7,E06000026,A29,1,1,1.0
2007-7,E06000026,A60,2,2,1.0
2007-7,E06000027,A1,1,1,1.0
2007-7,E06000030,A1,2,2,1.0
2007-7,E06000030,A33,1,1,1.0
2007-7,E06000030,A53,1,1,1.0
2007-7,E06000030,A54,1,1,1.0
2007-7,E06000030,A60,1,1,1.0
2007-7,E06000031,A41,1,1,1.0
2007-7,E06000031,A54,1,1,1.0
2007-7,E06000031,A57,2,1,2.0
2007-7,E06000031,A83,1,1,1.0
2007-7,E06000034,A29,1,1,1.0
2007-7,E06000035,A1,1,1,1.0
2007-7,E06000035,A20,1,1,1.0
2007-7,E06000035,A29,1,1,1.0
2007-7,E06000035,A81,1,1,1.0
2007-7,E06000037,A33,1,1,1.0
2007-7,E06000037,A41,1,1,1.0
2007-7,E06000037,A57,1,1,1.0
2007-7,E06000038,A28,1,1,1.0
2007-7,E06000038,A33,3,3,1.0
2007-7,E06000038,A41,1,1,1.0
2007-7,E06000038,A57,1,1,1.0
2007-7,E06000038,A60,1,1,1.0
2007-7,E06000038,A81,1,1,1.0
2007-7,E06000039,A1,1,1,1.0
2007-7,E06000040,A60,2,2,1.0
2007-7,E06000041,A1,1,1,1.0
2007-7,E06000041,A41,1,1,1.0
2007-7,E06000041,A53,1,1,1.0
2007-7,E06000041,A60,1,1,1.0
2007-7,E06000041,A81,1,1,1.0
2007-7,E06000042,A24,1,1,1.0
2007-7,E06000042,A29,1,1,1.0
2007-7,E06000042,A41,1,1,1.0
2007-7,E06000042,A57,2,2,1.0
2007-7,E06000042,A73,2,2,1.0
2007-7,E06000043,A1,2,2,1.0
2007-7,E06000043,A57,2,2,1.0
2007-7,E06000043,A64,4,3,1.3333333333333333
2007-7,E06000045,A29,1,1,1.0
2007-7,E06000045,A33,2,1,2.0
2007-7,E06000045,A54,1,1,1.0
2007-7,E06000045,A57,1,1,1.0
2007-7,E06000046,A60,1,1,1.0
2007-7,E06000047,A20,1,1,1.0
2007-7,E06000047,A54,1,1,1.0
2007-7,E06000049,A41,1,1,1.0
2007-7,E06000049,A57,1,1,1.0
2007-7,E06000049,A60,1,1,1.0
2007-7,E06000049,A81,1,1,1.0
2007-7,E06000049,A86,1,1,1.0
2007-7,E06000050,A54,1,1,1.0
2007-7,E06000050,A79,1,1,1.0
2007-7,E06000050,A82,1,1,1.0
2007-7,E06000052,A1,3,3,1.0
2007-7,E06000052,A20,1,1,1.0
2007-7,E06000052,A53,1,1,1.0
2007-7,E06000052,A60,1,1,1.0
2007-7,E06000054,A12,1,1,1.0
