lad,SHEF_A_CODE,reports,unique_users,average_per_user
E06000003,A1,1,1,1.0
E06000008,A1,2,2,1.0
E06000009,A1,2,2,1.0
E06000021,A1,1,1,1.0
E06000023,A1,1,1,1.0
E06000024,A1,1,1,1.0
E06000030,A1,1,1,1.0
E06000031,A1,1,1,1.0
E06000042,A1,1,1,1.0
E06000043,A1,1,1,1.0
E06000051,A1,1,1,1.0
E06000056,A1,1,1,1.0
E06000058,A1,1,1,1.0
E06000060,A1,1,1,1.0
E07000008,A1,1,1,1.0
E07000044,A1,1,1,1.0
E07000062,A1,1,1,1.0
E07000071,A1,2,2,1.0
E07000073,A1,1,1,1.0
E07000086,A1,1,1,1.0
E07000099,A1,1,1,1.0
E07000102,A1,1,1,1.0
E07000114,A1,2,2,1.0
E07000120,A1,1,1,1.0
E07000139,A1,1,1,1.0
E07000151,A1,1,1,1.0
E07000189,A1,1,1,1.0
E07000212,A1,2,2,1.0
E07000213,A1,1,1,1.0
E07000225,A1,1,1,1.0
E07000226,A1,2,2,1.0
E07000234,A1,1,1,1.0
E07000239,A1,1,1,1.0
E07000243,A1,22,7,3.142857142857143
E08000010,A1,1,1,1.0
E08000017,A1,1,1,1.0
E08000019,A1,1,1,1.0
E08000026,A1,1,1,1.0
E08000028,A1,1,1,1.0
E08000033,A1,1,1,1.0
E08000035,A1,1,1,1.0
E09000003,A1,1,1,1.0
E09000006,A1,41,40,1.025
E09000008,A1,1,1,1.0
E09000017,A1,2,1,2.0
E09000018,A1,5,3,1.6666666666666667
E09000019,A1,1,1,1.0
E09000022,A1,1,1,1.0
E09000023,A1,1,1,1.0
E09000024,A1,1,1,1.0
E09000026,A1,1,1,1.0
E09000033,A1,1,1,1.0
S12000040,A1,1,1,1.0
S12000047,A1,1,1,1.0
E06000030,A12,1,1,1.0
E06000054,A12,1,1,1.0
E07000036,A12,1,1,1.0
E07000115,A12,1,1,1.0
E07000178,A12,2,2,1.0
E07000189,A12,1,1,1.0
E07000194,A12,1,1,1.0
E07000235,A12,3,1,3.0
E07000237,A12,1,1,1.0
E08000014,A12,1,1,1.0
E08000027,A12,1,1,1.0
E08000034,A12,1,1,1.0
S12000014,A12,1,1,1.0
S12000017,A12,1,1,1.0
S12000029,A12,1,1,1.0
S12000049,A12,1,1,1.0
E09000008,A15,1,1,1.0
E09000010,A15,1,1,1.0
E09000014,A15,2,2,1.0
E09000021,A15,1,1,1.0
E09000023,A15,2,2,1.0
E09000027,A15,2,2,1.0
E09000028,A15,1,1,1.0
E09000030,A15,2,2,1.0
E07000243,A16,5,4,1.25
E09000006,A16,16,16,1.0
E07000177,A17,1,1,1.0
E07000178,A17,1,1,1.0
E07000179,A17,1,1,1.0
E07000180,A17,2,2,1.0
E07000181,A17,1,1,1.0
E07000243,A19,1,1,1.0
E06000045,A2,2,2,1.0
E09000003,A2,50,45,1.1111111111111112
E06000002,A20,1,1,1.0
E06000003,A20,1,1,1.0
E06000008,A20,1,1,1.0
E06000013,A20,1,1,1.0
E06000014,A20,1,1,1.0
E06000031,A20,4,1,4.0
E06000033,A20,1,1,1.0
E06000035,A20,1,1,1.0
E06000045,A20,3,3,1.0
E06000046,A20,1,1,1.0
E06000050,A20,3,1,3.0
E06000058,A20,2,2,1.0
E06000060,A20,1,1,1.0
E07000040,A20,1,1,1.0
E07000078,A20,1,1,1.0
E07000090,A20,1,1,1.0
E07000103,A20,1,1,1.0
E07000106,A20,1,1,1.0
E07000108,A20,1,1,1.0
E07000121,A20,1,1,1.0
E07000124,A20,1,1,1.0
E07000125,A20,1,1,1.0
E07000134,A20,1,1,1.0
E07000144,A20,1,1,1.0
E07000145,A20,1,1,1.0
E07000165,A20,1,1,1.0
E07000172,A20,1,1,1.0
E07000180,A20,2,2,1.0
E07000194,A20,1,1,1.0
E07000241,A20,1,1,1.0
E07000243,A20,22,7,3.142857142857143
E08000003,A20,1,1,1.0
E08000009,A20,1,1,1.0
E08000012,A20,1,1,1.0
E08000017,A20,2,2,1.0
E08000019,A20,3,1,3.0
E08000021,A20,2,1,2.0
E08000024,A20,1,1,1.0
E08000025,A20,1,1,1.0
E08000027,A20,1,1,1.0
E08000030,A20,1,1,1.0
E08000031,A20,1,1,1.0
E08000033,A20,2,2,1.0
E08000034,A20,2,2,1.0
E08000035,A20,2,2,1.0
E09000003,A20,6,4,1.5
S12000014,A20,3,3,1.0
S12000021,A20,1,1,1.0
S12000033,A20,1,1,1.0
S12000036,A20,1,1,1.0
S12000047,A20,3,2,1.5
S12000050,A20,1,1,1.0
W06000005,A20,1,1,1.0
W06000008,A20,1,1,1.0
W06000015,A20,5,2,2.5
W06000019,A20,2,1,2.0
E09000005,A22,29,14,2.0714285714285716
E09000006,A22,139,110,1.2636363636363637
E09000007,A22,12,5,2.4
E09000008,A22,20,10,2.0
E09000009,A22,6,3,2.0
E09000010,A22,2,2,1.0
E09000011,A22,1,1,1.0
E09000012,A22,2,2,1.0
E09000014,A22,13,4,3.25
E09000015,A22,2,2,1.0
E09000016,A22,1,1,1.0
E09000017,A22,3,3,1.0
E09000018,A22,3,3,1.0
E09000019,A22,4,3,1.3333333333333333
E09000022,A22,6,6,1.0
E09000023,A22,2,2,1.0
E09000024,A22,3,2,1.5
E09000026,A22,1,1,1.0
E09000027,A22,1,1,1.0
E09000028,A22,2,2,1.0
E09000030,A22,1,1,1.0
E09000031,A22,2,2,1.0
E09000032,A22,2,2,1.0
E09000033,A22,1,1,1.0
E06000008,A24,1,1,1.0
E06000015,A24,1,1,1.0
E06000019,A24,1,1,1.0
E06000020,A24,1,1,1.0
E06000023,A24,2,2,1.0
E06000031,A24,1,1,1.0
E06000032,A24,1,1,1.0
E06000033,A24,3,3,1.0
E06000035,A24,1,1,1.0
E06000038,A24,1,1,1.0
E06000041,A24,5,3,1.6666666666666667
E06000047,A24,1,1,1.0
E06000054,A24,1,1,1.0
E06000055,A24,2,1,2.0
E06000060,A24,1,1,1.0
E07000008,A24,1,1,1.0
E07000012,A24,3,1,3.0
E07000035,A24,1,1,1.0
E07000040,A24,1,1,1.0
E07000041,A24,1,1,1.0
E07000046,A24,1,1,1.0
E07000070,A24,1,1,1.0
E07000076,A24,1,1,1.0
E07000081,A24,2,1,2.0
E07000087,A24,1,1,1.0
E07000089,A24,1,1,1.0
E07000090,A24,1,1,1.0
E07000093,A24,1,1,1.0
E07000094,A24,1,1,1.0
E07000096,A24,2,1,2.0
E07000098,A24,2,1,2.0
E07000099,A24,1,1,1.0
E07000102,A24,1,1,1.0
E07000103,A24,3,3,1.0
E07000105,A24,1,1,1.0
E07000107,A24,1,1,1.0
E07000110,A24,1,1,1.0
E07000119,A24,1,1,1.0
E07000121,A24,2,2,1.0
E07000123,A24,1,1,1.0
E07000124,A24,1,1,1.0
E07000131,A24,4,4,1.0
E07000137,A24,1,1,1.0
E07000147,A24,1,1,1.0
E07000149,A24,1,1,1.0
E07000151,A24,1,1,1.0
E07000154,A24,1,1,1.0
E07000164,A24,2,2,1.0
E07000167,A24,1,1,1.0
E07000173,A24,1,1,1.0
E07000175,A24,1,1,1.0
E07000177,A24,4,4,1.0
E07000178,A24,3,3,1.0
E07000179,A24,7,7,1.0
E07000180,A24,1,1,1.0
E07000181,A24,3,2,1.5
E07000202,A24,1,1,1.0
E07000220,A24,1,1,1.0
E07000222,A24,1,1,1.0
E07000225,A24,1,1,1.0
E07000243,A24,3,3,1.0
E08000002,A24,1,1,1.0
E08000003,A24,1,1,1.0
E08000008,A24,1,1,1.0
E08000009,A24,1,1,1.0
E08000016,A24,1,1,1.0
E08000017,A24,3,1,3.0
E08000018,A24,1,1,1.0
E08000019,A24,6,6,1.0
E08000023,A24,1,1,1.0
E08000024,A24,1,1,1.0
E08000025,A24,1,1,1.0
E08000027,A24,3,3,1.0
E08000028,A24,2,2,1.0
E08000030,A24,1,1,1.0
E08000033,A24,3,2,1.5
E08000034,A24,1,1,1.0
E08000035,A24,1,1,1.0
E08000036,A24,1,1,1.0
E09000004,A24,1,1,1.0
E09000007,A24,3,1,3.0
E09000009,A24,2,2,1.0
E09000012,A24,1,1,1.0
