period,LAD,SHEF_A_CODE,report_count,user_count,average
2016,E06000001,A1,3,3,1.0
2016,E06000001,A12,1,1,1.0
2016,E06000001,A20,4,4,1.0
2016,E06000001,A24,2,2,1.0
2016,E06000001,A29,36,12,3.0
2016,E06000001,A33,3,3,1.0
2016,E06000001,A41,24,12,2.0
2016,E06000001,A53,5,4,1.25
2016,E06000001,A54,8,5,1.6
2016,E06000001,A56,7,7,1.0
2016,E06000001,A57,11,10,1.1
2016,E06000001,A60,23,14,1.6428571428571428
2016,E06000001,A79,1,1,1.0
2016,E06000001,A81,26,8,3.25
2016,E06000001,A82,1,1,1.0
2016,E06000001,A83,8,6,1.3333333333333333
2016,E06000001,A86,2,2,1.0
2016,E06000002,A1,10,8,1.25
2016,E06000002,A20,1,1,1.0
2016,E06000002,A29,8,7,1.1428571428571428
2016,E06000002,A41,16,8,2.0
2016,E06000002,A53,9,6,1.5
2016,E06000002,A54,10,10,1.0
2016,E06000002,A56,6,5,1.2
2016,E06000002,A57,19,13,1.4615384615384615
2016,E06000002,A60,29,17,1.7058823529411764
2016,E06000002,A73,11,7,1.5714285714285714
2016,E06000002,A79,4,4,1.0
2016,E06000002,A81,24,13,1.8461538461538463
2016,E06000002,A82,1,1,1.0
2016,E06000002,A83,4,3,1.3333333333333333
2016,E06000002,A86,2,2,1.0
2016,E06000003,A12,2,1,2.0
2016,E06000003,A20,6,5,1.2
2016,E06000003,A24,4,4,1.0
2016,E06000003,A29,22,9,2.4444444444444446
2016,E06000003,A33,1,1,1.0
2016,E06000003,A41,11,7,1.5714285714285714
2016,E06000003,A53,3,3,1.0
2016,E06000003,A54,12,8,1.5
2016,E06000003,A56,15,8,1.875
2016,E06000003,A57,9,8,1.125
2016,E06000003,A60,10,8,1.25
2016,E06000003,A73,9,6,1.5
2016,E06000003,A79,7,6,1.1666666666666667
2016,E06000003,A81,15,13,1.1538461538461537
2016,E06000003,A83,3,2,1.5
2016,E06000003,A86,1,1,1.0
2016,E06000004,A1,19,12,1.5833333333333333
2016,E06000004,A12,5,5,1.0
2016,E06000004,A20,8,7,1.1428571428571428
2016,E06000004,A24,15,14,1.0714285714285714
2016,E06000004,A28,3,2,1.5
2016,E06000004,A29,43,26,1.6538461538461537
2016,E06000004,A33,4,4,1.0
2016,E06000004,A41,34,31,1.096774193548387
2016,E06000004,A53,21,17,1.2352941176470589
2016,E06000004,A54,52,41,1.2682926829268293
2016,E06000004,A56,30,26,1.1538461538461537
2016,E06000004,A57,59,45,1.3111111111111111
2016,E06000004,A60,80,45,1.7777777777777777
2016,E06000004,A73,14,13,1.0769230769230769
2016,E06000004,A79,10,8,1.25
2016,E06000004,A81,99,76,1.3026315789473684
2016,E06000004,A82,1,1,1.0
2016,E06000004,A83,9,6,1.5
2016,E06000004,A86,11,9,1.2222222222222223
2016,E06000005,A1,2,2,1.0
2016,E06000005,A20,5,3,1.6666666666666667
2016,E06000005,A24,5,5,1.0
2016,E06000005,A29,57,12,4.75
2016,E06000005,A33,3,3,1.0
2016,E06000005,A41,12,8,1.5
2016,E06000005,A53,1,1,1.0
2016,E06000005,A54,10,8,1.25
2016,E06000005,A56,3,3,1.0
2016,E06000005,A57,19,9,2.111111111111111
2016,E06000005,A60,26,12,2.1666666666666665
2016,E06000005,A73,16,13,1.2307692307692308
2016,E06000005,A79,10,8,1.25
2016,E06000005,A81,5,3,1.6666666666666667
2016,E06000005,A83,1,1,1.0
2016,E06000005,A86,2,2,1.0
2016,E06000006,A1,15,14,1.0714285714285714
2016,E06000006,A12,2,2,1.0
2016,E06000006,A20,3,3,1.0
2016,E06000006,A24,14,11,1.2727272727272727
2016,E06000006,A28,3,2,1.5
2016,E06000006,A29,31,12,2.5833333333333335
2016,E06000006,A41,15,12,1.25
2016,E06000006,A53,6,5,1.2
2016,E06000006,A54,10,8,1.25
2016,E06000006,A56,9,6,1.5
2016,E06000006,A57,9,8,1.125
2016,E06000006,A60,12,10,1.2
2016,E06000006,A73,8,8,1.0
2016,E06000006,A79,2,2,1.0
2016,E06000006,A81,7,7,1.0
2016,E06000006,A83,1,1,1.0
2016,E06000006,A86,2,2,1.0
2016,E06000007,A1,7,7,1.0
2016,E06000007,A12,1,1,1.0
2016,E06000007,A20,2,2,1.0
2016,E06000007,A24,14,14,1.0
2016,E06000007,A29,20,8,2.5
2016,E06000007,A41,36,33,1.0909090909090908
2016,E06000007,A53,10,10,1.0
2016,E06000007,A54,28,24,1.1666666666666667
2016,E06000007,A56,29,14,2.0714285714285716
2016,E06000007,A57,23,16,1.4375
2016,E06000007,A60,48,30,1.6
2016,E06000007,A73,16,7,2.2857142857142856
2016,E06000007,A79,8,7,1.1428571428571428
2016,E06000007,A81,25,19,1.3157894736842106
