lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000002,B1,1,1,1.0
E06000003,B1,1,1,1.0
E06000004,B1,2,2,1.0
E06000005,B1,1,1,1.0
E06000006,B1,3,3,1.0
E06000007,B1,5,5,1.0
E06000008,B1,10,10,1.0
E06000009,B1,9,8,1.125
E06000011,B1,2,2,1.0
E06000012,B1,2,2,1.0
E06000013,B1,2,2,1.0
E06000014,B1,4,4,1.0
E06000015,B1,3,3,1.0
E06000016,B1,4,4,1.0
E06000018,B1,5,5,1.0
E06000019,B1,3,3,1.0
E06000020,B1,2,2,1.0
E06000021,B1,3,3,1.0
E06000022,B1,2,2,1.0
E06000023,B1,19,15,1.2666666666666666
E06000024,B1,9,5,1.8
E06000025,B1,7,7,1.0
E06000026,B1,8,8,1.0
E06000027,B1,8,8,1.0
E06000030,B1,6,5,1.2
E06000031,B1,8,8,1.0
E06000032,B1,12,10,1.2
E06000033,B1,4,3,1.3333333333333333
E06000034,B1,3,3,1.0
E06000035,B1,17,16,1.0625
E06000036,B1,8,7,1.1428571428571428
E06000038,B1,5,5,1.0
E06000039,B1,5,5,1.0
E06000040,B1,4,3,1.3333333333333333
E06000041,B1,3,3,1.0
E06000042,B1,8,7,1.1428571428571428
E06000043,B1,23,21,1.0952380952380953
E06000044,B1,17,11,1.5454545454545454
E06000045,B1,5,5,1.0
E06000046,B1,7,7,1.0
E06000047,B1,2,2,1.0
E06000049,B1,5,5,1.0
E06000050,B1,4,4,1.0
E06000052,B1,15,12,1.25
E06000054,B1,3,3,1.0
E06000055,B1,2,2,1.0
E06000056,B1,4,4,1.0
E06000057,B1,8,8,1.0
E06000058,B1,15,14,1.0714285714285714
E06000059,B1,1,1,1.0
E06000060,B1,13,12,1.0833333333333333
E07000008,B1,19,11,1.7272727272727273
E07000011,B1,3,3,1.0
E07000012,B1,3,3,1.0
E07000027,B1,1,1,1.0
E07000028,B1,3,3,1.0
E07000029,B1,1,1,1.0
E07000031,B1,1,1,1.0
E07000032,B1,4,4,1.0
E07000033,B1,1,1,1.0
E07000034,B1,1,1,1.0
E07000036,B1,1,1,1.0
E07000037,B1,3,3,1.0
E07000038,B1,1,1,1.0
E07000039,B1,1,1,1.0
E07000040,B1,6,4,1.5
E07000041,B1,3,3,1.0
E07000042,B1,1,1,1.0
E07000043,B1,6,6,1.0
E07000044,B1,2,2,1.0
E07000045,B1,3,3,1.0
E07000046,B1,1,1,1.0
E07000047,B1,2,2,1.0
E07000061,B1,1,1,1.0
E07000063,B1,2,2,1.0
E07000065,B1,3,3,1.0
E07000066,B1,8,7,1.1428571428571428
E07000067,B1,1,1,1.0
E07000070,B1,5,5,1.0
E07000071,B1,10,7,1.4285714285714286
E07000072,B1,5,5,1.0
E07000073,B1,2,2,1.0
E07000074,B1,1,1,1.0
E07000076,B1,1,1,1.0
E07000077,B1,2,2,1.0
E07000078,B1,2,2,1.0
E07000081,B1,4,4,1.0
E07000084,B1,8,7,1.1428571428571428
E07000085,B1,6,6,1.0
E07000086,B1,8,7,1.1428571428571428
E07000087,B1,7,6,1.1666666666666667
E07000088,B1,2,2,1.0
E07000089,B1,2,2,1.0
E07000091,B1,8,8,1.0
E07000093,B1,4,4,1.0
E07000095,B1,3,3,1.0
E07000096,B1,7,7,1.0
E07000098,B1,8,8,1.0
E07000099,B1,4,4,1.0
E07000102,B1,6,5,1.2
E07000103,B1,4,4,1.0
E07000105,B1,8,7,1.1428571428571428
E07000106,B1,6,5,1.2
E07000107,B1,1,1,1.0
E07000108,B1,6,6,1.0
E07000109,B1,2,2,1.0
E07000110,B1,5,5,1.0
E07000111,B1,5,5,1.0
E07000112,B1,4,4,1.0
E07000113,B1,3,3,1.0
E07000114,B1,7,5,1.4
E07000115,B1,5,5,1.0
E07000116,B1,1,1,1.0
E07000117,B1,5,5,1.0
E07000118,B1,1,1,1.0
E07000119,B1,5,4,1.25
E07000120,B1,2,2,1.0
E07000122,B1,2,2,1.0
E07000123,B1,2,2,1.0
E07000125,B1,5,4,1.25
E07000126,B1,2,2,1.0
E07000127,B1,2,2,1.0
E07000129,B1,2,2,1.0
E07000131,B1,4,3,1.3333333333333333
E07000132,B1,1,1,1.0
E07000133,B1,3,2,1.5
E07000137,B1,1,1,1.0
E07000138,B1,2,2,1.0
E07000139,B1,1,1,1.0
E07000140,B1,1,1,1.0
E07000141,B1,1,1,1.0
E07000143,B1,1,1,1.0
E07000144,B1,1,1,1.0
E07000145,B1,5,5,1.0
E07000146,B1,1,1,1.0
E07000147,B1,1,1,1.0
E07000148,B1,3,3,1.0
E07000150,B1,2,2,1.0
E07000152,B1,1,1,1.0
E07000153,B1,5,4,1.25
E07000154,B1,13,13,1.0
E07000155,B1,1,1,1.0
E07000156,B1,2,1,2.0
E07000165,B1,3,3,1.0
E07000166,B1,1,1,1.0
E07000168,B1,2,2,1.0
E07000170,B1,1,1,1.0
E07000172,B1,2,2,1.0
E07000173,B1,3,3,1.0
E07000174,B1,2,1,2.0
E07000176,B1,2,2,1.0
E07000177,B1,8,6,1.3333333333333333
E07000178,B1,2,2,1.0
E07000179,B1,6,5,1.2
E07000181,B1,3,2,1.5
E07000188,B1,2,2,1.0
E07000189,B1,6,6,1.0
E07000192,B1,1,1,1.0
E07000193,B1,4,4,1.0
E07000194,B1,17,16,1.0625
E07000195,B1,1,1,1.0
E07000197,B1,2,2,1.0
E07000199,B1,3,3,1.0
E07000202,B1,7,5,1.4
E07000207,B1,4,4,1.0
E07000208,B1,2,2,1.0
E07000209,B1,3,3,1.0
E07000210,B1,4,4,1.0
E07000211,B1,5,5,1.0
E07000212,B1,4,4,1.0
E07000213,B1,3,3,1.0
E07000214,B1,5,5,1.0
E07000215,B1,4,4,1.0
E07000216,B1,2,2,1.0
E07000217,B1,3,3,1.0
E07000219,B1,1,1,1.0
E07000220,B1,2,2,1.0
E07000223,B1,5,5,1.0
E07000224,B1,9,8,1.125
E07000225,B1,5,5,1.0
E07000226,B1,10,7,1.4285714285714286
E07000228,B1,4,4,1.0
E07000229,B1,2,2,1.0
E07000234,B1,2,2,1.0
E07000235,B1,1,1,1.0
E07000236,B1,6,5,1.2
E07000240,B1,9,9,1.0
E07000241,B1,3,3,1.0
E07000242,B1,3,3,1.0
E07000243,B1,17,12,1.4166666666666667
E07000244,B1,3,3,1.0
E07000245,B1,3,3,1.0
E07000246,B1,4,4,1.0
E08000001,B1,3,3,1.0
E08000002,B1,7,7,1.0
E08000003,B1,12,9,1.3333333333333333
E08000004,B1,2,2,1.0
E08000005,B1,5,5,1.0
E08000006,B1,1,1,1.0
E08000007,B1,8,8,1.0
E08000008,B1,2,2,1.0
E08000009,B1,5,4,1.25
E08000010,B1,5,4,1.25
E08000011,B1,1,1,1.0
E08000012,B1,8,6,1.3333333333333333
E08000013,B1,4,4,1.0
E08000015,B1,2,2,1.0
E08000016,B1,8,8,1.0
E08000017,B1,2,2,1.0
E08000018,B1,3,3,1.0
E08000019,B1,9,8,1.125
E08000021,B1,3,3,1.0
E08000022,B1,3,3,1.0
E08000024,B1,7,3,2.3333333333333335
E08000025,B1,31,31,1.0
E08000026,B1,8,8,1.0
E08000027,B1,7,6,1.1666666666666667
E08000028,B1,9,8,1.125
E08000029,B1,3,3,1.0
E08000031,B1,2,2,1.0
E08000032,B1,8,8,1.0
E08000033,B1,3,3,1.0
E08000034,B1,7,7,1.0
E08000035,B1,14,13,1.0769230769230769
E08000036,B1,3,3,1.0
E08000037,B1,2,1,2.0
E09000001,B1,1,1,1.0
E09000002,B1,9,8,1.125
E09000003,B1,144,129,1.1162790697674418
E09000004,B1,6,6,1.0
E09000005,B1,12,9,1.3333333333333333
E09000006,B1,286,264,1.0833333333333333
E09000007,B1,14,8,1.75
E09000008,B1,10,10,1.0
E09000009,B1,21,20,1.05
E09000010,B1,6,6,1.0
E09000011,B1,5,5,1.0
E09000012,B1,4,4,1.0
E09000014,B1,11,7,1.5714285714285714
E09000015,B1,16,14,1.1428571428571428
E09000016,B1,2,2,1.0
E09000017,B1,9,9,1.0
E09000018,B1,21,20,1.05
E09000019,B1,3,2,1.5
E09000020,B1,1,1,1.0
E09000021,B1,6,5,1.2
E09000022,B1,9,9,1.0
E09000023,B1,13,13,1.0
E09000024,B1,9,8,1.125
E09000025,B1,7,6,1.1666666666666667
E09000026,B1,5,5,1.0
E09000027,B1,4,4,1.0
E09000028,B1,10,10,1.0
E09000029,B1,12,11,1.0909090909090908
E09000030,B1,5,4,1.25
E09000031,B1,6,6,1.0
E09000032,B1,6,6,1.0
E09000033,B1,9,7,1.2857142857142858
N09000003,B1,1,1,1.0
