lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000004,B1,2,2,1.0
E06000007,B1,1,1,1.0
E06000009,B1,3,2,1.5
E06000014,B1,3,3,1.0
E06000022,B1,1,1,1.0
E06000023,B1,6,5,1.2
E06000026,B1,1,1,1.0
E06000031,B1,2,2,1.0
E06000032,B1,1,1,1.0
E06000033,B1,2,2,1.0
E06000034,B1,1,1,1.0
E06000035,B1,1,1,1.0
E06000036,B1,2,2,1.0
E06000038,B1,2,2,1.0
E06000039,B1,1,1,1.0
E06000040,B1,1,1,1.0
E06000041,B1,1,1,1.0
E06000044,B1,1,1,1.0
E06000047,B1,2,1,2.0
E06000052,B1,4,4,1.0
E06000054,B1,1,1,1.0
E06000056,B1,3,2,1.5
E06000058,B1,1,1,1.0
E06000060,B1,3,3,1.0
E07000010,B1,1,1,1.0
E07000034,B1,1,1,1.0
E07000045,B1,1,1,1.0
E07000061,B1,1,1,1.0
E07000062,B1,1,1,1.0
E07000063,B1,3,3,1.0
E07000064,B1,1,1,1.0
E07000065,B1,9,8,1.125
E07000070,B1,1,1,1.0
E07000071,B1,1,1,1.0
E07000078,B1,2,2,1.0
E07000079,B1,1,1,1.0
E07000086,B1,1,1,1.0
E07000089,B1,13,13,1.0
E07000092,B1,2,2,1.0
E07000093,B1,2,2,1.0
E07000096,B1,1,1,1.0
E07000098,B1,2,2,1.0
E07000099,B1,2,2,1.0
E07000103,B1,2,2,1.0
E07000108,B1,2,1,2.0
E07000110,B1,1,1,1.0
E07000111,B1,1,1,1.0
E07000112,B1,1,1,1.0
E07000114,B1,4,4,1.0
E07000116,B1,1,1,1.0
E07000134,B1,1,1,1.0
E07000135,B1,1,1,1.0
E07000144,B1,1,1,1.0
E07000153,B1,1,1,1.0
E07000154,B1,3,3,1.0
E07000165,B1,9,9,1.0
E07000177,B1,3,3,1.0
E07000180,B1,1,1,1.0
E07000181,B1,1,1,1.0
E07000189,B1,2,1,2.0
E07000195,B1,2,1,2.0
E07000209,B1,1,1,1.0
E07000211,B1,1,1,1.0
E07000212,B1,2,2,1.0
E07000213,B1,1,1,1.0
E07000214,B1,1,1,1.0
E07000215,B1,1,1,1.0
E07000217,B1,1,1,1.0
E07000220,B1,1,1,1.0
E07000222,B1,1,1,1.0
E07000223,B1,1,1,1.0
E07000228,B1,1,1,1.0
E07000236,B1,2,2,1.0
E07000242,B1,1,1,1.0
E07000243,B1,61,29,2.103448275862069
E07000245,B1,2,2,1.0
E08000003,B1,1,1,1.0
E08000005,B1,1,1,1.0
E08000011,B1,1,1,1.0
E08000019,B1,3,3,1.0
E08000022,B1,1,1,1.0
E08000024,B1,2,2,1.0
E08000026,B1,3,3,1.0
E08000028,B1,1,1,1.0
E08000032,B1,2,1,2.0
E08000034,B1,1,1,1.0
E08000035,B1,1,1,1.0
E08000037,B1,1,1,1.0
E09000001,B1,1,1,1.0
E09000003,B1,15,14,1.0714285714285714
E09000005,B1,2,2,1.0
E09000006,B1,105,99,1.0606060606060606
E09000007,B1,4,2,2.0
E09000008,B1,1,1,1.0
E09000009,B1,3,3,1.0
E09000010,B1,3,3,1.0
E09000013,B1,1,1,1.0
E09000014,B1,1,1,1.0
E09000015,B1,1,1,1.0
E09000016,B1,4,3,1.3333333333333333
E09000017,B1,4,3,1.3333333333333333
E09000018,B1,2,2,1.0
E09000023,B1,19,6,3.1666666666666665
E09000024,B1,5,4,1.25
E09000027,B1,1,1,1.0
E09000028,B1,2,2,1.0
E09000029,B1,2,2,1.0
E09000030,B1,1,1,1.0
E09000031,B1,2,2,1.0
E09000033,B1,1,1,1.0
S12000008,B1,1,1,1.0
S12000011,B1,1,1,1.0
S12000033,B1,1,1,1.0
S12000036,B1,2,2,1.0
S12000039,B1,1,1,1.0
S12000040,B1,1,1,1.0
S12000049,B1,5,4,1.25
W06000004,B1,1,1,1.0
