period,LAD,SHEF_B_CODE,report_count,user_count,average
2018-2,,B1,3,3,1.0
2018-2,,B13,2,2,1.0
2018-2,,B14,1,1,1.0
2018-2,,B15,1,1,1.0
2018-2,,B16,2,2,1.0
2018-2,,B18,3,2,1.5
2018-2,,B19,4,4,1.0
2018-2,,B24,1,1,1.0
2018-2,,B25,29,24,1.2083333333333333
2018-2,,B26,10,7,1.4285714285714286
2018-2,,B28,11,11,1.0
2018-2,,B7,1,1,1.0
2018-2,E06000001,B13,4,4,1.0
2018-2,E06000001,B15,1,1,1.0
2018-2,E06000001,B16,1,1,1.0
2018-2,E06000001,B19,3,3,1.0
2018-2,E06000001,B25,6,6,1.0
2018-2,E06000001,B26,12,7,1.7142857142857142
2018-2,E06000001,B28,6,6,1.0
2018-2,E06000001,B4,1,1,1.0
2018-2,E06000002,B13,5,5,1.0
2018-2,E06000002,B16,2,2,1.0
2018-2,E06000002,B19,2,2,1.0
2018-2,E06000002,B24,1,1,1.0
2018-2,E06000002,B25,6,6,1.0
2018-2,E06000002,B26,3,3,1.0
2018-2,E06000002,B28,3,3,1.0
2018-2,E06000003,B13,1,1,1.0
2018-2,E06000003,B18,2,2,1.0
2018-2,E06000003,B25,2,2,1.0
2018-2,E06000003,B26,2,2,1.0
2018-2,E06000003,B6,1,1,1.0
2018-2,E06000004,B1,2,2,1.0
2018-2,E06000004,B13,3,3,1.0
2018-2,E06000004,B15,1,1,1.0
2018-2,E06000004,B16,4,4,1.0
2018-2,E06000004,B17,1,1,1.0
2018-2,E06000004,B18,3,1,3.0
2018-2,E06000004,B19,3,3,1.0
2018-2,E06000004,B24,1,1,1.0
2018-2,E06000004,B25,8,7,1.1428571428571428
2018-2,E06000004,B26,9,8,1.125
2018-2,E06000004,B27,1,1,1.0
2018-2,E06000004,B28,9,8,1.125
2018-2,E06000004,B6,5,4,1.25
2018-2,E06000005,B18,1,1,1.0
2018-2,E06000005,B19,2,2,1.0
2018-2,E06000005,B24,1,1,1.0
2018-2,E06000005,B25,3,3,1.0
2018-2,E06000005,B26,6,2,3.0
2018-2,E06000006,B1,1,1,1.0
2018-2,E06000006,B13,3,3,1.0
