period,LAD,SHEF_C_CODE,report_count,user_count,average
2012-5,,C2,1,1,1.0
2012-5,,C3,3,3,1.0
2012-5,,C6,3,1,3.0
2012-5,,C7,4,4,1.0
2012-5,E06000001,C3,1,1,1.0
2012-5,E06000001,C7,3,3,1.0
2012-5,E06000002,C7,3,3,1.0
2012-5,E06000002,C8,1,1,1.0
2012-5,E06000003,C5,1,1,1.0
2012-5,E06000004,C7,2,2,1.0
2012-5,E06000005,C7,2,2,1.0
2012-5,E06000005,C8,1,1,1.0
2012-5,E06000006,C5,1,1,1.0
2012-5,E06000006,C6,1,1,1.0
2012-5,E06000007,C3,2,2,1.0
2012-5,E06000007,C5,3,2,1.5
2012-5,E06000007,C7,5,4,1.25
2012-5,E06000008,C3,10,6,1.6666666666666667
2012-5,E06000008,C4,1,1,1.0
2012-5,E06000008,C5,1,1,1.0
2012-5,E06000008,C7,14,11,1.2727272727272727
2012-5,E06000008,C8,2,2,1.0
2012-5,E06000009,C3,2,2,1.0
2012-5,E06000009,C5,1,1,1.0
2012-5,E06000009,C6,1,1,1.0
2012-5,E06000009,C7,10,8,1.25
2012-5,E06000009,C8,1,1,1.0
2012-5,E06000010,C7,1,1,1.0
2012-5,E06000011,C5,1,1,1.0
2012-5,E06000011,C7,31,17,1.8235294117647058
2012-5,E06000011,C8,1,1,1.0
2012-5,E06000012,C3,2,2,1.0
2012-5,E06000012,C7,5,2,2.5
2012-5,E06000013,C7,1,1,1.0
2012-5,E06000014,C2,1,1,1.0
2012-5,E06000014,C5,2,1,2.0
2012-5,E06000014,C7,2,2,1.0
2012-5,E06000015,C3,5,4,1.25
2012-5,E06000015,C4,1,1,1.0
2012-5,E06000015,C5,3,2,1.5
2012-5,E06000015,C7,3,3,1.0
2012-5,E06000015,C8,2,2,1.0
2012-5,E06000016,C5,1,1,1.0
2012-5,E06000016,C6,1,1,1.0
2012-5,E06000016,C7,6,5,1.2
2012-5,E06000016,C8,1,1,1.0
