lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000045,C1,1,1,1.0
E07000046,C1,1,1,1.0
E07000139,C1,1,1,1.0
E07000179,C1,1,1,1.0
E07000180,C1,3,2,1.5
E07000181,C1,1,1,1.0
E07000207,C1,1,1,1.0
E07000209,C1,1,1,1.0
E07000211,C1,1,1,1.0
E07000213,C1,1,1,1.0
E07000217,C1,2,2,1.0
E07000234,C1,2,2,1.0
E08000012,C1,1,1,1.0
E09000006,C1,27,26,1.0384615384615385
E09000011,C1,1,1,1.0
E09000031,C1,1,1,1.0
E06000008,C2,1,1,1.0
E06000009,C2,1,1,1.0
E06000013,C2,1,1,1.0
E06000014,C2,1,1,1.0
E06000015,C2,1,1,1.0
E06000016,C2,1,1,1.0
E06000018,C2,2,2,1.0
E06000019,C2,1,1,1.0
E06000020,C2,1,1,1.0
E06000025,C2,1,1,1.0
E06000030,C2,2,2,1.0
E06000031,C2,5,5,1.0
E06000032,C2,1,1,1.0
E06000033,C2,1,1,1.0
E06000037,C2,1,1,1.0
E06000038,C2,1,1,1.0
E06000040,C2,1,1,1.0
E06000043,C2,2,2,1.0
E06000044,C2,1,1,1.0
E06000045,C2,18,15,1.2
E06000050,C2,1,1,1.0
E06000052,C2,1,1,1.0
E06000055,C2,2,2,1.0
E06000057,C2,1,1,1.0
E06000060,C2,3,3,1.0
E07000008,C2,1,1,1.0
E07000046,C2,1,1,1.0
E07000068,C2,1,1,1.0
E07000071,C2,5,3,1.6666666666666667
E07000078,C2,1,1,1.0
E07000090,C2,1,1,1.0
E07000091,C2,1,1,1.0
E07000092,C2,2,2,1.0
E07000093,C2,1,1,1.0
E07000096,C2,1,1,1.0
E07000110,C2,1,1,1.0
E07000111,C2,2,2,1.0
E07000113,C2,3,3,1.0
E07000131,C2,2,2,1.0
E07000144,C2,1,1,1.0
E07000145,C2,1,1,1.0
E07000146,C2,1,1,1.0
E07000148,C2,2,2,1.0
E07000149,C2,2,2,1.0
E07000165,C2,1,1,1.0
E07000170,C2,1,1,1.0
E07000180,C2,2,2,1.0
E07000181,C2,1,1,1.0
E07000194,C2,1,1,1.0
E07000195,C2,2,1,2.0
E07000202,C2,1,1,1.0
E07000208,C2,1,1,1.0
E07000210,C2,1,1,1.0
E07000213,C2,1,1,1.0
E07000238,C2,1,1,1.0
E07000239,C2,1,1,1.0
E07000240,C2,1,1,1.0
E07000241,C2,1,1,1.0
E08000001,C2,1,1,1.0
E08000017,C2,2,2,1.0
E08000018,C2,2,1,2.0
E08000019,C2,5,2,2.5
E08000025,C2,3,2,1.5
E08000027,C2,1,1,1.0
E08000028,C2,2,2,1.0
E08000029,C2,1,1,1.0
E08000031,C2,1,1,1.0
E08000032,C2,1,1,1.0
E08000033,C2,1,1,1.0
E08000034,C2,1,1,1.0
E08000035,C2,8,5,1.6
E09000003,C2,31,28,1.1071428571428572
E09000005,C2,1,1,1.0
E09000006,C2,114,104,1.0961538461538463
E09000007,C2,2,2,1.0
E09000008,C2,3,2,1.5
E09000009,C2,2,2,1.0
E09000010,C2,3,3,1.0
E09000011,C2,1,1,1.0
E09000012,C2,1,1,1.0
E09000013,C2,1,1,1.0
E09000014,C2,23,6,3.8333333333333335
E09000015,C2,3,2,1.5
E09000016,C2,1,1,1.0
E09000017,C2,1,1,1.0
E09000019,C2,2,2,1.0
E09000021,C2,1,1,1.0
E09000022,C2,1,1,1.0
E09000023,C2,1,1,1.0
E09000024,C2,3,1,3.0
E09000026,C2,1,1,1.0
E09000027,C2,1,1,1.0
E09000028,C2,2,2,1.0
E09000029,C2,1,1,1.0
E09000033,C2,1,1,1.0
N09000003,C2,1,1,1.0
S12000014,C2,1,1,1.0
S12000017,C2,1,1,1.0
S12000019,C2,1,1,1.0
S12000033,C2,1,1,1.0
S12000036,C2,2,2,1.0
S12000047,C2,1,1,1.0
S12000049,C2,2,2,1.0
W06000005,C2,1,1,1.0
