period,LAD,SHEF_C_CODE,report_count,user_count,average
2016,,C1,3,3,1.0
2016,,C2,12,12,1.0
2016,,C3,109,87,1.2528735632183907
2016,,C4,15,9,1.6666666666666667
2016,,C5,42,37,1.135135135135135
2016,,C6,5,5,1.0
2016,,C7,262,192,1.3645833333333333
2016,,C8,22,21,1.0476190476190477
2016,E06000001,C2,4,4,1.0
2016,E06000001,C3,40,17,2.3529411764705883
2016,E06000001,C4,3,3,1.0
2016,E06000001,C5,8,5,1.6
2016,E06000001,C6,5,4,1.25
2016,E06000001,C7,94,42,2.238095238095238
2016,E06000001,C8,10,10,1.0
2016,E06000002,C2,1,1,1.0
2016,E06000002,C3,24,14,1.7142857142857142
2016,E06000002,C5,10,10,1.0
2016,E06000002,C6,9,6,1.5
2016,E06000002,C7,94,45,2.088888888888889
2016,E06000002,C8,16,13,1.2307692307692308
2016,E06000003,C2,6,5,1.2
2016,E06000003,C3,44,20,2.2
2016,E06000003,C4,1,1,1.0
2016,E06000003,C5,12,8,1.5
2016,E06000003,C6,3,3,1.0
2016,E06000003,C7,49,33,1.4848484848484849
2016,E06000003,C8,15,8,1.875
2016,E06000004,C2,21,18,1.1666666666666667
2016,E06000004,C3,75,45,1.6666666666666667
2016,E06000004,C4,7,6,1.1666666666666667
2016,E06000004,C5,52,41,1.2682926829268293
2016,E06000004,C6,21,17,1.2352941176470589
2016,E06000004,C7,292,163,1.7914110429447854
2016,E06000004,C8,49,36,1.3611111111111112
2016,E06000005,C2,5,5,1.0
2016,E06000005,C3,88,29,3.0344827586206895
2016,E06000005,C4,3,3,1.0
2016,E06000005,C5,10,8,1.25
2016,E06000005,C6,1,1,1.0
2016,E06000005,C7,65,30,2.1666666666666665
2016,E06000005,C8,5,5,1.0
2016,E06000006,C2,16,13,1.2307692307692308
2016,E06000006,C3,44,18,2.4444444444444446
2016,E06000006,C4,3,2,1.5
2016,E06000006,C5,10,8,1.25
2016,E06000006,C6,6,5,1.2
2016,E06000006,C7,46,35,1.3142857142857143
2016,E06000006,C8,24,20,1.2
2016,E06000007,C2,19,19,1.0
2016,E06000007,C3,46,19,2.4210526315789473
2016,E06000007,C5,28,24,1.1666666666666667
2016,E06000007,C6,10,10,1.0
2016,E06000007,C7,142,84,1.6904761904761905
2016,E06000007,C8,36,20,1.8
2016,E06000008,C2,5,5,1.0
2016,E06000008,C3,137,70,1.957142857142857
2016,E06000008,C4,1,1,1.0
2016,E06000008,C5,31,24,1.2916666666666667
2016,E06000008,C6,6,5,1.2
2016,E06000008,C7,140,90,1.5555555555555556
2016,E06000008,C8,25,23,1.0869565217391304
2016,E06000009,C2,7,6,1.1666666666666667
2016,E06000009,C3,104,40,2.6
2016,E06000009,C4,1,1,1.0
2016,E06000009,C5,17,15,1.1333333333333333
2016,E06000009,C6,5,5,1.0
2016,E06000009,C7,72,35,2.057142857142857
2016,E06000009,C8,31,20,1.55
2016,E06000010,,9,8,1.125
2016,E06000010,C2,12,7,1.7142857142857142
2016,E06000010,C3,362,72,5.027777777777778
2016,E06000010,C4,107,7,15.285714285714286
2016,E06000010,C5,68,17,4.0
2016,E06000010,C6,26,18,1.4444444444444444
2016,E06000010,C7,477,75,6.36
2016,E06000010,C8,29,27,1.0740740740740742
2016,E06000011,,20,14,1.4285714285714286
2016,E06000011,C1,16,3,5.333333333333333
2016,E06000011,C2,36,9,4.0
2016,E06000011,C3,386,52,7.423076923076923
2016,E06000011,C4,246,6,41.0
2016,E06000011,C5,98,18,5.444444444444445
2016,E06000011,C6,10,4,2.5
2016,E06000011,C7,1155,112,10.3125
2016,E06000011,C8,26,21,1.2380952380952381
2016,E06000012,,2,2,1.0
2016,E06000012,C2,6,5,1.2
2016,E06000012,C3,54,21,2.5714285714285716
2016,E06000012,C4,3,1,3.0
2016,E06000012,C5,9,8,1.125
2016,E06000012,C6,1,1,1.0
2016,E06000012,C7,53,25,2.12
2016,E06000012,C8,15,11,1.3636363636363635
2016,E06000013,C1,1,1,1.0
2016,E06000013,C2,9,5,1.8
2016,E06000013,C3,96,16,6.0
2016,E06000013,C4,14,2,7.0
2016,E06000013,C5,24,7,3.4285714285714284
2016,E06000013,C6,1,1,1.0
2016,E06000013,C7,202,37,5.45945945945946
2016,E06000013,C8,8,8,1.0
2016,E06000014,C2,9,7,1.2857142857142858
2016,E06000014,C3,88,21,4.190476190476191
2016,E06000014,C4,28,6,4.666666666666667
2016,E06000014,C5,32,13,2.4615384615384617
2016,E06000014,C6,11,7,1.5714285714285714
2016,E06000014,C7,185,69,2.681159420289855
2016,E06000014,C8,22,15,1.4666666666666666
2016,E06000015,C2,3,3,1.0
2016,E06000015,C3,53,30,1.7666666666666666
2016,E06000015,C4,1,1,1.0
2016,E06000015,C5,11,10,1.1
2016,E06000015,C6,2,1,2.0
2016,E06000015,C7,83,58,1.4310344827586208
2016,E06000015,C8,15,12,1.25
2016,E06000016,C2,1,1,1.0
2016,E06000016,C3,47,30,1.5666666666666667
2016,E06000016,C4,7,3,2.3333333333333335
2016,E06000016,C5,29,21,1.380952380952381
2016,E06000016,C6,7,6,1.1666666666666667
2016,E06000016,C7,102,65,1.5692307692307692
2016,E06000016,C8,61,55,1.1090909090909091
2016,E06000017,C2,2,2,1.0
2016,E06000017,C3,9,7,1.2857142857142858
2016,E06000017,C4,1,1,1.0
2016,E06000017,C5,6,5,1.2
2016,E06000017,C7,63,25,2.52
2016,E06000017,C8,4,4,1.0
2016,E06000018,C2,13,11,1.1818181818181819
2016,E06000018,C3,173,55,3.1454545454545455
2016,E06000018,C4,23,7,3.2857142857142856
2016,E06000018,C5,42,28,1.5
2016,E06000018,C6,16,7,2.2857142857142856
2016,E06000018,C7,200,82,2.4390243902439024
2016,E06000018,C8,34,28,1.2142857142857142
2016,E06000019,C1,3,3,1.0
2016,E06000019,C2,6,6,1.0
2016,E06000019,C3,31,15,2.066666666666667
2016,E06000019,C5,11,10,1.1
2016,E06000019,C6,2,2,1.0
2016,E06000019,C7,200,94,2.127659574468085
2016,E06000019,C8,7,7,1.0
2016,E06000020,C2,3,3,1.0
2016,E06000020,C3,20,15,1.3333333333333333
2016,E06000020,C4,1,1,1.0
2016,E06000020,C5,9,8,1.125
2016,E06000020,C6,1,1,1.0
2016,E06000020,C7,49,34,1.4411764705882353
2016,E06000020,C8,18,18,1.0
2016,E06000021,C1,1,1,1.0
2016,E06000021,C2,30,22,1.3636363636363635
2016,E06000021,C3,64,45,1.4222222222222223
2016,E06000021,C4,9,6,1.5
2016,E06000021,C5,48,36,1.3333333333333333
2016,E06000021,C6,6,5,1.2
2016,E06000021,C7,190,100,1.9
2016,E06000021,C8,55,41,1.3414634146341464
2016,E06000022,C2,9,9,1.0
2016,E06000022,C3,31,22,1.4090909090909092
2016,E06000022,C4,1,1,1.0
2016,E06000022,C5,16,13,1.2307692307692308
