period,LAD,report_count,user_count,average
2013-10,E06000038,3,3,1.0
2013-10,E06000045,162,122,1.3278688524590163
2013-10,E07000177,64,48,1.3333333333333333
2013-10,E07000178,57,47,1.2127659574468086
2013-10,E07000179,129,104,1.2403846153846154
2013-10,E07000180,58,48,1.2083333333333333
2013-10,E07000181,53,46,1.1521739130434783
2013-10,E07000194,20,14,1.4285714285714286
2013-10,E07000243,190,34,5.588235294117647
2013-10,E09000003,670,492,1.3617886178861789
2013-10,E09000006,848,660,1.284848484848485
