lad,reports,unique_users,average_per_user
E07000061,1256,699,1.7968526466380543
E07000062,1297,745,1.7409395973154362
E07000063,2147,1343,1.5986597170513774
E07000064,2618,1524,1.7178477690288714
E07000065,4818,2471,1.9498178874949412
E07000089,913,689,1.3251088534107403
E07000165,417,337,1.2373887240356083
E07000177,1637,968,1.6911157024793388
E07000178,959,690,1.3898550724637682
E07000179,2075,1240,1.6733870967741935
E07000180,1492,940,1.5872340425531914
E07000181,1438,800,1.7975
E07000218,367,258,1.4224806201550388
E07000219,453,318,1.4245283018867925
E07000220,624,400,1.56
E07000221,960,720,1.3333333333333333
E07000222,949,710,1.3366197183098592
E07000242,2,1,2.0
E07000243,3970,566,7.014134275618375
E09000003,2321,1509,1.538104705102717
E09000006,16103,7755,2.076466795615732
E09000008,1,1,1.0
E09000011,453,345,1.3130434782608695
E09000023,2,2,1.0
