period,LAD,report_count,user_count,average
2016,E06000023,2275,1334,1.7053973013493253
2016,E07000061,627,353,1.7762039660056657
2016,E07000062,549,333,1.6486486486486487
2016,E07000063,943,646,1.4597523219814241
2016,E07000064,1480,934,1.5845824411134903
2016,E07000065,2066,1131,1.8267020335985853
2016,E07000089,1064,811,1.311960542540074
2016,E07000099,2,2,1.0
2016,E07000165,452,383,1.1801566579634464
2016,E07000177,2129,1287,1.6542346542346542
2016,E07000178,1407,915,1.5377049180327869
2016,E07000179,2957,1680,1.7601190476190476
2016,E07000180,2035,1344,1.5141369047619047
2016,E07000181,2208,1310,1.6854961832061068
2016,E07000218,470,334,1.407185628742515
2016,E07000219,725,420,1.7261904761904763
2016,E07000220,528,370,1.427027027027027
2016,E07000221,1283,947,1.35480464625132
2016,E07000222,1176,874,1.345537757437071
2016,E07000243,4459,689,6.471698113207547
2016,E09000006,15823,8133,1.9455305545309234
2016,E09000011,4849,2664,1.8201951951951951
2016,S12000041,292,214,1.3644859813084111
