period,LAD,report_count,user_count,average
2018-1,E06000023,489,334,1.464071856287425
2018-1,E07000089,127,110,1.1545454545454545
2018-1,E07000177,1289,492,2.619918699186992
2018-1,E07000178,671,213,3.1502347417840375
2018-1,E07000179,1451,426,3.4061032863849765
2018-1,E07000180,913,424,2.1533018867924527
2018-1,E07000181,1154,505,2.285148514851485
2018-1,E07000218,30,22,1.3636363636363635
2018-1,E07000219,45,32,1.40625
2018-1,E07000220,44,42,1.0476190476190477
2018-1,E07000221,86,78,1.1025641025641026
2018-1,E07000222,58,53,1.0943396226415094
2018-1,E07000242,57,44,1.2954545454545454
2018-1,E07000243,475,109,4.3577981651376145
2018-1,E09000006,1536,1082,1.4195933456561922
2018-1,E09000011,311,235,1.323404255319149
2018-1,S12000041,27,23,1.173913043478261
