period,LAD,SHEF_A_CODE,report_count,user_count,average
2012,,A29,1,1,1.0
2012,,A41,3,3,1.0
2012,,A47,1,1,1.0
2012,,A54,1,1,1.0
2012,E06000038,A81,6,3,2.0
2012,E06000045,A12,19,11,1.7272727272727273
2012,E06000045,A16,3,2,1.5
2012,E06000045,A2,7,7,1.0
2012,E06000045,A20,66,45,1.4666666666666666
2012,E06000045,A28,3,3,1.0
2012,E06000045,A29,162,137,1.1824817518248176
2012,E06000045,A33,28,24,1.1666666666666667
2012,E06000045,A34,27,22,1.2272727272727273
2012,E06000045,A4,2,2,1.0
2012,E06000045,A41,222,173,1.283236994219653
2012,E06000045,A44,12,11,1.0909090909090908
2012,E06000045,A47,108,69,1.565217391304348
2012,E06000045,A51,2,2,1.0
2012,E06000045,A54,108,98,1.1020408163265305
2012,E06000045,A55,94,73,1.2876712328767124
2012,E06000045,A56,36,28,1.2857142857142858
2012,E06000045,A57,138,121,1.140495867768595
2012,E06000045,A58,1,1,1.0
2012,E06000045,A60,275,207,1.328502415458937
2012,E06000045,A75,8,6,1.3333333333333333
2012,E06000045,A79,41,30,1.3666666666666667
2012,E06000045,A82,40,15,2.6666666666666665
2012,E06000045,A83,35,31,1.1290322580645162
2012,E06000045,A84,1,1,1.0
2012,E06000045,A86,14,14,1.0
2012,E07000177,A60,1,1,1.0
2012,E07000178,A57,1,1,1.0
2012,E07000180,A60,2,1,2.0
2012,E07000194,A1,14,13,1.0769230769230769
2012,E07000194,A20,20,15,1.3333333333333333
2012,E07000194,A24,2,2,1.0
2012,E07000194,A29,17,13,1.3076923076923077
2012,E07000194,A33,3,2,1.5
2012,E07000194,A41,11,11,1.0
2012,E07000194,A47,2,2,1.0
2012,E07000194,A53,5,5,1.0
2012,E07000194,A54,12,12,1.0
2012,E07000194,A56,12,11,1.0909090909090908
2012,E07000194,A57,21,20,1.05
2012,E07000194,A60,15,14,1.0714285714285714
2012,E07000194,A73,2,2,1.0
2012,E07000194,A79,6,6,1.0
2012,E07000194,A8,7,7,1.0
2012,E07000194,A81,9,7,1.2857142857142858
2012,E07000194,A83,1,1,1.0
2012,E07000194,A86,1,1,1.0
2012,E07000243,A1,14,9,1.5555555555555556
2012,E07000243,A16,2,1,2.0
2012,E07000243,A19,1,1,1.0
2012,E07000243,A20,10,1,10.0
2012,E07000243,A28,1,1,1.0
2012,E07000243,A29,64,9,7.111111111111111
2012,E07000243,A33,2,2,1.0
2012,E07000243,A41,1,1,1.0
2012,E07000243,A54,16,4,4.0
2012,E07000243,A57,10,6,1.6666666666666667
2012,E07000243,A60,3,1,3.0
2012,E07000243,A79,46,2,23.0
2012,E07000243,A81,5,1,5.0
2012,E09000003,A1,126,113,1.1150442477876106
2012,E09000003,A15,11,11,1.0
2012,E09000003,A16,7,6,1.1666666666666667
2012,E09000003,A2,310,205,1.5121951219512195
2012,E09000003,A20,55,27,2.037037037037037
2012,E09000003,A21,7,6,1.1666666666666667
2012,E09000003,A22,62,46,1.3478260869565217
2012,E09000003,A24,20,19,1.0526315789473684
2012,E09000003,A28,117,5,23.4
2012,E09000003,A29,500,277,1.8050541516245486
2012,E09000003,A32,311,257,1.2101167315175096
2012,E09000003,A33,238,30,7.933333333333334
2012,E09000003,A37,25,24,1.0416666666666667
2012,E09000003,A47,71,50,1.42
2012,E09000003,A48,61,56,1.0892857142857142
2012,E09000003,A55,199,162,1.228395061728395
2012,E09000003,A56,18,17,1.0588235294117647
2012,E09000003,A57,463,326,1.4202453987730062
2012,E09000003,A6,4,4,1.0
2012,E09000003,A60,390,159,2.452830188679245
2012,E09000003,A71,376,233,1.613733905579399
2012,E09000003,A72,47,47,1.0
2012,E09000003,A77,1,1,1.0
2012,E09000003,A79,68,21,3.238095238095238
2012,E09000003,A8,114,93,1.2258064516129032
2012,E09000003,A80,31,18,1.7222222222222223
2012,E09000003,A81,241,195,1.235897435897436
2012,E09000003,A83,104,74,1.4054054054054055
2012,E09000003,A86,12,12,1.0
2012,E09000003,A91,5,4,1.25
2012,E09000006,A1,261,241,1.0829875518672198
2012,E09000006,A16,66,64,1.03125
2012,E09000006,A22,664,482,1.3775933609958506
2012,E09000006,A27,1,1,1.0
2012,E09000006,A33,70,54,1.2962962962962963
2012,E09000006,A34,100,94,1.0638297872340425
2012,E09000006,A47,58,47,1.2340425531914894
2012,E09000006,A52,173,161,1.0745341614906831
2012,E09000006,A53,52,49,1.0612244897959184
2012,E09000006,A55,475,419,1.1336515513126493
2012,E09000006,A57,259,220,1.1772727272727272
2012,E09000006,A63,10,10,1.0
2012,E09000006,A69,294,242,1.2148760330578512
2012,E09000006,A78,21,21,1.0
2012,E09000006,A79,361,284,1.2711267605633803
2012,E09000006,A8,154,134,1.1492537313432836
2012,E09000006,A81,503,382,1.3167539267015707
2012,E09000006,A83,62,54,1.1481481481481481
