period,LAD,SHEF_A_CODE,report_count,user_count,average
2013-6,E06000045,A2,2,2,1.0
2013-6,E06000045,A20,1,1,1.0
2013-6,E06000045,A28,2,2,1.0
2013-6,E06000045,A29,23,19,1.2105263157894737
2013-6,E06000045,A33,7,6,1.1666666666666667
2013-6,E06000045,A34,12,12,1.0
2013-6,E06000045,A41,15,11,1.3636363636363635
2013-6,E06000045,A47,11,10,1.1
2013-6,E06000045,A54,15,13,1.1538461538461537
2013-6,E06000045,A55,18,18,1.0
2013-6,E06000045,A56,3,3,1.0
2013-6,E06000045,A57,17,16,1.0625
2013-6,E06000045,A60,18,17,1.0588235294117647
2013-6,E06000045,A79,9,6,1.5
2013-6,E06000045,A82,3,3,1.0
2013-6,E06000045,A83,2,2,1.0
2013-6,E06000045,A86,2,2,1.0
2013-6,E07000177,A17,1,1,1.0
2013-6,E07000177,A24,1,1,1.0
2013-6,E07000177,A25,1,1,1.0
2013-6,E07000177,A34,4,4,1.0
2013-6,E07000177,A41,3,3,1.0
2013-6,E07000177,A48,5,4,1.25
2013-6,E07000177,A54,4,3,1.3333333333333333
2013-6,E07000177,A56,1,1,1.0
2013-6,E07000177,A57,1,1,1.0
2013-6,E07000177,A60,48,27,1.7777777777777777
2013-6,E07000177,A61,1,1,1.0
2013-6,E07000177,A69,8,7,1.1428571428571428
2013-6,E07000177,A8,1,1,1.0
2013-6,E07000177,A83,4,3,1.3333333333333333
2013-6,E07000178,A17,1,1,1.0
2013-6,E07000178,A24,1,1,1.0
2013-6,E07000178,A34,4,4,1.0
2013-6,E07000178,A41,4,2,2.0
2013-6,E07000178,A56,2,2,1.0
2013-6,E07000178,A57,5,4,1.25
2013-6,E07000178,A60,13,13,1.0
2013-6,E07000178,A67,1,1,1.0
2013-6,E07000178,A69,2,2,1.0
2013-6,E07000178,A79,1,1,1.0
2013-6,E07000178,A86,1,1,1.0
2013-6,E07000179,A17,1,1,1.0
2013-6,E07000179,A24,7,7,1.0
2013-6,E07000179,A32,2,2,1.0
2013-6,E07000179,A34,14,12,1.1666666666666667
2013-6,E07000179,A39,1,1,1.0
2013-6,E07000179,A41,9,9,1.0
2013-6,E07000179,A48,3,3,1.0
2013-6,E07000179,A54,4,4,1.0
2013-6,E07000179,A56,1,1,1.0
2013-6,E07000179,A57,14,13,1.0769230769230769
2013-6,E07000179,A60,56,49,1.1428571428571428
2013-6,E07000179,A61,2,2,1.0
2013-6,E07000179,A67,1,1,1.0
2013-6,E07000179,A69,9,9,1.0
2013-6,E07000179,A79,1,1,1.0
2013-6,E07000179,A8,6,4,1.5
2013-6,E07000179,A81,3,3,1.0
2013-6,E07000179,A83,1,1,1.0
2013-6,E07000179,A86,1,1,1.0
2013-6,E07000179,A92,1,1,1.0
2013-6,E07000180,A17,1,1,1.0
2013-6,E07000180,A24,1,1,1.0
2013-6,E07000180,A25,1,1,1.0
2013-6,E07000180,A33,2,2,1.0
2013-6,E07000180,A34,11,10,1.1
2013-6,E07000180,A39,1,1,1.0
2013-6,E07000180,A41,7,7,1.0
2013-6,E07000180,A54,1,1,1.0
2013-6,E07000180,A56,1,1,1.0
2013-6,E07000180,A57,10,10,1.0
2013-6,E07000180,A60,49,40,1.225
2013-6,E07000180,A66,1,1,1.0
2013-6,E07000180,A67,2,2,1.0
2013-6,E07000180,A69,4,4,1.0
2013-6,E07000180,A8,1,1,1.0
2013-6,E07000180,A81,1,1,1.0
2013-6,E07000180,A83,2,2,1.0
2013-6,E07000181,A17,1,1,1.0
2013-6,E07000181,A24,3,2,1.5
2013-6,E07000181,A34,7,7,1.0
2013-6,E07000181,A39,1,1,1.0
2013-6,E07000181,A41,7,6,1.1666666666666667
2013-6,E07000181,A54,2,2,1.0
2013-6,E07000181,A56,1,1,1.0
2013-6,E07000181,A57,7,6,1.1666666666666667
2013-6,E07000181,A60,35,33,1.0606060606060606
2013-6,E07000181,A69,4,4,1.0
2013-6,E07000181,A83,1,1,1.0
2013-6,E07000194,A29,1,1,1.0
2013-6,E07000194,A33,2,2,1.0
2013-6,E07000194,A41,4,4,1.0
2013-6,E07000194,A53,1,1,1.0
2013-6,E07000194,A54,2,2,1.0
2013-6,E07000194,A57,1,1,1.0
2013-6,E07000194,A60,3,3,1.0
2013-6,E07000194,A79,1,1,1.0
2013-6,E07000194,A8,1,1,1.0
2013-6,E07000243,A1,21,6,3.5
2013-6,E07000243,A16,5,4,1.25
2013-6,E07000243,A19,1,1,1.0
2013-6,E07000243,A20,22,7,3.142857142857143
2013-6,E07000243,A24,1,1,1.0
2013-6,E07000243,A28,3,2,1.5
2013-6,E07000243,A29,88,14,6.285714285714286
2013-6,E07000243,A33,7,4,1.75
2013-6,E07000243,A34,5,5,1.0
2013-6,E07000243,A41,1,1,1.0
2013-6,E07000243,A54,11,8,1.375
2013-6,E07000243,A57,2,2,1.0
2013-6,E07000243,A79,48,3,16.0
2013-6,E09000003,A2,46,41,1.1219512195121952
2013-6,E09000003,A20,5,3,1.6666666666666667
2013-6,E09000003,A29,77,59,1.305084745762712
2013-6,E09000003,A32,85,72,1.1805555555555556
2013-6,E09000003,A33,1,1,1.0
2013-6,E09000003,A37,3,3,1.0
2013-6,E09000003,A47,7,7,1.0
2013-6,E09000003,A48,3,3,1.0
2013-6,E09000003,A55,54,43,1.255813953488372
2013-6,E09000003,A57,50,49,1.0204081632653061
2013-6,E09000003,A60,40,36,1.1111111111111112
2013-6,E09000003,A72,7,7,1.0
2013-6,E09000003,A8,10,10,1.0
2013-6,E09000003,A81,24,24,1.0
2013-6,E09000003,A83,13,13,1.0
2013-6,E09000006,A1,38,37,1.027027027027027
2013-6,E09000006,A16,13,13,1.0
2013-6,E09000006,A22,121,100,1.21
2013-6,E09000006,A27,2,2,1.0
2013-6,E09000006,A33,49,21,2.3333333333333335
2013-6,E09000006,A34,37,35,1.0571428571428572
2013-6,E09000006,A47,7,7,1.0
