period,LAD,SHEF_A,report_count,user_count,average
2016-2,E07000061,Blocked Drains,3,3,1.0
2016-2,E07000061,Dog Fouling,1,1,1.0
2016-2,E07000061,Fallen/Dangerous Trees,2,2,1.0
2016-2,E07000061,Fly-tipping,2,2,1.0
2016-2,E07000061,Highway Condition,9,8,1.125
2016-2,E07000061,Manhole Covers,3,3,1.0
2016-2,E07000061,Other,2,2,1.0
2016-2,E07000061,Parking,3,3,1.0
2016-2,E07000061,Pavement /Footway Defects,13,13,1.0
2016-2,E07000061,Potholes,76,52,1.4615384615384615
2016-2,E07000061,Right of Way,2,2,1.0
2016-2,E07000061,Road Markings,2,2,1.0
2016-2,E07000061,Road Surface Defects,10,9,1.1111111111111112
2016-2,E07000061,Street Cleaning,3,3,1.0
2016-2,E07000061,Street Lights,16,7,2.2857142857142856
2016-2,E07000061,Street Signs,1,1,1.0
2016-2,E07000061,Traffic Lights,1,1,1.0
2016-2,E07000062,Blocked Drains,5,5,1.0
2016-2,E07000062,Debris/Spillage,3,2,1.5
2016-2,E07000062,Dog Fouling,1,1,1.0
2016-2,E07000062,Fallen/Dangerous Trees,4,3,1.3333333333333333
2016-2,E07000062,Fly-tipping,2,2,1.0
2016-2,E07000062,Graffiti,1,1,1.0
2016-2,E07000062,Highway Condition,6,5,1.2
2016-2,E07000062,Manhole Covers,2,2,1.0
2016-2,E07000062,Other,3,3,1.0
2016-2,E07000062,Parking,2,2,1.0
2016-2,E07000062,Pavement /Footway Defects,8,8,1.0
2016-2,E07000062,Potholes,53,43,1.2325581395348837
2016-2,E07000062,Property Damage,1,1,1.0
2016-2,E07000062,Right of Way,5,5,1.0
2016-2,E07000062,Road Markings,2,2,1.0
2016-2,E07000062,Road Surface Defects,2,2,1.0
2016-2,E07000062,Spillage on Raod,1,1,1.0
2016-2,E07000062,Street Lights,7,7,1.0
2016-2,E07000062,Street Name Plates,1,1,1.0
2016-2,E07000062,Street Signs,1,1,1.0
2016-2,E07000062,Traffic Lights,5,5,1.0
2016-2,E07000063,Abandoned Vehicles,1,1,1.0
2016-2,E07000063,Blocked Drains,12,12,1.0
2016-2,E07000063,Debris/Spillage,6,5,1.2
2016-2,E07000063,Dog Fouling,1,1,1.0
2016-2,E07000063,Fallen/Dangerous Trees,8,8,1.0
2016-2,E07000063,Fly-tipping,4,3,1.3333333333333333
2016-2,E07000063,Highway Condition,8,8,1.0
2016-2,E07000063,Manhole Covers,7,7,1.0
2016-2,E07000063,Other,7,6,1.1666666666666667
2016-2,E07000063,Parking,4,4,1.0
2016-2,E07000063,Pavement /Footway Defects,23,20,1.15
2016-2,E07000063,Potholes,81,58,1.396551724137931
2016-2,E07000063,Property Damage,1,1,1.0
2016-2,E07000063,Right of Way,6,4,1.5
2016-2,E07000063,Road Markings,2,2,1.0
2016-2,E07000063,Road Surface Defects,7,6,1.1666666666666667
2016-2,E07000063,Street Cleaning,3,3,1.0
2016-2,E07000063,Street Lights,42,34,1.2352941176470589
2016-2,E07000063,Street Name Plates,2,2,1.0
2016-2,E07000063,Street Signs,4,4,1.0
2016-2,E07000063,Traffic Lights,1,1,1.0
2016-2,E07000064,Abandoned Vehicles,1,1,1.0
2016-2,E07000064,Blocked Drains,15,13,1.1538461538461537
2016-2,E07000064,Bridge/Culvert Defects,1,1,1.0
2016-2,E07000064,Debris/Spillage,4,4,1.0
2016-2,E07000064,Dog Fouling,2,2,1.0
2016-2,E07000064,Fallen/Dangerous Trees,11,11,1.0
2016-2,E07000064,Fly-tipping,40,33,1.2121212121212122
2016-2,E07000064,Graffiti,2,2,1.0
2016-2,E07000064,Highway Condition,7,7,1.0
2016-2,E07000064,Manhole Covers,5,5,1.0
2016-2,E07000064,Other,9,9,1.0
2016-2,E07000064,Parking,7,6,1.1666666666666667
2016-2,E07000064,Pavement /Footway Defects,10,8,1.25
2016-2,E07000064,Potholes,117,100,1.17
2016-2,E07000064,Right of Way,5,5,1.0
2016-2,E07000064,Road Markings,5,5,1.0
2016-2,E07000064,Road Surface Defects,15,13,1.1538461538461537
2016-2,E07000064,Rubbish,2,2,1.0
2016-2,E07000064,Street Cleaning,2,2,1.0
2016-2,E07000064,Street Lights,30,29,1.0344827586206897
2016-2,E07000064,Street Name Plates,5,5,1.0
2016-2,E07000064,Street Signs,8,7,1.1428571428571428
2016-2,E07000064,Traffic Lights,1,1,1.0
2016-2,E07000065,Blocked Drains,30,25,1.2
2016-2,E07000065,Debris/Spillage,3,3,1.0
2016-2,E07000065,Dog Fouling,2,2,1.0
2016-2,E07000065,Fallen/Dangerous Trees,7,7,1.0
2016-2,E07000065,Fly-tipping,15,12,1.25
2016-2,E07000065,Highway Condition,14,12,1.1666666666666667
2016-2,E07000065,Manhole Covers,4,4,1.0
2016-2,E07000065,Other,10,10,1.0
2016-2,E07000065,Parking,4,4,1.0
2016-2,E07000065,Pavement /Footway Defects,21,21,1.0
