period,LAD,SHEF_A,report_count,user_count,average
2016,E06000023,Bridge/Culvert Defects,16,16,1.0
2016,E06000023,General Highways Enquiries,234,117,2.0
2016,E06000023,Grit Bins,11,7,1.5714285714285714
2016,E06000023,Gullies,301,199,1.5125628140703518
2016,E06000023,Obstruction,661,442,1.495475113122172
2016,E06000023,Other,1,1,1.0
2016,E06000023,Pavement /Footway Defects,400,290,1.3793103448275863
2016,E06000023,Retaining Wall,27,21,1.2857142857142858
2016,E06000023,Road Surface Defects,350,220,1.5909090909090908
2016,E06000023,Street Furniture,33,23,1.434782608695652
2016,E06000023,Street Name Plates,35,23,1.5217391304347827
2016,E06000023,Street Signs,76,60,1.2666666666666666
2016,E06000023,Utility Works,121,74,1.635135135135135
2016,E07000061,Blocked Drains,23,17,1.3529411764705883
2016,E07000061,Debris/Spillage,1,1,1.0
2016,E07000061,Dog Fouling,5,4,1.25
2016,E07000061,Fallen/Dangerous Trees,9,9,1.0
2016,E07000061,Fences,1,1,1.0
2016,E07000061,Fly-tipping,12,10,1.2
2016,E07000061,Flyposting,1,1,1.0
2016,E07000061,Grass/Weed Control,2,2,1.0
2016,E07000061,Highway Condition,34,22,1.5454545454545454
2016,E07000061,Manhole Covers,15,12,1.25
2016,E07000061,Other,13,12,1.0833333333333333
2016,E07000061,Parking,18,16,1.125
2016,E07000061,Pavement /Footway Defects,53,49,1.0816326530612246
2016,E07000061,Potholes,283,168,1.6845238095238095
2016,E07000061,Property Damage,1,1,1.0
2016,E07000061,Right of Way,14,14,1.0
2016,E07000061,Road Markings,7,7,1.0
2016,E07000061,Road Surface Defects,47,26,1.8076923076923077
2016,E07000061,Rubbish,1,1,1.0
2016,E07000061,Street Cleaning,6,6,1.0
2016,E07000061,Street Lights,64,46,1.391304347826087
2016,E07000061,Street Name Plates,2,2,1.0
2016,E07000061,Street Signs,6,6,1.0
2016,E07000061,Traffic Lights,8,8,1.0
2016,E07000061,Utility Works,1,1,1.0
2016,E07000062,Abandoned Vehicles,7,7,1.0
2016,E07000062,Blocked Drains,21,19,1.105263157894737
2016,E07000062,Debris/Spillage,4,3,1.3333333333333333
2016,E07000062,Dog Fouling,2,2,1.0
2016,E07000062,Fallen/Dangerous Trees,13,11,1.1818181818181819
2016,E07000062,Fences,2,2,1.0
2016,E07000062,Fly-tipping,22,16,1.375
2016,E07000062,Graffiti,1,1,1.0
2016,E07000062,Grass/Weed Control,4,4,1.0
2016,E07000062,Highway Condition,19,18,1.0555555555555556
2016,E07000062,Ice & Snow,1,1,1.0
2016,E07000062,Manhole Covers,14,13,1.0769230769230769
2016,E07000062,Open Spaces/Parks,3,3,1.0
2016,E07000062,Other,17,16,1.0625
2016,E07000062,Parking,9,9,1.0
2016,E07000062,Pavement /Footway Defects,41,34,1.2058823529411764
2016,E07000062,Potholes,218,138,1.5797101449275361
2016,E07000062,Property Damage,4,4,1.0
2016,E07000062,Right of Way,29,21,1.380952380952381
2016,E07000062,Road Markings,10,10,1.0
2016,E07000062,Road Surface Defects,29,25,1.16
2016,E07000062,Rubbish,3,2,1.5
2016,E07000062,Spillage on Raod,3,3,1.0
2016,E07000062,Street Cleaning,3,3,1.0
2016,E07000062,Street Lights,41,38,1.0789473684210527
2016,E07000062,Street Name Plates,4,4,1.0
2016,E07000062,Street Signs,10,10,1.0
2016,E07000062,Traffic Lights,15,13,1.1538461538461537
2016,E07000063,Abandoned Vehicles,2,2,1.0
2016,E07000063,Blocked Drains,55,49,1.1224489795918366
2016,E07000063,Debris/Spillage,18,17,1.0588235294117647
2016,E07000063,Dog Fouling,6,5,1.2
2016,E07000063,Fallen/Dangerous Trees,25,25,1.0
2016,E07000063,Fences,3,3,1.0
2016,E07000063,Fly-tipping,19,16,1.1875
2016,E07000063,Graffiti,2,1,2.0
2016,E07000063,Grass/Weed Control,11,8,1.375
2016,E07000063,Highway Condition,45,41,1.0975609756097562
2016,E07000063,Manhole Covers,18,15,1.2
2016,E07000063,Open Spaces/Parks,6,5,1.2
2016,E07000063,Other,27,24,1.125
2016,E07000063,Parking,13,10,1.3
2016,E07000063,Pavement /Footway Defects,75,62,1.2096774193548387
2016,E07000063,Potholes,303,215,1.4093023255813955
2016,E07000063,Property Damage,2,2,1.0
2016,E07000063,Right of Way,39,29,1.3448275862068966
2016,E07000063,Road Markings,8,7,1.1428571428571428
2016,E07000063,Road Surface Defects,33,29,1.1379310344827587
2016,E07000063,Rubbish,9,8,1.125
2016,E07000063,Street Cleaning,16,15,1.0666666666666667
2016,E07000063,Street Lights,169,142,1.1901408450704225
2016,E07000063,Street Name Plates,11,9,1.2222222222222223
2016,E07000063,Street Signs,18,18,1.0
2016,E07000063,Traffic Lights,4,4,1.0
2016,E07000064,Abandoned Vehicles,8,8,1.0
2016,E07000064,Blocked Drains,93,66,1.4090909090909092
2016,E07000064,Bridge/Culvert Defects,2,2,1.0
2016,E07000064,Debris/Spillage,13,13,1.0
2016,E07000064,Dog Fouling,11,11,1.0
2016,E07000064,Fallen/Dangerous Trees,52,44,1.1818181818181819
2016,E07000064,Fences,8,7,1.1428571428571428
2016,E07000064,Fly-tipping,239,163,1.4662576687116564
2016,E07000064,Flyposting,1,1,1.0
2016,E07000064,Graffiti,8,7,1.1428571428571428
2016,E07000064,Grass/Weed Control,9,9,1.0
2016,E07000064,Highway Condition,62,55,1.1272727272727272
2016,E07000064,Ice & Snow,1,1,1.0
2016,E07000064,Manhole Covers,23,23,1.0
2016,E07000064,Open Spaces/Parks,1,1,1.0
2016,E07000064,Other,54,48,1.125
2016,E07000064,Parking,21,20,1.05
2016,E07000064,Pavement /Footway Defects,72,55,1.309090909090909
2016,E07000064,Potholes,464,303,1.5313531353135315
2016,E07000064,Property Damage,4,3,1.3333333333333333
2016,E07000064,Public Toilets,1,1,1.0
2016,E07000064,Right of Way,47,43,1.0930232558139534
2016,E07000064,Road Markings,14,14,1.0
2016,E07000064,Road Surface Defects,54,48,1.125
2016,E07000064,Rubbish,11,11,1.0
2016,E07000064,Street Cleaning,22,19,1.1578947368421053
2016,E07000064,Street Lights,127,108,1.1759259259259258
2016,E07000064,Street Name Plates,10,10,1.0
2016,E07000064,Street Signs,25,20,1.25
2016,E07000064,Traffic Lights,19,19,1.0
2016,E07000064,Utility Works,3,3,1.0
2016,E07000065,Abandoned Vehicles,3,3,1.0
2016,E07000065,Blocked Drains,193,132,1.4621212121212122
2016,E07000065,Bridge/Culvert Defects,2,2,1.0
2016,E07000065,Debris/Spillage,14,14,1.0
2016,E07000065,Dog Fouling,8,8,1.0
2016,E07000065,Fallen/Dangerous Trees,58,48,1.2083333333333333
2016,E07000065,Fences,4,4,1.0
2016,E07000065,Fly-tipping,63,43,1.4651162790697674
