lad,SHEF_A_CODE,reports,unique_users,average_per_user
E06000022,A1,36,33,1.0909090909090908
E06000031,A1,55,48,1.1458333333333333
E06000046,A1,79,41,1.9268292682926829
E06000060,A1,42,40,1.05
E07000089,A1,20,20,1.0
E07000177,A1,2,2,1.0
E07000178,A1,2,2,1.0
E07000180,A1,4,2,2.0
E07000181,A1,1,1,1.0
E07000243,A1,3,3,1.0
E09000004,A1,115,107,1.074766355140187
E09000006,A1,106,103,1.029126213592233
E09000011,A1,76,63,1.2063492063492063
E09000012,A1,5,4,1.25
E09000018,A1,26,26,1.0
E09000033,A1,67,19,3.526315789473684
E06000017,A11,1,1,1.0
E06000049,A11,28,1,28.0
E06000060,A11,33,31,1.064516129032258
E07000137,A11,1,1,1.0
E07000138,A11,1,1,1.0
E07000139,A11,1,1,1.0
E07000141,A11,8,6,1.3333333333333333
E07000142,A11,3,3,1.0
E06000022,A12,4,4,1.0
E06000031,A12,2,2,1.0
E06000046,A12,5,2,2.5
E07000154,A12,1,1,1.0
E09000006,A12,1,1,1.0
E06000022,A16,27,22,1.2272727272727273
E06000046,A16,42,6,7.0
E07000134,A16,1,1,1.0
E07000175,A16,1,1,1.0
E07000180,A16,1,1,1.0
E09000004,A16,45,45,1.0
E09000011,A16,19,17,1.1176470588235294
E09000018,A16,10,8,1.25
E09000033,A16,15,4,3.75
E06000022,A17,2,2,1.0
E06000046,A17,15,1,15.0
E07000153,A17,1,1,1.0
E07000156,A17,2,2,1.0
E07000212,A17,1,1,1.0
E09000018,A17,23,17,1.3529411764705883
E07000243,A19,1,1,1.0
E06000022,A2,95,67,1.4179104477611941
E06000022,A20,13,9,1.4444444444444444
E06000031,A20,4,4,1.0
E06000046,A20,21,7,3.0
E06000060,A20,3,3,1.0
E07000089,A20,3,3,1.0
E07000178,A20,1,1,1.0
E07000243,A20,2,2,1.0
E09000011,A20,6,6,1.0
E09000018,A20,5,4,1.25
E09000033,A20,31,9,3.4444444444444446
E06000046,A21,4,2,2.0
E06000022,A23,6,4,1.5
E06000022,A24,6,6,1.0
E06000031,A24,65,56,1.1607142857142858
E06000046,A24,61,5,12.2
E06000060,A24,252,222,1.135135135135135
E07000136,A24,2,2,1.0
E07000137,A24,12,7,1.7142857142857142
E07000138,A24,6,4,1.5
E07000139,A24,8,5,1.6
E07000140,A24,1,1,1.0
E07000141,A24,10,5,2.0
E07000142,A24,4,3,1.3333333333333333
E07000151,A24,3,1,3.0
E07000152,A24,2,1,2.0
E07000153,A24,1,1,1.0
