period,LAD,SHEF_A_CODE,report_count,user_count,average
all time,,A1,8,4,2.0
all time,,A16,14,7,2.0
all time,,A17,2,1,2.0
all time,,A20,2,1,2.0
all time,,A24,2,1,2.0
all time,,A29,24,12,2.0
all time,,A32,2,1,2.0
all time,,A33,2,1,2.0
all time,,A39,2,1,2.0
all time,,A41,14,7,2.0
all time,,A47,6,1,6.0
all time,,A52,6,3,2.0
all time,,A54,24,11,2.1818181818181817
all time,,A55,2,1,2.0
all time,,A56,2,1,2.0
all time,,A57,20,9,2.2222222222222223
all time,,A60,2,1,2.0
all time,,A66,4,2,2.0
all time,,A69,12,6,2.0
all time,,A73,14,7,2.0
all time,,A79,4,2,2.0
all time,,A81,16,7,2.2857142857142856
all time,,A83,4,2,2.0
all time,,A86,2,1,2.0
all time,,A9,14,7,2.0
all time,,A92,2,1,2.0
all time,E06000017,,48,23,2.0869565217391304
all time,E06000017,A1,2,1,2.0
all time,E06000017,A34,8,3,2.6666666666666665
all time,E06000017,A56,4,1,4.0
all time,E06000017,A80,4,2,2.0
all time,E06000017,A81,10,5,2.0
all time,E06000017,A83,6,3,2.0
all time,E06000022,,2868,914,3.137855579868709
all time,E06000022,A1,34,9,3.7777777777777777
all time,E06000022,A16,14,5,2.8
all time,E06000022,A20,2,1,2.0
all time,E06000022,A33,34,4,8.5
all time,E06000023,A32,1594,427,3.7330210772833725
all time,E06000023,A36,210,79,2.6582278481012658
all time,E06000023,A39,2650,894,2.9642058165548097
all time,E06000023,A52,4474,1426,3.1374474053295933
all time,E06000023,A54,2,1,2.0
all time,E06000023,A57,3334,1128,2.9556737588652484
all time,E06000023,A65,200,82,2.4390243902439024
all time,E06000023,A69,4366,1196,3.650501672240803
all time,E06000023,A80,336,109,3.0825688073394497
all time,E06000023,A82,226,75,3.013333333333333
all time,E06000023,A83,720,254,2.8346456692913384
all time,E06000023,A9,134,64,2.09375
all time,E06000023,A92,872,271,3.217712177121771
all time,E06000038,A1,2,1,2.0
all time,E06000038,A12,2,1,2.0
all time,E06000038,A20,4,2,2.0
all time,E06000038,A24,6,2,3.0
all time,E06000038,A29,4,2,2.0
all time,E06000038,A33,2,1,2.0
all time,E06000038,A41,4,2,2.0
all time,E06000038,A54,2,1,2.0
all time,E06000038,A56,6,3,2.0
all time,E06000038,A57,8,4,2.0
all time,E06000038,A60,4,2,2.0
all time,E06000038,A73,4,2,2.0
all time,E06000038,A79,2,1,2.0
all time,E06000038,A81,28,10,2.8
all time,E06000038,A86,6,3,2.0
all time,E06000045,A1,38,19,2.0
all time,E06000045,A12,104,29,3.586206896551724
all time,E06000045,A16,16,7,2.2857142857142856
all time,E06000045,A2,116,52,2.230769230769231
all time,E06000045,A20,408,138,2.9565217391304346
all time,E06000045,A28,26,10,2.6
all time,E06000045,A29,1336,502,2.6613545816733066
all time,E06000045,A33,196,71,2.76056338028169
all time,E06000045,A34,198,88,2.25
all time,E06000045,A4,48,15,3.2
all time,E06000045,A41,1510,533,2.8330206378986866
all time,E06000045,A44,102,38,2.6842105263157894
all time,E06000045,A47,830,227,3.656387665198238
all time,E06000045,A51,48,18,2.6666666666666665
all time,E06000045,A54,780,321,2.4299065420560746
all time,E06000045,A55,614,213,2.8826291079812205
all time,E06000045,A56,252,102,2.4705882352941178
all time,E06000045,A57,1024,407,2.515970515970516
all time,E06000045,A58,30,14,2.142857142857143
all time,E06000045,A60,2946,845,3.486390532544379
all time,E06000045,A75,84,26,3.230769230769231
all time,E06000045,A79,274,100,2.74
all time,E06000045,A81,2,1,2.0
all time,E06000045,A82,184,49,3.7551020408163267
all time,E06000045,A83,180,84,2.142857142857143
all time,E06000045,A84,18,6,3.0
all time,E06000045,A86,138,64,2.15625
all time,E07000004,,1404,538,2.609665427509294
all time,E07000004,A24,22,11,2.0
all time,E07000004,A26,150,68,2.2058823529411766
all time,E07000004,A60,1540,523,2.9445506692160612
all time,E07000005,,802,308,2.603896103896104
all time,E07000005,A24,22,11,2.0
all time,E07000005,A26,90,40,2.25
all time,E07000005,A29,6,3,2.0
all time,E07000005,A60,1214,413,2.9394673123486683
all time,E07000006,,740,259,2.857142857142857
all time,E07000006,A24,14,7,2.0
all time,E07000006,A26,80,37,2.1621621621621623
all time,E07000006,A29,2,1,2.0
all time,E07000006,A60,972,367,2.64850136239782
all time,E07000007,,1384,534,2.5917602996254683
all time,E07000007,A24,50,20,2.5
all time,E07000007,A26,120,48,2.5
all time,E07000007,A29,4,2,2.0
all time,E07000007,A60,714,248,2.879032258064516
all time,E07000061,A1,6,3,2.0
all time,E07000061,A17,22,10,2.2
all time,E07000061,A20,74,15,4.933333333333334
all time,E07000061,A24,130,51,2.549019607843137
all time,E07000061,A25,10,5,2.0
all time,E07000061,A28,2,1,2.0
all time,E07000061,A29,80,28,2.857142857142857
all time,E07000061,A33,6,3,2.0
all time,E07000061,A34,22,11,2.0
all time,E07000061,A41,220,87,2.528735632183908
all time,E07000061,A48,136,48,2.8333333333333335
all time,E07000061,A53,4,2,2.0
all time,E07000061,A54,102,39,2.6153846153846154
all time,E07000061,A56,82,37,2.2162162162162162
all time,E07000061,A57,434,172,2.5232558139534884
all time,E07000061,A60,1542,404,3.8168316831683167
all time,E07000061,A61,6,3,2.0
all time,E07000061,A66,120,56,2.142857142857143
all time,E07000061,A67,60,20,3.0
all time,E07000061,A69,348,88,3.9545454545454546
all time,E07000061,A73,18,9,2.0
all time,E07000061,A79,44,12,3.6666666666666665
all time,E07000061,A8,168,63,2.6666666666666665
all time,E07000061,A81,552,211,2.6161137440758293
all time,E07000061,A82,18,9,2.0
all time,E07000061,A83,60,25,2.4
all time,E07000061,A86,50,23,2.1739130434782608
all time,E07000061,A92,8,4,2.0
all time,E07000062,A1,28,14,2.0
all time,E07000062,A17,52,24,2.1666666666666665
all time,E07000062,A20,30,15,2.0
all time,E07000062,A24,230,78,2.948717948717949
all time,E07000062,A25,10,5,2.0
all time,E07000062,A28,4,2,2.0
all time,E07000062,A29,132,53,2.490566037735849
all time,E07000062,A33,12,4,3.0
all time,E07000062,A34,42,16,2.625
all time,E07000062,A41,200,84,2.380952380952381
all time,E07000062,A43,4,2,2.0
all time,E07000062,A48,92,38,2.4210526315789473
all time,E07000062,A53,28,13,2.1538461538461537
all time,E07000062,A54,136,64,2.125
all time,E07000062,A56,76,32,2.375
all time,E07000062,A57,376,146,2.5753424657534247
all time,E07000062,A60,1212,341,3.5542521994134897
all time,E07000062,A61,28,9,3.111111111111111
all time,E07000062,A66,268,93,2.881720430107527
all time,E07000062,A67,64,28,2.2857142857142856
all time,E07000062,A69,252,82,3.073170731707317
all time,E07000062,A73,32,14,2.2857142857142856
all time,E07000062,A78,10,5,2.0
all time,E07000062,A79,30,15,2.0
all time,E07000062,A8,192,82,2.341463414634146
all time,E07000062,A81,556,200,2.78
all time,E07000062,A82,44,18,2.4444444444444446
all time,E07000062,A83,60,27,2.2222222222222223
all time,E07000062,A86,88,33,2.6666666666666665
all time,E07000062,A92,6,3,2.0
all time,E07000063,A1,16,8,2.0
all time,E07000063,A17,96,47,2.0425531914893615
all time,E07000063,A20,32,10,3.2
all time,E07000063,A24,272,115,2.365217391304348
all time,E07000063,A25,44,22,2.0
all time,E07000063,A28,6,3,2.0
all time,E07000063,A29,306,109,2.8073394495412844
all time,E07000063,A33,20,8,2.5
all time,E07000063,A34,84,35,2.4
all time,E07000063,A41,362,149,2.4295302013422817
all time,E07000063,A43,10,5,2.0
all time,E07000063,A48,130,53,2.452830188679245
all time,E07000063,A53,32,12,2.6666666666666665
all time,E07000063,A54,214,92,2.3260869565217392
all time,E07000063,A56,138,62,2.225806451612903
all time,E07000063,A57,524,217,2.414746543778802
all time,E07000063,A60,1718,566,3.035335689045936
all time,E07000063,A61,12,5,2.4
all time,E07000063,A66,510,182,2.802197802197802
all time,E07000063,A67,136,37,3.675675675675676
all time,E07000063,A69,278,111,2.5045045045045047
all time,E07000063,A73,70,33,2.121212121212121
all time,E07000063,A78,10,4,2.5
all time,E07000063,A79,106,42,2.5238095238095237
all time,E07000063,A8,434,167,2.5988023952095807
all time,E07000063,A81,1218,460,2.6478260869565218
all time,E07000063,A82,112,44,2.5454545454545454
all time,E07000063,A83,140,66,2.121212121212121
all time,E07000063,A86,70,33,2.121212121212121
all time,E07000063,A9,8,4,2.0
all time,E07000063,A92,8,4,2.0
all time,E07000064,A1,48,22,2.1818181818181817
all time,E07000064,A17,98,44,2.227272727272727
all time,E07000064,A20,60,29,2.0689655172413794
all time,E07000064,A24,352,129,2.7286821705426356
all time,E07000064,A25,32,14,2.2857142857142856
all time,E07000064,A28,12,6,2.0
all time,E07000064,A29,1076,323,3.331269349845201
all time,E07000064,A33,34,15,2.2666666666666666
all time,E07000064,A34,64,30,2.1333333333333333
all time,E07000064,A41,440,185,2.3783783783783785
all time,E07000064,A43,8,4,2.0
all time,E07000064,A48,138,60,2.3
all time,E07000064,A53,12,6,2.0
all time,E07000064,A54,362,153,2.366013071895425
all time,E07000064,A56,106,50,2.12
all time,E07000064,A57,468,181,2.585635359116022
all time,E07000064,A60,2898,814,3.56019656019656
all time,E07000064,A61,14,6,2.3333333333333335
all time,E07000064,A63,8,4,2.0
all time,E07000064,A66,534,202,2.6435643564356437
all time,E07000064,A67,90,37,2.4324324324324325
all time,E07000064,A69,538,181,2.972375690607735
all time,E07000064,A73,66,28,2.357142857142857
all time,E07000064,A78,2,1,2.0
all time,E07000064,A79,106,44,2.409090909090909
all time,E07000064,A8,542,185,2.9297297297297296
all time,E07000064,A81,776,314,2.4713375796178343
all time,E07000064,A82,60,23,2.608695652173913
all time,E07000064,A83,192,80,2.4
all time,E07000064,A86,102,47,2.1702127659574466
all time,E07000064,A9,26,13,2.0
all time,E07000064,A92,14,7,2.0
all time,E07000065,A1,246,114,2.1578947368421053
all time,E07000065,A17,130,62,2.096774193548387
all time,E07000065,A20,78,36,2.1666666666666665
all time,E07000065,A24,606,234,2.58974358974359
all time,E07000065,A25,18,8,2.25
all time,E07000065,A28,6,3,2.0
all time,E07000065,A29,438,131,3.3435114503816794
all time,E07000065,A33,12,4,3.0
all time,E07000065,A34,124,53,2.339622641509434
all time,E07000065,A41,876,331,2.6465256797583083
all time,E07000065,A43,52,21,2.4761904761904763
all time,E07000065,A48,240,102,2.3529411764705883
all time,E07000065,A53,4,2,2.0
all time,E07000065,A54,372,149,2.4966442953020134
all time,E07000065,A56,132,62,2.129032258064516
