period,LAD,SHEF_B,report_count,user_count,average
2011-5,E08000035,Open Spaces/Parks,1,1,1.0
2011-5,E08000035,Overgrown/Fallen Veg/Trees,1,1,1.0
2011-5,E08000035,Road Safety,1,1,1.0
2011-5,E08000035,Road Surface Defects,20,4,5.0
2011-5,E09000003,Abandoned Vehicles,2,2,1.0
2011-5,E09000003,Dog Fouling,2,2,1.0
2011-5,E09000003,Highways Enquiries,15,10,1.5
2011-5,E09000003,Incivilities,2,1,2.0
2011-5,E09000003,Open Spaces/Parks,1,1,1.0
2011-5,E09000003,Other,9,9,1.0
2011-5,E09000003,Overgrown/Fallen Veg/Trees,28,10,2.8
2011-5,E09000003,Parking,3,3,1.0
2011-5,E09000003,Pavement /Footway Defects,44,24,1.8333333333333333
2011-5,E09000003,Road Safety,8,8,1.0
2011-5,E09000003,Road Surface Defects,28,19,1.4736842105263157
2011-5,E09000003,Rubbish,10,9,1.1111111111111112
2011-5,E09000003,Street Furniture,1,1,1.0
2011-5,E09000003,Street Lights,5,5,1.0
2011-5,S12000036,Street Lights,1,1,1.0
2011-5,W06000015,Abandoned Vehicles,2,2,1.0
2011-5,W06000015,Open Spaces/Parks,1,1,1.0
2011-5,W06000015,Overgrown/Fallen Veg/Trees,1,1,1.0
2011-5,W06000015,Road Surface Defects,1,1,1.0
2011-5,W06000015,Rubbish,1,1,1.0
