period,LAD,SHEF_B,report_count,user_count,average
2011,E06000045,Abandoned Vehicles,19,19,1.0
2011,E06000045,Bus Stops Damage,2,2,1.0
2011,E06000045,Dog Fouling,15,14,1.0714285714285714
2011,E06000045,Highways Enquiries,71,59,1.2033898305084745
2011,E06000045,Incivilities,15,13,1.1538461538461537
2011,E06000045,Other,41,37,1.1081081081081081
2011,E06000045,Overgrown/Fallen Veg/Trees,39,32,1.21875
2011,E06000045,Pavement /Footway Defects,50,46,1.0869565217391304
2011,E06000045,Road Safety,9,9,1.0
2011,E06000045,Road Surface Defects,57,50,1.14
2011,E06000045,Rubbish,118,83,1.4216867469879517
2011,E06000045,Street Furniture,9,8,1.125
2011,E07000086,Road Surface Defects,1,1,1.0
2011,E07000194,Other,1,1,1.0
2011,E07000194,Parking,1,1,1.0
2011,E08000035,Highways Enquiries,12,5,2.4
2011,E08000035,Incivilities,2,2,1.0
2011,E08000035,Open Spaces/Parks,2,2,1.0
2011,E08000035,Other,4,4,1.0
2011,E08000035,Overgrown/Fallen Veg/Trees,1,1,1.0
2011,E08000035,Parking,3,3,1.0
2011,E08000035,Pavement /Footway Defects,3,2,1.5
2011,E08000035,Public Toilets,1,1,1.0
2011,E08000035,Road Safety,4,1,4.0
2011,E08000035,Road Surface Defects,120,27,4.444444444444445
2011,E08000035,Rubbish,33,31,1.064516129032258
2011,E08000035,Street Lights,4,2,2.0
2011,E09000003,Abandoned Vehicles,12,10,1.2
2011,E09000003,Dangerous Building/Structure,8,8,1.0
2011,E09000003,Dog Fouling,5,5,1.0
2011,E09000003,Drainage,12,12,1.0
2011,E09000003,Gritting,4,4,1.0
2011,E09000003,Highways Enquiries,58,48,1.2083333333333333
2011,E09000003,Incivilities,69,9,7.666666666666667
2011,E09000003,Open Spaces/Parks,7,6,1.1666666666666667
2011,E09000003,Other,60,53,1.1320754716981132
2011,E09000003,Overgrown/Fallen Veg/Trees,71,39,1.8205128205128205
2011,E09000003,Parking,34,33,1.0303030303030303
2011,E09000003,Pavement /Footway Defects,177,135,1.3111111111111111
2011,E09000003,Road Safety,60,43,1.3953488372093024
2011,E09000003,Road Surface Defects,713,451,1.580931263858093
2011,E09000003,Rubbish,138,78,1.7692307692307692
2011,E09000003,Street Furniture,29,18,1.6111111111111112
2011,E09000003,Street Lights,195,147,1.3265306122448979
2011,S12000036,Incivilities,1,1,1.0
2011,S12000036,Open Spaces/Parks,1,1,1.0
2011,S12000036,Other,3,3,1.0
2011,S12000036,Pavement /Footway Defects,1,1,1.0
2011,S12000036,Road Surface Defects,3,3,1.0
2011,S12000036,Rubbish,1,1,1.0
2011,S12000036,Street Lights,1,1,1.0
2011,W06000015,Abandoned Vehicles,3,3,1.0
2011,W06000015,Dog Fouling,2,2,1.0
2011,W06000015,Highways Enquiries,2,2,1.0
2011,W06000015,Open Spaces/Parks,1,1,1.0
2011,W06000015,Other,3,3,1.0
2011,W06000015,Overgrown/Fallen Veg/Trees,1,1,1.0
2011,W06000015,Parking,1,1,1.0
2011,W06000015,Pavement /Footway Defects,1,1,1.0
2011,W06000015,Road Safety,1,1,1.0
2011,W06000015,Road Surface Defects,15,10,1.5
2011,W06000015,Rubbish,3,3,1.0
2011,,Highways Enquiries,1,1,1.0
2011,,Rubbish,2,1,2.0
