lad,SHEF_B_CODE,reports,unique_users,average_per_user
E07000062,B1,1,1,1.0
E07000064,B1,1,1,1.0
E07000065,B1,16,14,1.1428571428571428
E07000089,B1,49,47,1.0425531914893618
E07000177,B1,6,3,2.0
E07000178,B1,1,1,1.0
E07000179,B1,1,1,1.0
E07000180,B1,8,6,1.3333333333333333
E07000181,B1,1,1,1.0
E07000194,B1,2,2,1.0
E07000218,B1,1,1,1.0
E07000243,B1,298,99,3.01010101010101
E09000003,B1,250,230,1.0869565217391304
E09000006,B1,735,652,1.1273006134969326
E09000006,B10,21,21,1.0
E07000063,B11,3,3,1.0
E07000064,B11,1,1,1.0
E07000065,B11,7,6,1.1666666666666667
E07000180,B11,2,2,1.0
E07000181,B11,5,5,1.0
E09000003,B11,5,5,1.0
E07000220,B12,3,3,1.0
E07000221,B12,5,5,1.0
E07000222,B12,3,3,1.0
E09000003,B12,101,86,1.1744186046511629
E06000038,B13,1,1,1.0
E06000045,B13,182,135,1.348148148148148
E07000061,B13,16,15,1.0666666666666667
E07000062,B13,17,14,1.2142857142857142
E07000063,B13,23,21,1.0952380952380953
E07000064,B13,30,23,1.3043478260869565
E07000065,B13,82,69,1.1884057971014492
E07000089,B13,79,78,1.0128205128205128
E07000177,B13,87,64,1.359375
E07000178,B13,59,53,1.1132075471698113
E07000179,B13,129,120,1.075
E07000180,B13,141,121,1.165289256198347
E07000181,B13,84,77,1.0909090909090908
E07000194,B13,4,3,1.3333333333333333
E07000243,B13,15,12,1.25
E09000003,B13,835,675,1.237037037037037
E06000045,B14,57,39,1.4615384615384615
E07000062,B14,1,1,1.0
E07000063,B14,3,3,1.0
E07000064,B14,3,3,1.0
E07000065,B14,1,1,1.0
E07000089,B14,11,10,1.1
E07000177,B14,3,3,1.0
E07000178,B14,4,3,1.3333333333333333
E07000179,B14,4,4,1.0
E07000180,B14,4,2,2.0
E07000181,B14,4,4,1.0
E07000194,B14,1,1,1.0
E07000221,B14,1,1,1.0
E07000243,B14,107,31,3.4516129032258065
E09000003,B14,99,69,1.434782608695652
E09000006,B14,580,172,3.372093023255814
E07000061,B15,1,1,1.0
E07000062,B15,1,1,1.0
E07000063,B15,2,2,1.0
E07000177,B15,6,6,1.0
E07000178,B15,2,2,1.0
E07000179,B15,2,1,2.0
E07000180,B15,4,4,1.0
E07000181,B15,2,2,1.0
E07000221,B15,1,1,1.0
E07000222,B15,1,1,1.0
E09000006,B15,284,204,1.392156862745098
E06000045,B16,97,82,1.1829268292682926
E07000061,B16,2,2,1.0
E07000062,B16,9,8,1.125
E07000063,B16,21,21,1.0
E07000064,B16,15,14,1.0714285714285714
E07000065,B16,28,24,1.1666666666666667
E07000089,B16,99,86,1.1511627906976745
E07000177,B16,25,22,1.1363636363636365
E07000178,B16,24,20,1.2
E07000179,B16,34,28,1.2142857142857142
E07000180,B16,32,27,1.1851851851851851
E07000181,B16,20,19,1.0526315789473684
E07000194,B16,6,6,1.0
E07000218,B16,2,2,1.0
E07000219,B16,7,7,1.0
E07000220,B16,7,6,1.1666666666666667
E07000221,B16,20,20,1.0
E07000222,B16,15,15,1.0
E07000243,B16,209,77,2.7142857142857144
E06000038,B17,1,1,1.0
E06000045,B17,95,79,1.2025316455696202
E07000061,B17,6,6,1.0
E07000062,B17,11,11,1.0
E07000063,B17,13,13,1.0
E07000064,B17,10,9,1.1111111111111112
E07000065,B17,42,39,1.0769230769230769
E07000177,B17,125,104,1.2019230769230769
E07000178,B17,43,39,1.1025641025641026
E07000179,B17,182,137,1.3284671532846715
E07000180,B17,134,114,1.1754385964912282
E07000181,B17,64,55,1.1636363636363636
E07000194,B17,1,1,1.0
E07000218,B17,1,1,1.0
E07000220,B17,3,3,1.0
E07000221,B17,1,1,1.0
E07000222,B17,6,6,1.0
E07000243,B17,55,48,1.1458333333333333
E09000003,B17,352,303,1.1617161716171618
E09000006,B17,1661,1313,1.265041888804265
E06000045,B18,41,33,1.2424242424242424
E07000061,B18,7,6,1.1666666666666667
E07000062,B18,5,4,1.25
E07000063,B18,10,10,1.0
E07000064,B18,9,9,1.0
E07000065,B18,11,10,1.1
