period,LAD,SHEF_B_CODE,report_count,user_count,average
2017-2,E06000023,B11,1,1,1.0
2017-2,E06000023,B13,32,26,1.2307692307692308
2017-2,E06000023,B19,62,47,1.3191489361702127
2017-2,E06000023,B22,4,4,1.0
2017-2,E06000023,B23,83,57,1.456140350877193
2017-2,E06000023,B24,10,8,1.25
2017-2,E06000023,B25,154,105,1.4666666666666666
2017-2,E06000023,B27,11,10,1.1
2017-2,E06000023,B29,22,16,1.375
2017-2,E06000023,B3,4,4,1.0
2017-2,E06000023,B7,38,29,1.3103448275862069
2017-2,E07000089,B1,9,9,1.0
2017-2,E07000089,B14,4,3,1.3333333333333333
2017-2,E07000089,B16,15,11,1.3636363636363635
2017-2,E07000089,B18,3,3,1.0
2017-2,E07000089,B19,2,2,1.0
2017-2,E07000089,B25,32,20,1.6
2017-2,E07000089,B26,31,30,1.0333333333333334
2017-2,E07000089,B28,6,6,1.0
2017-2,E07000177,B1,4,3,1.3333333333333333
2017-2,E07000177,B13,14,14,1.0
2017-2,E07000177,B15,1,1,1.0
2017-2,E07000177,B16,6,6,1.0
2017-2,E07000177,B17,27,22,1.2272727272727273
2017-2,E07000177,B19,3,3,1.0
2017-2,E07000177,B23,2,2,1.0
2017-2,E07000177,B24,11,11,1.0
2017-2,E07000177,B25,175,125,1.4
2017-2,E07000177,B26,11,10,1.1
2017-2,E07000177,B27,3,3,1.0
2017-2,E07000177,B28,22,22,1.0
2017-2,E07000177,B29,1,1,1.0
2017-2,E07000177,B7,21,20,1.05
2017-2,E07000177,B9,1,1,1.0
2017-2,E07000178,B1,3,3,1.0
2017-2,E07000178,B13,13,10,1.3
2017-2,E07000178,B14,1,1,1.0
2017-2,E07000178,B16,6,6,1.0
2017-2,E07000178,B17,10,10,1.0
2017-2,E07000178,B19,11,10,1.1
2017-2,E07000178,B23,1,1,1.0
2017-2,E07000178,B24,13,13,1.0
2017-2,E07000178,B25,82,58,1.4137931034482758
2017-2,E07000178,B26,6,5,1.2
2017-2,E07000178,B27,1,1,1.0
2017-2,E07000178,B28,48,30,1.6
2017-2,E07000178,B29,1,1,1.0
2017-2,E07000178,B6,1,1,1.0
2017-2,E07000178,B7,14,12,1.1666666666666667
2017-2,E07000179,B1,6,6,1.0
2017-2,E07000179,B13,11,10,1.1
2017-2,E07000179,B14,1,1,1.0
2017-2,E07000179,B16,6,6,1.0
2017-2,E07000179,B17,29,27,1.0740740740740742
2017-2,E07000179,B19,13,12,1.0833333333333333
2017-2,E07000179,B20,4,2,2.0
2017-2,E07000179,B23,4,4,1.0
2017-2,E07000179,B24,15,14,1.0714285714285714
2017-2,E07000179,B25,280,187,1.4973262032085561
2017-2,E07000179,B26,21,18,1.1666666666666667
2017-2,E07000179,B28,29,29,1.0
2017-2,E07000179,B29,4,4,1.0
2017-2,E07000179,B3,3,2,1.5
2017-2,E07000179,B7,30,29,1.0344827586206897
2017-2,E07000179,B9,1,1,1.0
2017-2,E07000180,B1,3,3,1.0
2017-2,E07000180,B13,13,13,1.0
2017-2,E07000180,B16,5,5,1.0
2017-2,E07000180,B17,17,16,1.0625
2017-2,E07000180,B19,13,12,1.0833333333333333
2017-2,E07000180,B20,2,2,1.0
2017-2,E07000180,B23,1,1,1.0
2017-2,E07000180,B24,20,19,1.0526315789473684
2017-2,E07000180,B25,152,105,1.4476190476190476
2017-2,E07000180,B26,17,17,1.0
2017-2,E07000180,B27,1,1,1.0
2017-2,E07000180,B28,32,30,1.0666666666666667
2017-2,E07000180,B29,1,1,1.0
2017-2,E07000180,B6,1,1,1.0
2017-2,E07000180,B7,10,10,1.0
2017-2,E07000181,B13,14,12,1.1666666666666667
2017-2,E07000181,B16,6,5,1.2
2017-2,E07000181,B17,10,10,1.0
2017-2,E07000181,B18,2,2,1.0
2017-2,E07000181,B19,11,11,1.0
2017-2,E07000181,B23,1,1,1.0
2017-2,E07000181,B24,18,16,1.125
2017-2,E07000181,B25,288,202,1.4257425742574257
2017-2,E07000181,B26,1,1,1.0
2017-2,E07000181,B27,2,2,1.0
2017-2,E07000181,B28,39,34,1.1470588235294117
2017-2,E07000181,B3,1,1,1.0
2017-2,E07000181,B7,25,25,1.0
2017-2,E07000218,B12,3,3,1.0
2017-2,E07000218,B16,7,7,1.0
2017-2,E07000218,B17,4,4,1.0
2017-2,E07000218,B18,1,1,1.0
2017-2,E07000218,B23,14,14,1.0
2017-2,E07000218,B24,9,8,1.125
2017-2,E07000218,B25,2,2,1.0
2017-2,E07000218,B28,1,1,1.0
2017-2,E07000218,B7,3,3,1.0
2017-2,E07000219,B12,1,1,1.0
2017-2,E07000219,B15,1,1,1.0
2017-2,E07000219,B16,9,9,1.0
2017-2,E07000219,B17,3,3,1.0
2017-2,E07000219,B18,1,1,1.0
2017-2,E07000219,B23,17,12,1.4166666666666667
2017-2,E07000219,B24,10,7,1.4285714285714286
2017-2,E07000219,B25,7,3,2.3333333333333335
2017-2,E07000219,B26,1,1,1.0
2017-2,E07000219,B28,3,2,1.5
2017-2,E07000219,B7,9,3,3.0
2017-2,E07000220,B12,4,4,1.0
2017-2,E07000220,B15,1,1,1.0
2017-2,E07000220,B16,9,9,1.0
2017-2,E07000220,B17,1,1,1.0
2017-2,E07000220,B23,12,11,1.0909090909090908
2017-2,E07000220,B24,10,9,1.1111111111111112
2017-2,E07000220,B25,5,4,1.25
2017-2,E07000220,B26,3,3,1.0
2017-2,E07000220,B7,3,3,1.0
2017-2,E07000221,B12,4,4,1.0
2017-2,E07000221,B16,13,12,1.0833333333333333
2017-2,E07000221,B17,2,2,1.0
2017-2,E07000221,B18,1,1,1.0
2017-2,E07000221,B23,25,23,1.0869565217391304
2017-2,E07000221,B24,8,6,1.3333333333333333
2017-2,E07000221,B25,7,5,1.4
2017-2,E07000221,B26,4,4,1.0
2017-2,E07000221,B28,2,2,1.0
2017-2,E07000221,B3,1,1,1.0
2017-2,E07000221,B7,12,12,1.0
2017-2,E07000222,B12,3,3,1.0
2017-2,E07000222,B16,15,14,1.0714285714285714
2017-2,E07000222,B17,7,7,1.0
2017-2,E07000222,B18,2,2,1.0
2017-2,E07000222,B23,24,23,1.0434782608695652
2017-2,E07000222,B24,10,10,1.0
2017-2,E07000222,B25,9,8,1.125
2017-2,E07000222,B26,2,2,1.0
2017-2,E07000222,B28,1,1,1.0
2017-2,E07000222,B3,1,1,1.0
2017-2,E07000222,B6,1,1,1.0
2017-2,E07000222,B7,8,8,1.0
2017-2,E07000243,B1,84,35,2.4
2017-2,E07000243,B13,1,1,1.0
2017-2,E07000243,B14,12,7,1.7142857142857142
2017-2,E07000243,B16,19,9,2.111111111111111
2017-2,E07000243,B19,7,7,1.0
2017-2,E07000243,B25,1,1,1.0
2017-2,E07000243,B26,239,47,5.085106382978723
2017-2,E07000243,B28,2,2,1.0
2017-2,E07000243,B6,24,11,2.1818181818181817
2017-2,E07000243,B8,5,5,1.0
2017-2,E09000006,B1,95,89,1.0674157303370786
2017-2,E09000006,B14,33,26,1.2692307692307692
2017-2,E09000006,B15,17,17,1.0
2017-2,E09000006,B17,89,82,1.0853658536585367
2017-2,E09000006,B19,56,55,1.018181818181818
2017-2,E09000006,B23,28,27,1.037037037037037
2017-2,E09000006,B24,24,14,1.7142857142857142
2017-2,E09000006,B25,175,136,1.286764705882353
2017-2,E09000006,B26,497,320,1.553125
2017-2,E09000006,B28,125,110,1.1363636363636365
2017-2,E09000006,B7,16,16,1.0
2017-2,E09000006,B8,32,32,1.0
2017-2,E09000011,B1,67,62,1.0806451612903225
2017-2,E09000011,B13,8,4,2.0
2017-2,E09000011,B14,4,4,1.0
2017-2,E09000011,B15,7,7,1.0
2017-2,E09000011,B16,13,13,1.0
2017-2,E09000011,B18,12,10,1.2
2017-2,E09000011,B19,15,15,1.0
2017-2,E09000011,B21,1,1,1.0
2017-2,E09000011,B25,2,2,1.0
2017-2,E09000011,B26,187,137,1.364963503649635
2017-2,E09000011,B28,3,3,1.0
2017-2,E09000011,B6,20,19,1.0526315789473684
2017-2,E09000011,B7,1,1,1.0
2017-2,E09000011,B8,7,7,1.0
2017-2,S12000041,B27,1,1,1.0
2017-2,S12000041,B28,32,26,1.2307692307692308
