period,LAD,SHEF_C,report_count,user_count,average
2010-9,E08000035,Other,1,1,1.0
2010-9,E09000003,Abandoned Vehicles & Parking,3,3,1.0
2010-9,E09000003,Environmental Disruptions,2,2,1.0
2010-9,E09000003,Environmental Health,2,2,1.0
2010-9,E09000003,Incivilities,2,2,1.0
2010-9,E09000003,Other,10,10,1.0
2010-9,E09000003,Public Space,3,3,1.0
2010-9,E09000003,Road Safety & Defects,76,67,1.1343283582089552
2010-9,E09000003,Vehicles,3,3,1.0
2010-9,S12000036,Road Safety & Defects,3,2,1.5
2010-9,W06000015,Environmental Health,2,2,1.0
2010-9,W06000015,Incivilities,1,1,1.0
2010-9,W06000015,Road Safety & Defects,2,2,1.0
