period,LAD,SHEF_C_CODE,report_count,user_count,average
2012-5,E06000045,C2,13,13,1.0
2012-5,E06000045,C3,28,26,1.0769230769230769
2012-5,E06000045,C4,3,2,1.5
2012-5,E06000045,C5,17,16,1.0625
2012-5,E06000045,C7,60,53,1.1320754716981132
2012-5,E09000003,C2,22,19,1.1578947368421053
2012-5,E09000003,C3,150,109,1.3761467889908257
2012-5,E09000003,C4,38,6,6.333333333333333
2012-5,E09000003,C7,190,117,1.623931623931624
2012-5,E09000003,C8,25,24,1.0416666666666667
2012-5,E09000006,C1,2,2,1.0
2012-5,E09000006,C2,4,3,1.3333333333333333
2012-5,E09000006,C3,11,10,1.1
2012-5,E09000006,C4,1,1,1.0
2012-5,E09000006,C7,7,7,1.0
2012-5,E09000006,C8,3,3,1.0
