period,LAD,SHEF_C_CODE,report_count,user_count,average
2013-7,E06000038,C3,1,1,1.0
2013-7,E06000038,C7,1,1,1.0
2013-7,E06000045,C1,2,2,1.0
2013-7,E06000045,C2,21,14,1.5
2013-7,E06000045,C3,55,40,1.375
2013-7,E06000045,C4,6,6,1.0
2013-7,E06000045,C5,9,9,1.0
2013-7,E06000045,C7,57,48,1.1875
2013-7,E06000045,C8,2,2,1.0
2013-7,E07000177,C1,1,1,1.0
2013-7,E07000177,C2,21,17,1.2352941176470589
2013-7,E07000177,C3,12,8,1.5
2013-7,E07000177,C5,1,1,1.0
2013-7,E07000177,C7,109,33,3.303030303030303
2013-7,E07000177,C8,1,1,1.0
2013-7,E07000178,C1,2,2,1.0
2013-7,E07000178,C2,9,9,1.0
2013-7,E07000178,C3,1,1,1.0
2013-7,E07000178,C5,1,1,1.0
2013-7,E07000178,C7,22,20,1.1
2013-7,E07000178,C8,1,1,1.0
2013-7,E07000179,C1,1,1,1.0
2013-7,E07000179,C2,16,14,1.1428571428571428
2013-7,E07000179,C3,12,11,1.0909090909090908
2013-7,E07000179,C5,2,2,1.0
2013-7,E07000179,C7,85,64,1.328125
2013-7,E07000179,C8,3,3,1.0
2013-7,E07000180,C1,4,4,1.0
2013-7,E07000180,C2,14,10,1.4
2013-7,E07000180,C3,4,4,1.0
2013-7,E07000180,C5,2,2,1.0
2013-7,E07000180,C7,48,42,1.1428571428571428
2013-7,E07000181,C1,1,1,1.0
2013-7,E07000181,C2,15,13,1.1538461538461537
2013-7,E07000181,C3,6,6,1.0
2013-7,E07000181,C4,1,1,1.0
2013-7,E07000181,C5,2,2,1.0
2013-7,E07000181,C7,38,37,1.027027027027027
2013-7,E07000194,C2,2,2,1.0
2013-7,E07000194,C3,11,8,1.375
2013-7,E07000194,C4,1,1,1.0
2013-7,E07000194,C5,2,2,1.0
2013-7,E07000194,C6,3,3,1.0
2013-7,E07000194,C7,3,3,1.0
2013-7,E07000194,C8,2,2,1.0
2013-7,E07000243,C2,4,3,1.3333333333333333
2013-7,E07000243,C3,196,17,11.529411764705882
2013-7,E07000243,C4,14,5,2.8
2013-7,E07000243,C5,12,9,1.3333333333333333
2013-7,E07000243,C7,4,4,1.0
2013-7,E07000243,C8,31,10,3.1
2013-7,E09000003,C2,46,40,1.15
2013-7,E09000003,C3,187,124,1.5080645161290323
2013-7,E09000003,C4,4,4,1.0
2013-7,E09000003,C7,217,193,1.1243523316062176
2013-7,E09000006,C1,22,21,1.0476190476190477
2013-7,E09000006,C2,156,143,1.0909090909090908
2013-7,E09000006,C3,275,218,1.261467889908257
2013-7,E09000006,C4,36,20,1.8
2013-7,E09000006,C5,2,2,1.0
2013-7,E09000006,C7,203,167,1.215568862275449
2013-7,E09000006,C8,50,50,1.0
