period,LAD,SHEF_C,report_count,user_count,average
2015,E07000061,Abandoned Vehicles & Parking,16,16,1.0
2015,E07000061,Access,36,34,1.0588235294117647
2015,E07000061,Environmental Disruptions,70,55,1.2727272727272727
2015,E07000061,Environmental Health,151,103,1.4660194174757282
2015,E07000061,Incivilities,3,3,1.0
2015,E07000061,Other,36,26,1.3846153846153846
2015,E07000061,Public Space,1,1,1.0
2015,E07000061,Road Safety & Defects,939,551,1.704174228675136
2015,E07000061,Vehicles,3,3,1.0
2015,E07000062,Abandoned Vehicles & Parking,24,22,1.0909090909090908
2015,E07000062,Access,93,66,1.4090909090909092
2015,E07000062,Environmental Disruptions,139,90,1.5444444444444445
2015,E07000062,Environmental Health,179,145,1.2344827586206897
2015,E07000062,Incivilities,6,5,1.2
2015,E07000062,Other,42,40,1.05
2015,E07000062,Public Space,10,9,1.1111111111111112
2015,E07000062,Road Safety & Defects,798,497,1.6056338028169015
2015,E07000062,Vehicles,6,6,1.0
2015,E07000063,Abandoned Vehicles & Parking,46,43,1.069767441860465
2015,E07000063,Access,189,134,1.4104477611940298
2015,E07000063,Environmental Disruptions,192,153,1.2549019607843137
2015,E07000063,Environmental Health,351,271,1.2952029520295203
2015,E07000063,Incivilities,8,8,1.0
2015,E07000063,Other,59,53,1.1132075471698113
2015,E07000063,Public Space,8,7,1.1428571428571428
2015,E07000063,Road Safety & Defects,1279,878,1.4567198177676537
2015,E07000063,Vehicles,6,6,1.0
2015,E07000064,Abandoned Vehicles & Parking,23,23,1.0
2015,E07000064,Access,196,152,1.2894736842105263
2015,E07000064,Environmental Disruptions,179,141,1.2695035460992907
2015,E07000064,Environmental Health,514,355,1.447887323943662
2015,E07000064,Incivilities,11,11,1.0
2015,E07000064,Other,112,98,1.1428571428571428
2015,E07000064,Public Space,5,5,1.0
2015,E07000064,Road Safety & Defects,1561,981,1.5912334352701325
2015,E07000064,Vehicles,15,14,1.0714285714285714
2015,E07000065,Abandoned Vehicles & Parking,34,32,1.0625
2015,E07000065,Access,469,213,2.2018779342723005
2015,E07000065,Environmental Disruptions,321,255,1.2588235294117647
2015,E07000065,Environmental Health,617,422,1.462085308056872
2015,E07000065,Incivilities,8,6,1.3333333333333333
2015,E07000065,Other,117,100,1.17
2015,E07000065,Public Space,2,2,1.0
2015,E07000065,Road Safety & Defects,3144,1743,1.8037865748709123
2015,E07000065,Vehicles,104,98,1.0612244897959184
2015,E07000089,Abandoned Vehicles & Parking,25,24,1.0416666666666667
2015,E07000089,Access,4,4,1.0
2015,E07000089,Environmental Disruptions,12,11,1.0909090909090908
2015,E07000089,Environmental Health,267,209,1.277511961722488
2015,E07000089,Incivilities,13,13,1.0
2015,E07000089,Other,109,94,1.1595744680851063
2015,E07000089,Road Safety & Defects,390,324,1.2037037037037037
2015,E07000089,Vehicles,93,85,1.0941176470588236
2015,E07000165,Abandoned Vehicles & Parking,10,10,1.0
2015,E07000165,Environmental Disruptions,23,22,1.0454545454545454
2015,E07000165,Environmental Health,129,106,1.2169811320754718
2015,E07000165,Incivilities,5,5,1.0
2015,E07000165,Other,35,32,1.09375
2015,E07000165,Public Space,1,1,1.0
2015,E07000165,Road Safety & Defects,159,139,1.143884892086331
2015,E07000165,Vehicles,55,52,1.0576923076923077
2015,E07000177,,30,24,1.25
2015,E07000177,Abandoned Vehicles & Parking,40,37,1.0810810810810811
2015,E07000177,Access,5,5,1.0
2015,E07000177,Environmental Disruptions,257,197,1.3045685279187818
2015,E07000177,Environmental Health,190,133,1.4285714285714286
2015,E07000177,Incivilities,7,6,1.1666666666666667
2015,E07000177,Other,54,47,1.148936170212766
2015,E07000177,Public Space,21,20,1.05
2015,E07000177,Road Safety & Defects,1025,626,1.6373801916932906
2015,E07000177,Vehicles,8,7,1.1428571428571428
2015,E07000178,,14,13,1.0769230769230769
2015,E07000178,Abandoned Vehicles & Parking,38,35,1.0857142857142856
2015,E07000178,Access,11,10,1.1
2015,E07000178,Environmental Disruptions,95,80,1.1875
2015,E07000178,Environmental Health,126,90,1.4
2015,E07000178,Incivilities,23,16,1.4375
2015,E07000178,Other,30,28,1.0714285714285714
2015,E07000178,Public Space,2,2,1.0
2015,E07000178,Road Safety & Defects,617,479,1.2881002087682671
2015,E07000178,Vehicles,3,3,1.0
2015,E07000179,,33,22,1.5
2015,E07000179,Abandoned Vehicles & Parking,29,28,1.0357142857142858
2015,E07000179,Access,17,17,1.0
2015,E07000179,Environmental Disruptions,268,193,1.38860103626943
2015,E07000179,Environmental Health,289,196,1.4744897959183674
2015,E07000179,Incivilities,9,8,1.125
2015,E07000179,Other,33,32,1.03125
2015,E07000179,Road Safety & Defects,1392,896,1.5535714285714286
2015,E07000179,Vehicles,7,6,1.1666666666666667
2015,E07000180,,34,29,1.1724137931034482
2015,E07000180,Abandoned Vehicles & Parking,25,24,1.0416666666666667
2015,E07000180,Access,4,4,1.0
2015,E07000180,Environmental Disruptions,228,169,1.349112426035503
2015,E07000180,Environmental Health,214,163,1.312883435582822
2015,E07000180,Incivilities,8,7,1.1428571428571428
2015,E07000180,Other,38,32,1.1875
2015,E07000180,Public Space,7,4,1.75
2015,E07000180,Road Safety & Defects,925,633,1.4612954186413902
2015,E07000180,Vehicles,8,8,1.0
2015,E07000181,,12,11,1.0909090909090908
2015,E07000181,Abandoned Vehicles & Parking,27,27,1.0
2015,E07000181,Access,8,7,1.1428571428571428
2015,E07000181,Environmental Disruptions,165,114,1.4473684210526316
2015,E07000181,Environmental Health,160,119,1.3445378151260505
2015,E07000181,Incivilities,7,5,1.4
2015,E07000181,Other,44,38,1.1578947368421053
2015,E07000181,Public Space,4,4,1.0
2015,E07000181,Road Safety & Defects,1005,574,1.7508710801393728
2015,E07000181,Vehicles,6,6,1.0
2015,E07000218,Abandoned Vehicles & Parking,8,8,1.0
2015,E07000218,Access,125,90,1.3888888888888888
2015,E07000218,Environmental Disruptions,14,13,1.0769230769230769
2015,E07000218,Environmental Health,44,39,1.1282051282051282
2015,E07000218,Incivilities,2,2,1.0
2015,E07000218,Other,37,33,1.121212121212121
2015,E07000218,Public Space,2,2,1.0
2015,E07000218,Road Safety & Defects,134,103,1.3009708737864079
2015,E07000218,Vehicles,1,1,1.0
2015,E07000219,Abandoned Vehicles & Parking,4,4,1.0
2015,E07000219,Access,84,79,1.0632911392405062
2015,E07000219,Environmental Disruptions,22,22,1.0
2015,E07000219,Environmental Health,54,52,1.0384615384615385
2015,E07000219,Other,55,48,1.1458333333333333
2015,E07000219,Public Space,3,3,1.0
2015,E07000219,Road Safety & Defects,229,150,1.5266666666666666
2015,E07000219,Vehicles,2,2,1.0
2015,E07000220,Abandoned Vehicles & Parking,9,9,1.0
2015,E07000220,Access,168,120,1.4
2015,E07000220,Environmental Disruptions,33,28,1.1785714285714286
2015,E07000220,Environmental Health,80,63,1.2698412698412698
2015,E07000220,Other,82,61,1.3442622950819672
2015,E07000220,Public Space,6,6,1.0
2015,E07000220,Road Safety & Defects,244,177,1.3785310734463276
2015,E07000220,Vehicles,2,2,1.0
