lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000023,C1,106,79,1.3417721518987342
E07000177,C1,5,4,1.25
E07000178,C1,3,3,1.0
E07000179,C1,6,6,1.0
E07000180,C1,4,4,1.0
E07000181,C1,1,1,1.0
E07000218,C1,21,17,1.2352941176470589
E07000219,C1,16,14,1.1428571428571428
E07000220,C1,16,15,1.0666666666666667
E07000221,C1,42,32,1.3125
E07000222,C1,31,26,1.1923076923076923
E07000243,C1,1,1,1.0
E09000006,C1,49,47,1.0425531914893618
E06000023,C2,49,39,1.2564102564102564
E07000089,C2,1,1,1.0
E07000177,C2,32,27,1.1851851851851851
E07000178,C2,14,12,1.1666666666666667
E07000179,C2,34,30,1.1333333333333333
E07000180,C2,32,31,1.032258064516129
E07000181,C2,32,31,1.032258064516129
E07000218,C2,5,4,1.25
E07000219,C2,6,4,1.5
E07000220,C2,6,5,1.2
E07000221,C2,6,5,1.2
E07000222,C2,7,7,1.0
E07000243,C2,2,2,1.0
E09000006,C2,243,198,1.2272727272727273
E09000011,C2,8,7,1.1428571428571428
E06000023,C3,40,36,1.1111111111111112
E07000089,C3,31,26,1.1923076923076923
E07000177,C3,18,16,1.125
E07000178,C3,13,12,1.0833333333333333
E07000179,C3,25,22,1.1363636363636365
E07000180,C3,15,15,1.0
E07000181,C3,17,14,1.2142857142857142
E07000218,C3,6,6,1.0
E07000219,C3,7,3,2.3333333333333335
E07000220,C3,5,5,1.0
E07000221,C3,11,9,1.2222222222222223
E07000222,C3,11,8,1.375
E07000243,C3,245,44,5.568181818181818
E09000004,C3,1,1,1.0
E09000006,C3,514,349,1.472779369627507
E09000011,C3,188,141,1.3333333333333333
E07000089,C4,1,1,1.0
E07000178,C4,2,2,1.0
E07000219,C4,1,1,1.0
E07000243,C4,12,7,1.7142857142857142
E09000006,C4,55,31,1.7741935483870968
E09000011,C4,8,6,1.3333333333333333
E07000089,C5,11,11,1.0
E07000177,C5,1,1,1.0
E07000178,C5,5,5,1.0
E07000179,C5,7,7,1.0
E07000180,C5,8,8,1.0
E07000181,C5,8,7,1.1428571428571428
E07000218,C5,5,4,1.25
E07000219,C5,7,7,1.0
E07000220,C5,7,7,1.0
E07000221,C5,21,19,1.105263157894737
E07000222,C5,13,12,1.0833333333333333
E07000243,C5,13,10,1.3
E09000006,C5,2,2,1.0
E09000011,C5,24,23,1.0434782608695652
E07000179,C6,1,1,1.0
E07000221,C6,2,2,1.0
E09000011,C6,8,8,1.0
E06000023,C7,185,130,1.4230769230769231
E07000089,C7,13,13,1.0
E07000177,C7,93,74,1.2567567567567568
E07000178,C7,81,72,1.125
E07000179,C7,121,100,1.21
E07000180,C7,98,78,1.2564102564102564
E07000181,C7,94,80,1.175
E07000218,C7,8,8,1.0
E07000219,C7,8,8,1.0
E07000220,C7,10,8,1.25
E07000221,C7,14,14,1.0
E07000222,C7,16,13,1.2307692307692308
E07000243,C7,9,9,1.0
E09000006,C7,258,216,1.1944444444444444
E09000011,C7,18,16,1.125
E09000023,C7,1,1,1.0
S12000041,C7,14,11,1.2727272727272727
E07000089,C8,13,13,1.0
E07000177,C8,1,1,1.0
E07000178,C8,2,2,1.0
E07000179,C8,2,2,1.0
E07000180,C8,2,2,1.0
E07000181,C8,2,2,1.0
E07000218,C8,1,1,1.0
E07000222,C8,1,1,1.0
E07000243,C8,82,34,2.411764705882353
E09000006,C8,126,120,1.05
E09000011,C8,77,64,1.203125
