lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000017,C1,20,19,1.0526315789473684
E06000022,C1,190,147,1.2925170068027212
E06000023,C1,1025,663,1.546003016591252
E06000060,C1,33,25,1.32
E07000089,C1,2,2,1.0
E07000136,C1,49,9,5.444444444444445
E07000137,C1,121,27,4.481481481481482
E07000138,C1,64,12,5.333333333333333
E07000139,C1,104,15,6.933333333333334
E07000140,C1,69,11,6.2727272727272725
E07000141,C1,114,17,6.705882352941177
E07000142,C1,95,17,5.588235294117647
E07000177,C1,19,18,1.0555555555555556
E07000178,C1,8,8,1.0
E07000179,C1,30,28,1.0714285714285714
E07000180,C1,27,23,1.173913043478261
E07000181,C1,19,15,1.2666666666666666
E07000218,C1,79,58,1.3620689655172413
E07000219,C1,134,89,1.5056179775280898
E07000220,C1,82,71,1.1549295774647887
E07000221,C1,171,143,1.1958041958041958
E07000222,C1,200,163,1.2269938650306749
E07000242,C1,5,5,1.0
E07000243,C1,23,17,1.3529411764705883
E09000006,C1,340,291,1.168384879725086
E06000017,C2,38,30,1.2666666666666666
E06000022,C2,981,600,1.635
E06000023,C2,446,300,1.4866666666666666
E06000060,C2,1265,1017,1.2438544739429696
E07000089,C2,8,8,1.0
E07000136,C2,55,14,3.9285714285714284
E07000137,C2,153,42,3.642857142857143
E07000138,C2,79,20,3.95
E07000139,C2,105,35,3.0
E07000140,C2,117,32,3.65625
E07000141,C2,137,45,3.0444444444444443
E07000142,C2,95,32,2.96875
E07000177,C2,581,362,1.6049723756906078
E07000178,C2,259,166,1.5602409638554218
E07000179,C2,647,415,1.5590361445783132
E07000180,C2,548,356,1.5393258426966292
E07000181,C2,429,264,1.625
E07000218,C2,11,11,1.0
E07000219,C2,34,29,1.1724137931034482
E07000220,C2,24,24,1.0
E07000221,C2,43,42,1.0238095238095237
E07000222,C2,50,46,1.0869565217391304
E07000242,C2,7,7,1.0
E07000243,C2,91,63,1.4444444444444444
E09000006,C2,2301,1753,1.3126069594980034
E09000011,C2,58,55,1.0545454545454545
E06000017,C3,21,18,1.1666666666666667
E06000022,C3,3372,1341,2.5145413870246087
E06000023,C3,828,587,1.4105621805792163
E06000060,C3,1472,1106,1.3309222423146474
E07000089,C3,407,326,1.2484662576687116
E07000136,C3,81,31,2.6129032258064515
E07000137,C3,254,78,3.2564102564102564
E07000138,C3,150,37,4.054054054054054
E07000139,C3,155,57,2.719298245614035
E07000140,C3,125,37,3.3783783783783785
E07000141,C3,234,89,2.6292134831460676
E07000142,C3,168,61,2.7540983606557377
E07000177,C3,748,304,2.460526315789474
E07000178,C3,531,227,2.33920704845815
E07000179,C3,1243,385,3.2285714285714286
E07000180,C3,731,275,2.658181818181818
E07000181,C3,810,267,3.033707865168539
E07000218,C3,99,68,1.4558823529411764
E07000219,C3,114,58,1.9655172413793103
E07000220,C3,89,81,1.0987654320987654
E07000221,C3,190,155,1.2258064516129032
E07000222,C3,172,147,1.1700680272108843
E07000242,C3,104,84,1.2380952380952381
E07000243,C3,2701,458,5.897379912663755
E09000006,C3,6440,3323,1.938007824255191
E09000008,C3,1,1,1.0
E09000011,C3,2337,1463,1.5974025974025974
E09000023,C3,2,2,1.0
S12000041,C3,4,3,1.3333333333333333
E06000017,C4,1,1,1.0
E06000022,C4,110,72,1.5277777777777777
E06000060,C4,62,40,1.55
E07000089,C4,21,15,1.4
E07000137,C4,5,1,5.0
E07000139,C4,6,3,2.0
E07000140,C4,3,2,1.5
E07000141,C4,3,2,1.5
E07000142,C4,5,3,1.6666666666666667
E07000177,C4,7,7,1.0
E07000178,C4,12,10,1.2
E07000179,C4,7,7,1.0
E07000180,C4,7,7,1.0
E07000181,C4,4,3,1.3333333333333333
E07000220,C4,1,1,1.0
E07000221,C4,1,1,1.0
E07000242,C4,1,1,1.0
