lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000017,C1,9,9,1.0
E06000022,C1,15,14,1.0714285714285714
E06000023,C1,64,60,1.0666666666666667
E06000031,C1,36,33,1.0909090909090908
E06000046,C1,14,3,4.666666666666667
E06000060,C1,4,4,1.0
E07000136,C1,7,4,1.75
E07000137,C1,23,11,2.090909090909091
E07000138,C1,8,5,1.6
E07000139,C1,12,6,2.0
E07000140,C1,12,4,3.0
E07000141,C1,13,4,3.25
E07000142,C1,10,8,1.25
E07000150,C1,6,4,1.5
E07000151,C1,23,20,1.15
E07000152,C1,22,16,1.375
E07000153,C1,10,9,1.1111111111111112
E07000154,C1,52,29,1.793103448275862
E07000155,C1,21,19,1.105263157894737
E07000156,C1,15,12,1.25
E07000179,C1,1,1,1.0
E07000218,C1,5,5,1.0
E07000219,C1,6,6,1.0
E07000220,C1,10,10,1.0
E07000221,C1,20,20,1.0
E07000222,C1,16,15,1.0666666666666667
E09000004,C1,311,230,1.3521739130434782
E09000012,C1,13,9,1.4444444444444444
E09000018,C1,67,45,1.488888888888889
E06000017,C2,9,8,1.125
E06000022,C2,76,63,1.2063492063492063
E06000023,C2,28,24,1.1666666666666667
E06000031,C2,49,48,1.0208333333333333
E06000043,C2,2,1,2.0
E06000046,C2,318,24,13.25
E06000049,C2,183,1,183.0
E06000055,C2,1,1,1.0
E06000060,C2,178,154,1.155844155844156
E07000012,C2,1,1,1.0
E07000029,C2,1,1,1.0
E07000036,C2,1,1,1.0
E07000039,C2,1,1,1.0
E07000045,C2,2,1,2.0
E07000068,C2,1,1,1.0
E07000086,C2,1,1,1.0
E07000091,C2,1,1,1.0
E07000094,C2,2,1,2.0
E07000110,C2,1,1,1.0
E07000134,C2,1,1,1.0
E07000136,C2,15,6,2.5
E07000137,C2,30,13,2.3076923076923075
E07000138,C2,16,7,2.2857142857142856
E07000139,C2,27,15,1.8
E07000140,C2,13,4,3.25
E07000141,C2,32,12,2.6666666666666665
E07000142,C2,23,18,1.2777777777777777
E07000150,C2,4,3,1.3333333333333333
E07000151,C2,34,27,1.2592592592592593
E07000152,C2,32,23,1.391304347826087
E07000153,C2,20,17,1.1764705882352942
E07000154,C2,43,34,1.2647058823529411
E07000155,C2,42,27,1.5555555555555556
E07000156,C2,14,8,1.75
E07000167,C2,1,1,1.0
E07000175,C2,2,1,2.0
E07000177,C2,20,19,1.0526315789473684
