lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000017,C1,183,141,1.297872340425532
E06000022,C1,782,557,1.4039497307001796
E06000023,C1,5460,3216,1.6977611940298507
E06000031,C1,698,501,1.3932135728542914
E06000045,C1,24,15,1.6
E06000046,C1,120,17,7.0588235294117645
E06000056,C1,3,3,1.0
E06000060,C1,165,82,2.0121951219512195
E07000061,C1,60,56,1.0714285714285714
E07000062,C1,135,94,1.4361702127659575
E07000063,C1,256,183,1.3989071038251366
E07000064,C1,271,206,1.3155339805825244
E07000065,C1,587,277,2.11913357400722
E07000089,C1,23,23,1.0
E07000136,C1,267,42,6.357142857142857
E07000137,C1,817,149,5.483221476510067
E07000138,C1,366,76,4.815789473684211
E07000139,C1,581,113,5.1415929203539825
E07000140,C1,449,86,5.22093023255814
E07000141,C1,636,137,4.642335766423358
E07000142,C1,514,115,4.469565217391304
E07000150,C1,123,91,1.3516483516483517
E07000151,C1,440,317,1.38801261829653
E07000152,C1,382,280,1.3642857142857143
E07000153,C1,309,196,1.5765306122448979
E07000154,C1,801,442,1.8122171945701357
E07000155,C1,636,326,1.950920245398773
E07000156,C1,335,218,1.536697247706422
E07000177,C1,171,129,1.3255813953488371
E07000178,C1,88,81,1.0864197530864197
E07000179,C1,268,202,1.3267326732673268
E07000180,C1,233,174,1.339080459770115
E07000181,C1,129,102,1.2647058823529411
E07000218,C1,660,449,1.469933184855234
E07000219,C1,903,590,1.5305084745762711
E07000220,C1,751,541,1.388170055452865
E07000221,C1,1714,1226,1.398042414355628
E07000222,C1,1662,1237,1.34357316087308
E07000242,C1,16,16,1.0
E07000243,C1,148,77,1.922077922077922
E08000035,C1,1,1,1.0
E09000004,C1,4602,2548,1.8061224489795917
E09000006,C1,2673,2053,1.3019970774476377
E09000009,C1,2,2,1.0
E09000011,C1,8,8,1.0
E09000012,C1,59,40,1.475
E09000018,C1,1484,626,2.3706070287539935
E06000004,C2,1,1,1.0
E06000007,C2,1,1,1.0
E06000013,C2,1,1,1.0
E06000015,C2,2,1,2.0
E06000017,C2,241,173,1.393063583815029
E06000018,C2,1,1,1.0
E06000022,C2,4006,2160,1.8546296296296296
E06000023,C2,1991,1264,1.5751582278481013
E06000026,C2,2,1,2.0
E06000031,C2,936,781,1.1984635083226634
E06000038,C2,4,3,1.3333333333333333
E06000043,C2,2,1,2.0
E06000045,C2,603,394,1.5304568527918783
E06000046,C2,4077,214,19.05140186915888
E06000049,C2,2555,21,121.66666666666667
E06000051,C2,1,1,1.0
E06000052,C2,1,1,1.0
E06000055,C2,1,1,1.0
E06000056,C2,13,11,1.1818181818181819
E06000060,C2,6596,4624,1.4264705882352942
E07000012,C2,2,1,2.0
E07000026,C2,1,1,1.0
E07000029,C2,1,1,1.0
E07000031,C2,1,1,1.0
E07000036,C2,3,1,3.0
E07000039,C2,1,1,1.0
E07000045,C2,2,1,2.0
E07000061,C2,97,79,1.2278481012658229
E07000062,C2,180,119,1.5126050420168067
E07000063,C2,271,210,1.2904761904761906
E07000064,C2,282,208,1.3557692307692308
E07000065,C2,471,345,1.3652173913043477
E07000067,C2,1,1,1.0
E07000068,C2,1,1,1.0
E07000071,C2,2,1,2.0
E07000076,C2,1,1,1.0
E07000086,C2,1,1,1.0
E07000089,C2,81,68,1.1911764705882353
E07000091,C2,2,1,2.0
E07000092,C2,1,1,1.0
E07000094,C2,2,1,2.0
E07000110,C2,1,1,1.0
E07000134,C2,2,1,2.0
E07000136,C2,467,101,4.623762376237623
E07000137,C2,1300,309,4.207119741100324
E07000138,C2,574,149,3.8523489932885906
E07000139,C2,1017,307,3.3127035830618894
E07000140,C2,785,175,4.485714285714286
E07000141,C2,1184,320,3.7
E07000142,C2,830,261,3.1800766283524906
E07000145,C2,1,1,1.0
E07000150,C2,191,117,1.6324786324786325
E07000151,C2,602,392,1.5357142857142858
E07000152,C2,1003,564,1.7783687943262412
E07000153,C2,552,330,1.6727272727272726
E07000154,C2,1151,663,1.7360482654600302
E07000155,C2,1179,557,2.116696588868941
E07000156,C2,459,298,1.5402684563758389
E07000165,C2,60,59,1.0169491525423728
E07000167,C2,1,1,1.0
E07000171,C2,1,1,1.0
E07000175,C2,4,1,4.0
E07000176,C2,3,1,3.0
E07000177,C2,3080,1872,1.6452991452991452
E07000178,C2,1207,755,1.5986754966887418
E07000179,C2,3480,2116,1.6446124763705103
E07000180,C2,2872,1747,1.6439610761305095
E07000181,C2,2224,1346,1.652303120356612
E07000193,C2,1,1,1.0
E07000194,C2,10,10,1.0
E07000195,C2,1,1,1.0
E07000196,C2,3,1,3.0
E07000200,C2,2,1,2.0
E07000209,C2,1,1,1.0
E07000214,C2,1,1,1.0
E07000218,C2,122,106,1.150943396226415
E07000219,C2,225,191,1.1780104712041886
E07000220,C2,206,164,1.2560975609756098
E07000221,C2,345,309,1.116504854368932
E07000222,C2,478,417,1.146282973621103
E07000228,C2,1,1,1.0
E07000242,C2,20,20,1.0
E07000243,C2,768,306,2.5098039215686274
E08000004,C2,1,1,1.0
E08000034,C2,1,1,1.0
E08000035,C2,1,1,1.0
E09000003,C2,1187,872,1.3612385321100917
E09000004,C2,354,277,1.2779783393501805
E09000006,C2,17121,10118,1.6921328325756078
E09000011,C2,316,270,1.1703703703703703
E09000012,C2,15,11,1.3636363636363635
E09000018,C2,2716,1188,2.2861952861952863
E09000033,C2,87,21,4.142857142857143
S12000041,C2,5,5,1.0
W06000015,C2,2,2,1.0
E06000008,C3,2,1,2.0
E06000011,C3,2,1,2.0
E06000014,C3,1,1,1.0
E06000015,C3,1,1,1.0
E06000017,C3,275,182,1.510989010989011
E06000018,C3,3,1,3.0
E06000019,C3,1,1,1.0
E06000020,C3,1,1,1.0
E06000022,C3,14739,4871,3.025867378361733
E06000023,C3,4048,2550,1.5874509803921568
E06000025,C3,1,1,1.0
E06000031,C3,705,504,1.3988095238095237
E06000035,C3,1,1,1.0
E06000037,C3,1,1,1.0
E06000038,C3,7,6,1.1666666666666667
E06000043,C3,1,1,1.0
E06000045,C3,1511,913,1.6549835706462213
E06000046,C3,4927,302,16.314569536423843
E06000049,C3,2606,13,200.46153846153845
E06000051,C3,1,1,1.0
E06000052,C3,9,1,9.0
E06000054,C3,1,1,1.0
E06000056,C3,8,5,1.6
E06000057,C3,1,1,1.0
E06000060,C3,11658,6867,1.6976845784185233
E07000009,C3,1,1,1.0
E07000011,C3,2,1,2.0
E07000012,C3,1,1,1.0
E07000026,C3,1,1,1.0
E07000029,C3,1,1,1.0
E07000030,C3,3,1,3.0
E07000031,C3,1,1,1.0
E07000032,C3,1,1,1.0
E07000033,C3,2,1,2.0
E07000036,C3,1,1,1.0
E07000061,C3,272,161,1.68944099378882
E07000062,C3,286,227,1.2599118942731278
E07000063,C3,595,427,1.3934426229508197
E07000064,C3,1049,639,1.6416275430359937
E07000065,C3,1155,699,1.6523605150214593
E07000071,C3,1,1,1.0
E07000077,C3,1,1,1.0
E07000084,C3,1,1,1.0
E07000085,C3,2,1,2.0
E07000089,C3,2552,1676,1.522673031026253
E07000091,C3,1,1,1.0
E07000099,C3,1,1,1.0
E07000105,C3,3,1,3.0
E07000110,C3,1,1,1.0
E07000116,C3,2,1,2.0
E07000120,C3,2,1,2.0
E07000125,C3,1,1,1.0
E07000126,C3,1,1,1.0
E07000127,C3,3,1,3.0
