period,LAD,report_count,user_count,average
2013,,267,208,1.2836538461538463
2013,E06000001,52,21,2.4761904761904763
2013,E06000002,55,34,1.6176470588235294
2013,E06000003,74,43,1.7209302325581395
2013,E06000004,85,62,1.3709677419354838
2013,E06000005,78,41,1.9024390243902438
2013,E06000006,97,42,2.3095238095238093
2013,E06000007,249,138,1.8043478260869565
2013,E06000008,609,360,1.6916666666666667
2013,E06000009,169,108,1.5648148148148149
2013,E06000010,146,87,1.6781609195402298
2013,E06000011,287,137,2.0948905109489053
2013,E06000012,120,61,1.9672131147540983
2013,E06000013,85,40,2.125
2013,E06000014,195,89,2.191011235955056
2013,E06000015,119,73,1.63013698630137
2013,E06000016,143,87,1.6436781609195403
2013,E06000017,24,10,2.4
2013,E06000018,208,94,2.2127659574468086
2013,E06000019,627,253,2.4782608695652173
2013,E06000020,154,67,2.298507462686567
2013,E06000021,484,154,3.142857142857143
2013,E06000022,189,89,2.1235955056179776
2013,E06000023,636,252,2.5238095238095237
2013,E06000024,216,119,1.815126050420168
2013,E06000025,241,136,1.7720588235294117
2013,E06000026,285,151,1.8874172185430464
2013,E06000027,161,52,3.0961538461538463
2013,E06000028,424,96,4.416666666666667
2013,E06000029,88,37,2.3783783783783785
2013,E06000030,180,106,1.6981132075471699
2013,E06000031,645,169,3.8165680473372783
2013,E06000032,204,84,2.4285714285714284
2013,E06000033,217,85,2.552941176470588
2013,E06000034,83,51,1.6274509803921569
2013,E06000035,87,66,1.3181818181818181
2013,E06000036,126,80,1.575
2013,E06000037,276,163,1.6932515337423313
2013,E06000038,481,203,2.3694581280788176
2013,E06000039,77,43,1.7906976744186047
2013,E06000040,192,111,1.7297297297297298
2013,E06000041,422,151,2.794701986754967
2013,E06000042,299,156,1.9166666666666667
2013,E06000043,371,152,2.4407894736842106
2013,E06000044,106,70,1.5142857142857142
2013,E06000045,674,175,3.8514285714285714
2013,E06000046,220,69,3.1884057971014492
2013,E06000047,431,237,1.8185654008438819
2013,E06000049,1065,439,2.425968109339408
2013,E06000050,359,178,2.0168539325842696
2013,E06000051,204,130,1.5692307692307692
2013,E06000052,432,234,1.8461538461538463
2013,E06000053,1,1,1.0
2013,E06000054,708,349,2.0286532951289398
2013,E06000055,120,61,1.9672131147540983
2013,E06000056,514,248,2.0725806451612905
2013,E06000057,556,247,2.251012145748988
2013,E07000004,403,190,2.1210526315789475
2013,E07000005,300,132,2.272727272727273
2013,E07000006,242,108,2.240740740740741
2013,E07000007,365,192,1.9010416666666667
2013,E07000008,513,192,2.671875
2013,E07000009,84,53,1.5849056603773586
2013,E07000010,107,39,2.7435897435897436
2013,E07000011,274,150,1.8266666666666667
2013,E07000012,428,226,1.8938053097345133
2013,E07000026,62,37,1.6756756756756757
2013,E07000027,100,29,3.4482758620689653
2013,E07000028,38,29,1.3103448275862069
2013,E07000029,109,65,1.676923076923077
2013,E07000030,42,18,2.3333333333333335
2013,E07000031,173,96,1.8020833333333333
2013,E07000032,97,59,1.6440677966101696
2013,E07000033,72,43,1.6744186046511629
2013,E07000034,86,47,1.8297872340425532
2013,E07000035,104,55,1.8909090909090909
