period,LAD,report_count,user_count,average
2017-12,,40,33,1.2121212121212122
2017-12,E06000001,17,11,1.5454545454545454
2017-12,E06000002,52,14,3.7142857142857144
2017-12,E06000003,5,5,1.0
2017-12,E06000004,38,27,1.4074074074074074
2017-12,E06000005,8,4,2.0
2017-12,E06000006,11,11,1.0
2017-12,E06000007,13,8,1.625
2017-12,E06000008,38,15,2.533333333333333
2017-12,E06000009,9,9,1.0
2017-12,E06000010,354,21,16.857142857142858
2017-12,E06000011,6,6,1.0
2017-12,E06000012,6,5,1.2
2017-12,E06000013,30,12,2.5
2017-12,E06000014,26,6,4.333333333333333
2017-12,E06000015,17,13,1.3076923076923077
2017-12,E06000016,21,13,1.6153846153846154
2017-12,E06000017,2,2,1.0
2017-12,E06000018,19,19,1.0
2017-12,E06000019,32,19,1.6842105263157894
2017-12,E06000020,9,7,1.2857142857142858
2017-12,E06000021,47,30,1.5666666666666667
2017-12,E06000022,28,17,1.6470588235294117
2017-12,E06000023,153,99,1.5454545454545454
2017-12,E06000024,23,16,1.4375
2017-12,E06000025,49,32,1.53125
2017-12,E06000026,19,13,1.4615384615384615
2017-12,E06000027,3,3,1.0
2017-12,E06000028,5,4,1.25
2017-12,E06000029,6,6,1.0
2017-12,E06000030,29,20,1.45
2017-12,E06000031,80,28,2.857142857142857
2017-12,E06000032,47,27,1.7407407407407407
2017-12,E06000033,14,12,1.1666666666666667
2017-12,E06000034,14,13,1.0769230769230769
2017-12,E06000035,19,18,1.0555555555555556
2017-12,E06000036,27,21,1.2857142857142858
2017-12,E06000037,16,11,1.4545454545454546
2017-12,E06000038,76,47,1.6170212765957446
2017-12,E06000039,20,10,2.0
2017-12,E06000040,43,33,1.303030303030303
2017-12,E06000041,58,36,1.6111111111111112
2017-12,E06000042,4,4,1.0
2017-12,E06000043,34,23,1.4782608695652173
2017-12,E06000044,10,9,1.1111111111111112
2017-12,E06000045,87,38,2.289473684210526
2017-12,E06000046,8,6,1.3333333333333333
2017-12,E06000047,15,7,2.142857142857143
2017-12,E06000049,165,64,2.578125
2017-12,E06000050,103,32,3.21875
2017-12,E06000051,68,36,1.8888888888888888
2017-12,E06000052,79,47,1.6808510638297873
2017-12,E06000054,6,6,1.0
2017-12,E06000055,14,12,1.1666666666666667
2017-12,E06000056,14,12,1.1666666666666667
2017-12,E06000057,40,30,1.3333333333333333
2017-12,E07000004,83,48,1.7291666666666667
2017-12,E07000005,24,17,1.411764705882353
2017-12,E07000006,30,20,1.5
2017-12,E07000007,27,23,1.173913043478261
2017-12,E07000008,6,6,1.0
2017-12,E07000009,8,7,1.1428571428571428
2017-12,E07000010,2,2,1.0
2017-12,E07000011,9,9,1.0
2017-12,E07000012,7,7,1.0
2017-12,E07000026,14,14,1.0
2017-12,E07000027,2,2,1.0
2017-12,E07000028,13,8,1.625
2017-12,E07000029,30,24,1.25
2017-12,E07000030,2,1,2.0
2017-12,E07000031,17,15,1.1333333333333333
2017-12,E07000032,12,7,1.7142857142857142
2017-12,E07000033,8,7,1.1428571428571428
2017-12,E07000034,9,8,1.125
2017-12,E07000035,10,9,1.1111111111111112
2017-12,E07000036,7,6,1.1666666666666667
2017-12,E07000037,14,8,1.75
2017-12,E07000038,11,11,1.0
2017-12,E07000039,8,7,1.1428571428571428
2017-12,E07000040,6,6,1.0
2017-12,E07000041,9,5,1.8
2017-12,E07000042,5,4,1.25
2017-12,E07000043,8,7,1.1428571428571428
2017-12,E07000044,5,5,1.0
2017-12,E07000045,6,6,1.0
