lad,reports,unique_users,average_per_user
E06000001,2,2,1.0
E06000002,2,2,1.0
E06000003,11,7,1.5714285714285714
E06000004,7,5,1.4
E06000006,4,4,1.0
E06000007,8,8,1.0
E06000008,18,17,1.0588235294117647
E06000009,9,8,1.125
E06000010,4,4,1.0
E06000011,13,12,1.0833333333333333
E06000012,5,3,1.6666666666666667
E06000013,3,2,1.5
E06000014,4,3,1.3333333333333333
E06000015,13,9,1.4444444444444444
E06000016,7,5,1.4
E06000018,25,9,2.7777777777777777
E06000019,16,12,1.3333333333333333
E06000020,20,18,1.1111111111111112
E06000021,17,14,1.2142857142857142
E06000022,6,6,1.0
E06000023,18,16,1.125
E06000024,18,8,2.25
E06000025,9,7,1.2857142857142858
E06000026,11,11,1.0
E06000027,5,4,1.25
E06000030,8,8,1.0
E06000031,38,14,2.7142857142857144
E06000032,15,8,1.875
E06000033,2,2,1.0
E06000034,1,1,1.0
E06000035,5,4,1.25
E06000036,3,3,1.0
E06000037,2,2,1.0
E06000038,31,16,1.9375
E06000039,18,9,2.0
E06000040,5,5,1.0
E06000041,16,14,1.1428571428571428
E06000042,15,13,1.1538461538461537
E06000043,38,25,1.52
E06000044,22,18,1.2222222222222223
E06000045,21,17,1.2352941176470589
E06000046,8,2,4.0
E06000047,37,28,1.3214285714285714
E06000049,39,29,1.3448275862068966
E06000050,7,7,1.0
E06000051,14,12,1.1666666666666667
E06000052,27,23,1.173913043478261
E06000054,33,21,1.5714285714285714
E06000055,12,8,1.5
E06000056,31,16,1.9375
E06000057,11,10,1.1
E06000058,50,24,2.0833333333333335
E06000059,12,11,1.0909090909090908
E06000060,80,45,1.7777777777777777
E07000008,32,23,1.391304347826087
E07000009,6,4,1.5
E07000010,6,5,1.2
E07000011,17,14,1.2142857142857142
E07000012,40,32,1.25
E07000026,3,3,1.0
E07000027,6,1,6.0
E07000028,4,2,2.0
E07000029,1,1,1.0
E07000031,4,3,1.3333333333333333
E07000032,7,7,1.0
E07000033,2,2,1.0
E07000034,6,3,2.0
E07000035,7,7,1.0
E07000036,6,6,1.0
E07000037,1,1,1.0
E07000038,7,3,2.3333333333333335
E07000039,5,5,1.0
E07000040,12,10,1.2
E07000041,7,7,1.0
E07000042,4,3,1.3333333333333333
E07000043,18,9,2.0
E07000044,6,5,1.2
E07000045,19,19,1.0
E07000046,18,4,4.5
E07000047,2,2,1.0
E07000061,4,4,1.0
E07000062,12,6,2.0
E07000063,5,3,1.6666666666666667
E07000065,4,4,1.0
E07000066,12,9,1.3333333333333333
E07000067,4,4,1.0
E07000068,2,2,1.0
E07000069,4,3,1.3333333333333333
E07000070,9,5,1.8
E07000071,8,6,1.3333333333333333
E07000072,6,5,1.2
E07000073,7,5,1.4
E07000074,1,1,1.0
E07000075,8,8,1.0
E07000076,2,2,1.0
E07000077,1,1,1.0
E07000078,26,21,1.2380952380952381
E07000079,15,3,5.0
E07000080,1,1,1.0
E07000081,3,3,1.0
E07000082,7,6,1.1666666666666667
E07000083,5,4,1.25
E07000084,22,18,1.2222222222222223
E07000085,13,11,1.1818181818181819
E07000086,9,8,1.125
E07000087,6,5,1.2
E07000089,45,8,5.625
E07000090,1,1,1.0
E07000091,10,8,1.25
E07000092,3,2,1.5
E07000093,11,8,1.375
E07000094,14,10,1.4
E07000095,1,1,1.0
E07000096,29,12,2.4166666666666665
E07000098,13,9,1.4444444444444444
E07000099,17,10,1.7
E07000102,5,2,2.5
E07000103,3,3,1.0
E07000105,7,6,1.1666666666666667
E07000106,28,13,2.1538461538461537
E07000107,3,3,1.0
E07000108,3,3,1.0
E07000109,3,3,1.0
E07000110,16,12,1.3333333333333333
E07000111,4,2,2.0
E07000112,6,4,1.5
E07000113,6,5,1.2
E07000114,16,9,1.7777777777777777
E07000115,2,2,1.0
E07000116,7,5,1.4
E07000117,2,2,1.0
E07000118,3,3,1.0
E07000119,5,5,1.0
E07000120,8,6,1.3333333333333333
E07000121,3,3,1.0
E07000122,6,2,3.0
E07000123,7,7,1.0
E07000124,2,2,1.0
E07000125,5,4,1.25
E07000126,6,4,1.5
E07000127,5,5,1.0
E07000128,7,3,2.3333333333333335
E07000130,7,5,1.4
E07000131,2,2,1.0
E07000132,2,2,1.0
E07000135,7,3,2.3333333333333335
E07000137,5,5,1.0
E07000138,3,3,1.0
E07000139,5,4,1.25
E07000140,1,1,1.0
E07000141,12,8,1.5
E07000142,5,5,1.0
E07000143,12,8,1.5
E07000144,4,4,1.0
E07000145,9,9,1.0
E07000146,13,9,1.4444444444444444
E07000147,2,2,1.0
E07000148,8,6,1.3333333333333333
E07000149,6,5,1.2
E07000151,7,7,1.0
E07000152,6,5,1.2
E07000153,5,4,1.25
E07000154,8,7,1.1428571428571428
E07000155,7,7,1.0
E07000156,9,6,1.5
E07000163,2,2,1.0
E07000164,6,6,1.0
E07000165,13,12,1.0833333333333333
E07000166,1,1,1.0
E07000167,3,3,1.0
E07000168,3,2,1.5
E07000169,4,4,1.0
E07000170,3,3,1.0
E07000171,6,6,1.0
E07000172,5,4,1.25
E07000173,3,3,1.0
E07000174,1,1,1.0
E07000175,3,3,1.0
E07000176,4,4,1.0
E07000177,5,3,1.6666666666666667
E07000178,6,5,1.2
E07000179,11,9,1.2222222222222223
E07000180,11,8,1.375
E07000181,1,1,1.0
E07000187,5,4,1.25
E07000188,3,3,1.0
E07000189,4,4,1.0
E07000192,3,3,1.0
E07000193,3,2,1.5
E07000194,16,14,1.1428571428571428
E07000195,3,3,1.0
E07000196,4,4,1.0
E07000197,3,3,1.0
E07000198,2,2,1.0
E07000199,2,2,1.0
E07000200,2,2,1.0
E07000202,23,11,2.090909090909091
E07000203,2,2,1.0
E07000207,8,8,1.0
E07000208,5,4,1.25
E07000209,36,18,2.0
