period,LAD,report_count,user_count,average
2012-7,,1,1,1.0
2012-7,E06000001,5,5,1.0
2012-7,E06000002,2,2,1.0
2012-7,E06000003,4,4,1.0
2012-7,E06000004,3,3,1.0
2012-7,E06000005,6,3,2.0
2012-7,E06000006,3,2,1.5
2012-7,E06000007,18,14,1.2857142857142858
2012-7,E06000008,33,28,1.1785714285714286
2012-7,E06000009,23,16,1.4375
2012-7,E06000010,9,8,1.125
2012-7,E06000011,21,17,1.2352941176470589
2012-7,E06000012,9,6,1.5
2012-7,E06000013,1,1,1.0
2012-7,E06000014,5,3,1.6666666666666667
2012-7,E06000015,7,6,1.1666666666666667
2012-7,E06000016,12,10,1.2
2012-7,E06000017,2,1,2.0
2012-7,E06000018,40,22,1.8181818181818181
2012-7,E06000019,28,14,2.0
2012-7,E06000020,21,14,1.5
2012-7,E06000021,14,11,1.2727272727272727
2012-7,E06000022,6,5,1.2
2012-7,E06000023,52,31,1.6774193548387097
2012-7,E06000024,29,15,1.9333333333333333
2012-7,E06000025,11,11,1.0
2012-7,E06000026,16,14,1.1428571428571428
2012-7,E06000027,4,4,1.0
2012-7,E06000030,32,23,1.391304347826087
2012-7,E06000031,51,20,2.55
2012-7,E06000032,16,10,1.6
2012-7,E06000033,13,7,1.8571428571428572
2012-7,E06000034,5,5,1.0
2012-7,E06000035,16,14,1.1428571428571428
2012-7,E06000036,10,8,1.25
2012-7,E06000037,14,8,1.75
2012-7,E06000038,32,21,1.5238095238095237
2012-7,E06000039,3,3,1.0
2012-7,E06000040,12,8,1.5
2012-7,E06000041,54,27,2.0
2012-7,E06000042,21,14,1.5
2012-7,E06000043,38,28,1.3571428571428572
2012-7,E06000044,6,6,1.0
2012-7,E06000045,83,30,2.7666666666666666
2012-7,E06000046,9,2,4.5
2012-7,E06000047,35,32,1.09375
2012-7,E06000049,74,45,1.6444444444444444
2012-7,E06000050,16,11,1.4545454545454546
2012-7,E06000051,16,15,1.0666666666666667
2012-7,E06000052,35,27,1.2962962962962963
2012-7,E06000054,32,23,1.391304347826087
2012-7,E06000055,9,4,2.25
2012-7,E06000056,28,22,1.2727272727272727
2012-7,E06000057,26,24,1.0833333333333333
2012-7,E06000058,68,31,2.193548387096774
2012-7,E06000059,29,24,1.2083333333333333
2012-7,E07000004,22,11,2.0
2012-7,E07000005,22,14,1.5714285714285714
2012-7,E07000006,7,6,1.1666666666666667
2012-7,E07000007,24,19,1.263157894736842
2012-7,E07000008,37,18,2.0555555555555554
2012-7,E07000009,6,5,1.2
2012-7,E07000010,4,4,1.0
2012-7,E07000011,16,13,1.2307692307692308
2012-7,E07000012,29,16,1.8125
2012-7,E07000026,3,3,1.0
2012-7,E07000027,2,2,1.0
2012-7,E07000028,1,1,1.0
2012-7,E07000029,3,2,1.5
