lad,SHEF_A_CODE,reports,unique_users,average_per_user
E06000002,A1,2,2,1.0
E06000003,A1,5,4,1.25
E06000004,A1,1,1,1.0
E06000005,A1,2,2,1.0
E06000006,A1,1,1,1.0
E06000007,A1,1,1,1.0
E06000008,A1,1,1,1.0
E06000010,A1,5,4,1.25
E06000011,A1,3,2,1.5
E06000013,A1,1,1,1.0
E06000014,A1,5,5,1.0
E06000015,A1,1,1,1.0
E06000016,A1,4,2,2.0
E06000018,A1,1,1,1.0
E06000019,A1,1,1,1.0
E06000020,A1,2,2,1.0
E06000021,A1,2,2,1.0
E06000022,A1,2,2,1.0
E06000023,A1,6,5,1.2
E06000024,A1,6,5,1.2
E06000025,A1,4,4,1.0
E06000026,A1,6,4,1.5
E06000027,A1,1,1,1.0
E06000030,A1,4,4,1.0
E06000031,A1,2,2,1.0
E06000032,A1,4,4,1.0
E06000035,A1,13,10,1.3
E06000036,A1,4,3,1.3333333333333333
E06000038,A1,6,6,1.0
E06000039,A1,3,3,1.0
E06000040,A1,2,2,1.0
E06000041,A1,2,2,1.0
E06000042,A1,7,7,1.0
E06000043,A1,20,19,1.0526315789473684
E06000044,A1,5,5,1.0
E06000045,A1,8,8,1.0
E06000046,A1,3,3,1.0
E06000047,A1,2,2,1.0
E06000049,A1,5,5,1.0
E06000050,A1,1,1,1.0
E06000052,A1,1,1,1.0
E06000054,A1,5,5,1.0
E06000055,A1,5,5,1.0
E06000056,A1,9,6,1.5
E06000057,A1,5,2,2.5
E06000058,A1,9,6,1.5
E06000060,A1,9,9,1.0
E07000011,A1,2,2,1.0
E07000012,A1,2,2,1.0
E07000028,A1,1,1,1.0
E07000034,A1,1,1,1.0
E07000038,A1,1,1,1.0
E07000040,A1,3,3,1.0
E07000041,A1,1,1,1.0
E07000042,A1,1,1,1.0
E07000044,A1,3,3,1.0
E07000045,A1,2,2,1.0
E07000046,A1,1,1,1.0
E07000062,A1,3,3,1.0
E07000063,A1,2,1,2.0
E07000064,A1,1,1,1.0
E07000066,A1,2,2,1.0
E07000067,A1,2,2,1.0
E07000069,A1,2,1,2.0
E07000070,A1,2,2,1.0
E07000071,A1,2,2,1.0
E07000072,A1,4,4,1.0
E07000073,A1,3,2,1.5
E07000076,A1,1,1,1.0
E07000078,A1,5,5,1.0
E07000079,A1,2,2,1.0
E07000081,A1,5,5,1.0
E07000084,A1,8,6,1.3333333333333333
E07000085,A1,1,1,1.0
E07000087,A1,2,2,1.0
E07000088,A1,4,4,1.0
E07000089,A1,1,1,1.0
E07000090,A1,3,2,1.5
E07000091,A1,6,5,1.2
E07000092,A1,1,1,1.0
E07000093,A1,2,2,1.0
E07000094,A1,1,1,1.0
E07000096,A1,7,4,1.75
E07000098,A1,2,2,1.0
E07000099,A1,5,5,1.0
E07000102,A1,2,2,1.0
E07000105,A1,1,1,1.0
E07000107,A1,3,3,1.0
E07000108,A1,2,2,1.0
E07000109,A1,2,2,1.0
E07000110,A1,3,3,1.0
E07000111,A1,4,3,1.3333333333333333
E07000112,A1,1,1,1.0
E07000113,A1,1,1,1.0
E07000114,A1,3,3,1.0
E07000116,A1,4,4,1.0
E07000119,A1,1,1,1.0
E07000121,A1,2,2,1.0
E07000122,A1,5,3,1.6666666666666667
E07000132,A1,1,1,1.0
E07000133,A1,1,1,1.0
E07000134,A1,1,1,1.0
E07000135,A1,1,1,1.0
E07000138,A1,1,1,1.0
E07000139,A1,3,3,1.0
E07000141,A1,4,4,1.0
E07000143,A1,3,2,1.5
E07000144,A1,2,2,1.0
E07000146,A1,3,3,1.0
E07000147,A1,1,1,1.0
E07000148,A1,1,1,1.0
E07000149,A1,2,2,1.0
E07000150,A1,2,1,2.0
E07000151,A1,1,1,1.0
E07000152,A1,4,4,1.0
E07000154,A1,13,11,1.1818181818181819
E07000156,A1,1,1,1.0
E07000164,A1,2,2,1.0
E07000165,A1,1,1,1.0
E07000168,A1,1,1,1.0
E07000175,A1,1,1,1.0
E07000178,A1,5,5,1.0
E07000179,A1,2,2,1.0
E07000180,A1,4,3,1.3333333333333333
E07000181,A1,1,1,1.0
E07000187,A1,2,2,1.0
E07000189,A1,1,1,1.0
E07000192,A1,2,2,1.0
E07000193,A1,1,1,1.0
E07000194,A1,1,1,1.0
E07000202,A1,5,5,1.0
E07000207,A1,3,3,1.0
E07000209,A1,2,2,1.0
