period,LAD,SHEF_A,report_count,user_count,average
2010,E06000001,Dog Fouling,1,1,1.0
2010,E06000001,Fly-tipping,3,2,1.5
2010,E06000001,Highway Condition,5,4,1.25
2010,E06000001,Other,8,8,1.0
2010,E06000001,Parking,1,1,1.0
2010,E06000001,Pavement /Footway Defects,2,1,2.0
2010,E06000001,Potholes,15,8,1.875
2010,E06000001,Public Toilets,1,1,1.0
2010,E06000001,Rubbish,2,2,1.0
2010,E06000001,Street Lights,4,4,1.0
2010,E06000002,Abandoned Vehicles,1,1,1.0
2010,E06000002,Dog Fouling,5,5,1.0
2010,E06000002,Fallen/Dangerous Trees,4,3,1.3333333333333333
2010,E06000002,Fly-tipping,1,1,1.0
2010,E06000002,Highway Condition,2,2,1.0
2010,E06000002,Open Spaces/Parks,2,2,1.0
2010,E06000002,Other,8,7,1.1428571428571428
2010,E06000002,Parking,5,5,1.0
2010,E06000002,Pavement /Footway Defects,6,6,1.0
2010,E06000002,Potholes,18,12,1.5
2010,E06000002,Rubbish,5,5,1.0
2010,E06000002,Street Lights,5,4,1.25
2010,E06000003,Abandoned Vehicles,1,1,1.0
2010,E06000003,Bus Stops Damage,2,2,1.0
2010,E06000003,Dog Fouling,3,3,1.0
2010,E06000003,Fallen/Dangerous Trees,3,3,1.0
2010,E06000003,Fly-tipping,2,1,2.0
2010,E06000003,Graffiti,1,1,1.0
2010,E06000003,Highway Condition,8,6,1.3333333333333333
2010,E06000003,Open Spaces/Parks,1,1,1.0
2010,E06000003,Other,17,15,1.1333333333333333
2010,E06000003,Parking,8,6,1.3333333333333333
2010,E06000003,Pavement /Footway Defects,6,5,1.2
2010,E06000003,Potholes,19,17,1.1176470588235294
2010,E06000003,Rubbish,4,4,1.0
2010,E06000003,Street Cleaning,1,1,1.0
2010,E06000003,Street Lights,3,3,1.0
2010,E06000003,Street Name Plates,1,1,1.0
2010,E06000003,Street Signs,1,1,1.0
2010,E06000003,Traffic Lights,3,3,1.0
2010,E06000004,Dog Fouling,8,6,1.3333333333333333
2010,E06000004,Fly-tipping,7,5,1.4
2010,E06000004,Highway Condition,10,10,1.0
2010,E06000004,Open Spaces/Parks,6,6,1.0
2010,E06000004,Other,10,10,1.0
2010,E06000004,Parking,4,4,1.0
2010,E06000004,Pavement /Footway Defects,4,4,1.0
2010,E06000004,Potholes,14,12,1.1666666666666667
2010,E06000004,Rubbish,6,3,2.0
2010,E06000004,Street Cleaning,2,2,1.0
2010,E06000004,Street Lights,9,9,1.0
2010,E06000004,Street Name Plates,3,3,1.0
2010,E06000004,Street Signs,2,2,1.0
2010,E06000004,Traffic Lights,1,1,1.0
2010,E06000005,Abandoned Vehicles,2,2,1.0
2010,E06000005,Bus Stops Damage,1,1,1.0
2010,E06000005,Dog Fouling,5,5,1.0
2010,E06000005,Fly-tipping,9,5,1.8
2010,E06000005,Graffiti,2,2,1.0
2010,E06000005,Highway Condition,6,6,1.0
2010,E06000005,Other,1,1,1.0
2010,E06000005,Parking,2,2,1.0
2010,E06000005,Pavement /Footway Defects,1,1,1.0
2010,E06000005,Potholes,15,8,1.875
2010,E06000005,Rubbish,2,2,1.0
2010,E06000005,Street Cleaning,2,2,1.0
2010,E06000005,Street Lights,5,5,1.0
2010,E06000005,Street Name Plates,1,1,1.0
2010,E06000006,Abandoned Vehicles,1,1,1.0
2010,E06000006,Fallen/Dangerous Trees,3,3,1.0
2010,E06000006,Fly-tipping,1,1,1.0
2010,E06000006,Flyposting,1,1,1.0
2010,E06000006,Graffiti,2,2,1.0
2010,E06000006,Highway Condition,5,5,1.0
2010,E06000006,Open Spaces/Parks,1,1,1.0
2010,E06000006,Other,2,2,1.0
2010,E06000006,Parking,3,3,1.0
2010,E06000006,Pavement /Footway Defects,3,3,1.0
2010,E06000006,Potholes,14,8,1.75
2010,E06000006,Rubbish,3,3,1.0
2010,E06000006,Street Cleaning,1,1,1.0
2010,E06000006,Street Lights,4,4,1.0
2010,E06000006,Street Signs,1,1,1.0
2010,E06000006,Traffic Lights,1,1,1.0
2010,E06000007,Abandoned Vehicles,1,1,1.0
2010,E06000007,Dog Fouling,4,4,1.0
2010,E06000007,Fallen/Dangerous Trees,5,5,1.0
2010,E06000007,Fly-tipping,5,5,1.0
2010,E06000007,Graffiti,1,1,1.0
2010,E06000007,Highway Condition,9,8,1.125
2010,E06000007,Open Spaces/Parks,1,1,1.0
2010,E06000007,Other,6,6,1.0
2010,E06000007,Parking,4,4,1.0
2010,E06000007,Pavement /Footway Defects,5,4,1.25
2010,E06000007,Potholes,37,27,1.3703703703703705
2010,E06000007,Rubbish,3,3,1.0
2010,E06000007,Street Cleaning,2,2,1.0
2010,E06000007,Street Lights,19,11,1.7272727272727273
2010,E06000007,Street Signs,3,2,1.5
2010,E06000008,Abandoned Vehicles,4,4,1.0
2010,E06000008,Bus Stops Damage,1,1,1.0
2010,E06000008,Dog Fouling,13,13,1.0
2010,E06000008,Fallen/Dangerous Trees,2,2,1.0
2010,E06000008,Fly-tipping,32,22,1.4545454545454546
2010,E06000008,Flyposting,3,3,1.0
2010,E06000008,Graffiti,5,5,1.0
2010,E06000008,Highway Condition,115,15,7.666666666666667
2010,E06000008,Open Spaces/Parks,15,5,3.0
2010,E06000008,Other,23,20,1.15
2010,E06000008,Parking,9,9,1.0
2010,E06000008,Pavement /Footway Defects,18,13,1.3846153846153846
2010,E06000008,Potholes,60,20,3.0
2010,E06000008,Rubbish,33,29,1.1379310344827587
2010,E06000008,Street Cleaning,19,13,1.4615384615384615
2010,E06000008,Street Lights,13,12,1.0833333333333333
2010,E06000008,Street Name Plates,2,2,1.0
2010,E06000008,Street Signs,1,1,1.0
2010,E06000009,Dog Fouling,3,3,1.0
2010,E06000009,Fallen/Dangerous Trees,4,3,1.3333333333333333
2010,E06000009,Fly-tipping,8,6,1.3333333333333333
2010,E06000009,Highway Condition,19,13,1.4615384615384615
2010,E06000009,Open Spaces/Parks,3,3,1.0
2010,E06000009,Other,10,9,1.1111111111111112
2010,E06000009,Parking,2,2,1.0
2010,E06000009,Pavement /Footway Defects,5,5,1.0
2010,E06000009,Potholes,43,26,1.6538461538461537
2010,E06000009,Public Toilets,1,1,1.0
2010,E06000009,Rubbish,2,2,1.0
2010,E06000009,Street Cleaning,17,9,1.8888888888888888
2010,E06000009,Street Lights,14,12,1.1666666666666667
2010,E06000009,Street Name Plates,3,3,1.0
2010,E06000009,Street Signs,3,2,1.5
2010,E06000009,Traffic Lights,10,4,2.5
2010,E06000010,Abandoned Vehicles,3,2,1.5
2010,E06000010,Dog Fouling,1,1,1.0
2010,E06000010,Fallen/Dangerous Trees,1,1,1.0
2010,E06000010,Fly-tipping,5,5,1.0
2010,E06000010,Graffiti,1,1,1.0
2010,E06000010,Highway Condition,12,5,2.4
2010,E06000010,Open Spaces/Parks,3,3,1.0
2010,E06000010,Other,12,12,1.0
2010,E06000010,Parking,3,3,1.0
2010,E06000010,Pavement /Footway Defects,6,6,1.0
2010,E06000010,Potholes,23,18,1.2777777777777777
2010,E06000010,Rubbish,3,3,1.0
2010,E06000010,Street Lights,8,6,1.3333333333333333
2010,E06000010,Traffic Lights,3,2,1.5
2010,E06000011,Abandoned Vehicles,2,2,1.0
2010,E06000011,Dog Fouling,11,9,1.2222222222222223
2010,E06000011,Fallen/Dangerous Trees,4,4,1.0
2010,E06000011,Fly-tipping,3,3,1.0
2010,E06000011,Flyposting,2,2,1.0
2010,E06000011,Highway Condition,57,26,2.1923076923076925
2010,E06000011,Open Spaces/Parks,3,3,1.0
2010,E06000011,Other,21,21,1.0
2010,E06000011,Parking,10,10,1.0
2010,E06000011,Pavement /Footway Defects,24,18,1.3333333333333333
2010,E06000011,Potholes,65,36,1.8055555555555556
2010,E06000011,Rubbish,2,2,1.0
2010,E06000011,Street Cleaning,2,2,1.0
2010,E06000011,Street Lights,30,24,1.25
2010,E06000011,Street Name Plates,2,2,1.0
2010,E06000011,Street Signs,5,4,1.25
2010,E06000011,Traffic Lights,1,1,1.0
