period,LAD,SHEF_A,report_count,user_count,average
2013-4,E06000001,Highway Condition,1,1,1.0
2013-4,E06000001,Parking,1,1,1.0
2013-4,E06000001,Pavement /Footway Defects,2,2,1.0
2013-4,E06000001,Street Signs,1,1,1.0
2013-4,E06000002,Abandoned Vehicles,1,1,1.0
2013-4,E06000002,Highway Condition,4,3,1.3333333333333333
2013-4,E06000002,Other,2,2,1.0
2013-4,E06000002,Pavement /Footway Defects,1,1,1.0
2013-4,E06000002,Potholes,1,1,1.0
2013-4,E06000003,Other,2,2,1.0
2013-4,E06000003,Potholes,4,4,1.0
2013-4,E06000003,Rubbish,2,2,1.0
2013-4,E06000003,Street Cleaning,2,2,1.0
2013-4,E06000004,Bus Stops Damage,1,1,1.0
2013-4,E06000004,Potholes,2,2,1.0
2013-4,E06000005,Fly-tipping,1,1,1.0
2013-4,E06000005,Highway Condition,2,2,1.0
2013-4,E06000005,Pavement /Footway Defects,1,1,1.0
2013-4,E06000005,Potholes,8,5,1.6
2013-4,E06000005,Street Signs,1,1,1.0
2013-4,E06000006,Fly-tipping,2,1,2.0
2013-4,E06000006,Graffiti,1,1,1.0
2013-4,E06000006,Highway Condition,1,1,1.0
2013-4,E06000006,Potholes,1,1,1.0
2013-4,E06000006,Street Cleaning,1,1,1.0
2013-4,E06000007,Fly-tipping,1,1,1.0
2013-4,E06000007,Graffiti,1,1,1.0
2013-4,E06000007,Highway Condition,1,1,1.0
2013-4,E06000007,Other,1,1,1.0
2013-4,E06000007,Potholes,3,3,1.0
2013-4,E06000007,Street Lights,2,1,2.0
2013-4,E06000007,Street Signs,1,1,1.0
2013-4,E06000008,Abandoned Vehicles,2,2,1.0
2013-4,E06000008,Fly-tipping,3,3,1.0
2013-4,E06000008,Highway Condition,3,3,1.0
2013-4,E06000008,Other,5,5,1.0
2013-4,E06000008,Parking,2,2,1.0
2013-4,E06000008,Pavement /Footway Defects,2,2,1.0
2013-4,E06000008,Potholes,10,9,1.1111111111111112
2013-4,E06000008,Rubbish,4,4,1.0
2013-4,E06000008,Street Cleaning,3,3,1.0
2013-4,E06000008,Street Lights,4,4,1.0
2013-4,E06000008,Street Signs,1,1,1.0
2013-4,E06000009,Fly-tipping,2,2,1.0
2013-4,E06000009,Highway Condition,1,1,1.0
2013-4,E06000009,Other,4,4,1.0
2013-4,E06000009,Pavement /Footway Defects,2,2,1.0
2013-4,E06000009,Potholes,5,5,1.0
2013-4,E06000009,Public Toilets,1,1,1.0
2013-4,E06000009,Street Cleaning,1,1,1.0
2013-4,E06000009,Street Lights,3,2,1.5
2013-4,E06000009,Street Name Plates,1,1,1.0
2013-4,E06000009,Street Signs,1,1,1.0
2013-4,E06000009,Traffic Lights,1,1,1.0
2013-4,E06000010,Highway Condition,2,1,2.0
2013-4,E06000010,Parking,2,2,1.0
2013-4,E06000010,Potholes,7,5,1.4
2013-4,E06000010,Street Cleaning,2,2,1.0
2013-4,E06000010,Street Lights,2,2,1.0
2013-4,E06000010,Street Signs,1,1,1.0
2013-4,E06000010,Traffic Lights,2,2,1.0
2013-4,E06000011,Dog Fouling,2,2,1.0
2013-4,E06000011,Fly-tipping,3,3,1.0
2013-4,E06000011,Highway Condition,5,4,1.25
2013-4,E06000011,Pavement /Footway Defects,2,2,1.0
2013-4,E06000011,Potholes,9,9,1.0
2013-4,E06000011,Street Name Plates,1,1,1.0
2013-4,E06000012,Dog Fouling,1,1,1.0
2013-4,E06000012,Fly-tipping,2,1,2.0
2013-4,E06000012,Highway Condition,1,1,1.0
2013-4,E06000012,Other,1,1,1.0
2013-4,E06000012,Potholes,7,6,1.1666666666666667
2013-4,E06000012,Rubbish,2,2,1.0
2013-4,E06000013,Other,1,1,1.0
2013-4,E06000013,Potholes,12,4,3.0
2013-4,E06000013,Rubbish,1,1,1.0
2013-4,E06000014,Fly-tipping,2,2,1.0
2013-4,E06000014,Highway Condition,5,2,2.5
2013-4,E06000014,Other,6,1,6.0
2013-4,E06000014,Parking,2,2,1.0
2013-4,E06000014,Pavement /Footway Defects,4,4,1.0
2013-4,E06000014,Potholes,11,7,1.5714285714285714
2013-4,E06000014,Street Cleaning,1,1,1.0
2013-4,E06000014,Street Signs,1,1,1.0
2013-4,E06000014,Traffic Lights,1,1,1.0
2013-4,E06000015,Dog Fouling,1,1,1.0
2013-4,E06000015,Highway Condition,1,1,1.0
2013-4,E06000015,Open Spaces/Parks,1,1,1.0
2013-4,E06000015,Pavement /Footway Defects,2,2,1.0
2013-4,E06000015,Potholes,6,5,1.2
2013-4,E06000015,Street Lights,1,1,1.0
2013-4,E06000015,Street Signs,1,1,1.0
2013-4,E06000016,Abandoned Vehicles,2,2,1.0
2013-4,E06000016,Fly-tipping,1,1,1.0
2013-4,E06000016,Highway Condition,2,2,1.0
2013-4,E06000016,Other,1,1,1.0
2013-4,E06000016,Potholes,3,3,1.0
2013-4,E06000016,Street Lights,1,1,1.0
2013-4,E06000017,Potholes,1,1,1.0
2013-4,E06000018,Dog Fouling,3,2,1.5
2013-4,E06000018,Fly-tipping,2,2,1.0
2013-4,E06000018,Graffiti,2,1,2.0
2013-4,E06000018,Highway Condition,3,2,1.5
2013-4,E06000018,Open Spaces/Parks,2,1,2.0
2013-4,E06000018,Pavement /Footway Defects,3,3,1.0
2013-4,E06000018,Potholes,4,3,1.3333333333333333
2013-4,E06000018,Street Cleaning,1,1,1.0
2013-4,E06000018,Street Lights,1,1,1.0
2013-4,E06000018,Street Signs,1,1,1.0
2013-4,E06000019,Highway Condition,8,6,1.3333333333333333
2013-4,E06000019,Other,1,1,1.0
2013-4,E06000019,Potholes,86,45,1.9111111111111112
2013-4,E06000019,Street Cleaning,2,1,2.0
2013-4,E06000019,Street Name Plates,2,1,2.0
2013-4,E06000020,Pavement /Footway Defects,2,2,1.0
2013-4,E06000020,Potholes,4,2,2.0
2013-4,E06000020,Street Cleaning,2,1,2.0
2013-4,E06000020,Street Lights,2,2,1.0
2013-4,E06000021,Abandoned Vehicles,1,1,1.0
2013-4,E06000021,Dog Fouling,1,1,1.0
2013-4,E06000021,Fly-tipping,2,2,1.0
2013-4,E06000021,Flyposting,1,1,1.0
2013-4,E06000021,Highway Condition,3,2,1.5
2013-4,E06000021,Other,1,1,1.0
2013-4,E06000021,Pavement /Footway Defects,4,4,1.0
2013-4,E06000021,Potholes,16,10,1.6
2013-4,E06000021,Street Cleaning,3,2,1.5
2013-4,E06000021,Traffic Lights,1,1,1.0
2013-4,E06000022,Fly-tipping,3,2,1.5
2013-4,E06000022,Highway Condition,2,2,1.0
2013-4,E06000022,Potholes,9,6,1.5
2013-4,E06000022,Street Cleaning,1,1,1.0
