period,LAD,SHEF_A_CODE,report_count,user_count,average
2016-3,,A20,4,3,1.3333333333333333
2016-3,,A29,5,4,1.25
2016-3,,A33,3,3,1.0
2016-3,,A41,1,1,1.0
2016-3,,A54,2,2,1.0
2016-3,,A56,2,1,2.0
2016-3,,A57,2,2,1.0
2016-3,,A60,12,11,1.0909090909090908
2016-3,,A73,4,4,1.0
2016-3,,A79,1,1,1.0
2016-3,,A8,1,1,1.0
2016-3,,A81,16,12,1.3333333333333333
2016-3,,A83,2,2,1.0
2016-3,E06000001,A1,2,2,1.0
2016-3,E06000001,A29,7,3,2.3333333333333335
2016-3,E06000001,A41,1,1,1.0
2016-3,E06000001,A53,1,1,1.0
2016-3,E06000001,A56,1,1,1.0
2016-3,E06000001,A60,2,1,2.0
2016-3,E06000001,A81,3,2,1.5
2016-3,E06000002,A1,2,2,1.0
2016-3,E06000002,A29,1,1,1.0
2016-3,E06000002,A41,4,2,2.0
2016-3,E06000002,A53,4,4,1.0
2016-3,E06000002,A57,3,2,1.5
2016-3,E06000002,A60,8,7,1.1428571428571428
2016-3,E06000002,A73,2,2,1.0
2016-3,E06000002,A79,3,3,1.0
2016-3,E06000002,A81,3,2,1.5
2016-3,E06000002,A83,1,1,1.0
2016-3,E06000003,A12,2,1,2.0
2016-3,E06000003,A29,7,5,1.4
2016-3,E06000003,A33,1,1,1.0
2016-3,E06000003,A41,1,1,1.0
2016-3,E06000003,A53,1,1,1.0
2016-3,E06000003,A56,4,3,1.3333333333333333
2016-3,E06000003,A57,1,1,1.0
2016-3,E06000003,A60,2,2,1.0
2016-3,E06000003,A79,2,2,1.0
2016-3,E06000004,A1,1,1,1.0
2016-3,E06000004,A20,2,2,1.0
2016-3,E06000004,A29,5,5,1.0
2016-3,E06000004,A33,1,1,1.0
2016-3,E06000004,A41,3,3,1.0
2016-3,E06000004,A54,1,1,1.0
2016-3,E06000004,A56,1,1,1.0
2016-3,E06000004,A60,31,13,2.3846153846153846
2016-3,E06000004,A73,1,1,1.0
2016-3,E06000004,A79,2,2,1.0
2016-3,E06000004,A81,7,7,1.0
2016-3,E06000004,A83,1,1,1.0
2016-3,E06000005,A20,1,1,1.0
2016-3,E06000005,A29,6,2,3.0
2016-3,E06000005,A33,1,1,1.0
