period,LAD,SHEF_A_CODE,report_count,user_count,average
all time,,,2,1,2.0
all time,,A1,126,58,2.1724137931034484
all time,,A12,12,6,2.0
all time,,A15,8,4,2.0
all time,,A17,6,3,2.0
all time,,A20,272,87,3.1264367816091956
all time,,A22,18,9,2.0
all time,,A24,40,19,2.1052631578947367
all time,,A25,2,1,2.0
all time,,A28,24,7,3.4285714285714284
all time,,A29,388,101,3.8415841584158414
all time,,A33,174,57,3.0526315789473686
all time,,A41,452,154,2.935064935064935
all time,,A45,4,1,4.0
all time,,A47,4,2,2.0
all time,,A52,2,1,2.0
all time,,A53,116,37,3.135135135135135
all time,,A54,494,199,2.4824120603015074
all time,,A55,2,1,2.0
all time,,A56,104,45,2.311111111111111
all time,,A57,384,171,2.245614035087719
all time,,A6,4,2,2.0
all time,,A60,854,321,2.660436137071651
all time,,A63,12,6,2.0
all time,,A64,2,1,2.0
all time,,A66,2,1,2.0
all time,,A69,2,1,2.0
all time,,A71,128,46,2.782608695652174
all time,,A73,206,77,2.675324675324675
all time,,A79,140,60,2.3333333333333335
all time,,A8,28,12,2.3333333333333335
all time,,A80,6,3,2.0
all time,,A81,1270,399,3.182957393483709
all time,,A82,32,14,2.2857142857142856
all time,,A83,124,37,3.3513513513513513
all time,,A86,28,13,2.1538461538461537
all time,,A9,2,1,2.0
all time,E06000001,A1,14,7,2.0
all time,E06000001,A12,8,4,2.0
all time,E06000001,A20,76,28,2.7142857142857144
all time,E06000001,A24,28,13,2.1538461538461537
all time,E06000001,A28,14,4,3.5
all time,E06000001,A29,392,55,7.127272727272727
all time,E06000001,A33,22,9,2.4444444444444446
all time,E06000001,A41,214,60,3.566666666666667
all time,E06000001,A53,92,21,4.380952380952381
all time,E06000001,A54,196,64,3.0625
all time,E06000001,A56,56,24,2.3333333333333335
all time,E06000001,A57,156,53,2.943396226415094
all time,E06000001,A60,302,81,3.728395061728395
all time,E06000001,A63,18,5,3.6
all time,E06000001,A73,98,35,2.8
all time,E06000001,A79,24,9,2.6666666666666665
all time,E06000001,A81,216,54,4.0
all time,E06000001,A82,22,10,2.2
all time,E06000001,A83,58,17,3.411764705882353
all time,E06000001,A86,14,6,2.3333333333333335
all time,E06000002,A1,54,18,3.0
all time,E06000002,A12,10,2,5.0
all time,E06000002,A20,62,28,2.2142857142857144
all time,E06000002,A24,60,27,2.2222222222222223
all time,E06000002,A28,2,1,2.0
all time,E06000002,A29,142,36,3.9444444444444446
all time,E06000002,A33,30,8,3.75
all time,E06000002,A41,176,44,4.0
all time,E06000002,A53,56,13,4.3076923076923075
all time,E06000002,A54,280,92,3.0434782608695654
all time,E06000002,A56,88,37,2.3783783783783785
all time,E06000002,A57,210,68,3.088235294117647
all time,E06000002,A60,318,77,4.12987012987013
all time,E06000002,A73,116,38,3.0526315789473686
all time,E06000002,A79,58,19,3.0526315789473686
all time,E06000002,A81,252,67,3.7611940298507465
all time,E06000002,A82,10,5,2.0
all time,E06000002,A83,58,18,3.2222222222222223
all time,E06000002,A86,32,14,2.2857142857142856
all time,E06000003,A1,42,16,2.625
all time,E06000003,A12,28,10,2.8
all time,E06000003,A20,118,52,2.269230769230769
all time,E06000003,A24,40,18,2.2222222222222223
all time,E06000003,A29,152,33,4.606060606060606
all time,E06000003,A33,14,6,2.3333333333333335
all time,E06000003,A41,198,56,3.5357142857142856
all time,E06000003,A53,40,15,2.6666666666666665
all time,E06000003,A54,204,73,2.7945205479452055
all time,E06000003,A56,136,46,2.9565217391304346
all time,E06000003,A57,130,39,3.3333333333333335
all time,E06000003,A60,244,83,2.9397590361445785
all time,E06000003,A73,94,34,2.764705882352941
all time,E06000003,A79,64,27,2.3703703703703702
all time,E06000003,A81,148,57,2.5964912280701755
all time,E06000003,A82,12,6,2.0
all time,E06000003,A83,28,12,2.3333333333333335
all time,E06000003,A86,16,7,2.2857142857142856
all time,E06000004,A1,176,58,3.0344827586206895
all time,E06000004,A12,40,16,2.5
all time,E06000004,A20,198,64,3.09375
all time,E06000004,A24,124,53,2.339622641509434
all time,E06000004,A28,28,7,4.0
all time,E06000004,A29,422,94,4.48936170212766
all time,E06000004,A33,80,20,4.0
all time,E06000004,A41,414,142,2.915492957746479
all time,E06000004,A53,150,50,3.0
all time,E06000004,A54,476,177,2.689265536723164
all time,E06000004,A56,356,127,2.8031496062992125
all time,E06000004,A57,470,146,3.219178082191781
all time,E06000004,A60,626,183,3.420765027322404
all time,E06000004,A63,2,1,2.0
all time,E06000004,A73,158,59,2.6779661016949152
all time,E06000004,A79,140,53,2.641509433962264
all time,E06000004,A81,830,272,3.051470588235294
all time,E06000004,A82,64,25,2.56
all time,E06000004,A83,86,32,2.6875
all time,E06000004,A86,84,23,3.652173913043478
all time,E06000005,A1,34,16,2.125
all time,E06000005,A12,10,5,2.0
all time,E06000005,A20,58,25,2.32
all time,E06000005,A24,20,10,2.0
all time,E06000005,A28,2,1,2.0
all time,E06000005,A29,370,53,6.981132075471698
all time,E06000005,A33,40,14,2.857142857142857
all time,E06000005,A41,236,70,3.3714285714285714
all time,E06000005,A53,18,7,2.5714285714285716
all time,E06000005,A54,118,45,2.6222222222222222
all time,E06000005,A56,48,23,2.0869565217391304
all time,E06000005,A57,134,43,3.116279069767442
all time,E06000005,A60,366,87,4.206896551724138
all time,E06000005,A73,74,23,3.217391304347826
all time,E06000005,A79,100,25,4.0
all time,E06000005,A81,144,47,3.0638297872340425
all time,E06000005,A82,8,4,2.0
all time,E06000005,A83,36,10,3.6
all time,E06000005,A86,18,8,2.25
all time,E06000006,A1,110,48,2.2916666666666665
all time,E06000006,A12,18,5,3.6
all time,E06000006,A20,64,26,2.4615384615384617
all time,E06000006,A24,140,42,3.3333333333333335
all time,E06000006,A28,10,3,3.3333333333333335
all time,E06000006,A29,296,48,6.166666666666667
all time,E06000006,A33,18,7,2.5714285714285716
all time,E06000006,A41,274,80,3.425
all time,E06000006,A53,86,25,3.44
all time,E06000006,A54,186,71,2.619718309859155
all time,E06000006,A56,100,38,2.6315789473684212
all time,E06000006,A57,158,58,2.7241379310344827
all time,E06000006,A60,282,82,3.4390243902439024
all time,E06000006,A73,84,36,2.3333333333333335
all time,E06000006,A79,64,25,2.56
all time,E06000006,A81,146,55,2.6545454545454548
all time,E06000006,A82,12,6,2.0
all time,E06000006,A83,30,11,2.727272727272727
all time,E06000006,A86,26,12,2.1666666666666665
all time,E06000007,A1,90,37,2.4324324324324325
all time,E06000007,A12,22,6,3.6666666666666665
all time,E06000007,A20,86,41,2.097560975609756
all time,E06000007,A24,124,54,2.2962962962962963
all time,E06000007,A28,2,1,2.0
all time,E06000007,A29,226,62,3.6451612903225805
all time,E06000007,A33,16,8,2.0
all time,E06000007,A41,546,177,3.0847457627118646
all time,E06000007,A53,98,30,3.2666666666666666
all time,E06000007,A54,294,120,2.45
all time,E06000007,A56,232,76,3.0526315789473686
all time,E06000007,A57,292,99,2.9494949494949494
all time,E06000007,A60,1066,272,3.9191176470588234
all time,E06000007,A63,2,1,2.0
all time,E06000007,A73,112,34,3.2941176470588234
all time,E06000007,A79,80,32,2.5
all time,E06000007,A81,506,116,4.362068965517241
all time,E06000007,A82,34,16,2.125
all time,E06000007,A83,114,41,2.7804878048780486
all time,E06000007,A86,64,20,3.2
all time,E06000008,A1,200,80,2.5
all time,E06000008,A12,14,7,2.0
all time,E06000008,A20,206,85,2.4235294117647057
all time,E06000008,A24,92,43,2.13953488372093
all time,E06000008,A28,22,11,2.0
all time,E06000008,A29,1170,202,5.792079207920792
all time,E06000008,A33,50,20,2.5
all time,E06000008,A41,968,207,4.676328502415459
all time,E06000008,A53,154,44,3.5
all time,E06000008,A54,502,185,2.7135135135135133
all time,E06000008,A56,206,89,2.3146067415730336
all time,E06000008,A57,456,157,2.9044585987261144
all time,E06000008,A60,1322,299,4.421404682274248
all time,E06000008,A73,478,157,3.0445859872611467
all time,E06000008,A79,290,94,3.0851063829787235
all time,E06000008,A81,894,232,3.853448275862069
all time,E06000008,A82,20,9,2.2222222222222223
all time,E06000008,A83,70,28,2.5
all time,E06000008,A86,158,56,2.8214285714285716
all time,E06000009,A1,136,48,2.8333333333333335
all time,E06000009,A12,18,6,3.0
all time,E06000009,A20,118,49,2.4081632653061225
all time,E06000009,A24,42,15,2.8
all time,E06000009,A28,8,3,2.6666666666666665
all time,E06000009,A29,334,89,3.752808988764045
all time,E06000009,A33,16,6,2.6666666666666665
all time,E06000009,A41,520,125,4.16
all time,E06000009,A53,68,23,2.9565217391304346
all time,E06000009,A54,404,147,2.748299319727891
all time,E06000009,A56,164,68,2.411764705882353
all time,E06000009,A57,286,101,2.8316831683168315
all time,E06000009,A60,530,169,3.136094674556213
all time,E06000009,A63,8,4,2.0
all time,E06000009,A73,262,69,3.7971014492753623
all time,E06000009,A79,228,51,4.470588235294118
all time,E06000009,A81,318,87,3.6551724137931036
all time,E06000009,A82,20,10,2.0
all time,E06000009,A83,62,23,2.6956521739130435
all time,E06000009,A86,112,27,4.148148148148148
all time,E06000010,,66,21,3.142857142857143
all time,E06000010,A1,130,46,2.8260869565217392
all time,E06000010,A10,4,1,4.0
all time,E06000010,A12,48,16,3.0
all time,E06000010,A13,18,2,9.0
all time,E06000010,A20,126,40,3.15
all time,E06000010,A24,70,24,2.9166666666666665
all time,E06000010,A28,176,4,44.0
all time,E06000010,A29,1712,137,12.496350364963504
all time,E06000010,A33,830,22,37.72727272727273
all time,E06000010,A40,66,16,4.125
all time,E06000010,A41,434,109,3.981651376146789
all time,E06000010,A48,358,3,119.33333333333333
all time,E06000010,A53,140,47,2.978723404255319
all time,E06000010,A54,1270,133,9.548872180451127
all time,E06000010,A56,264,110,2.4
all time,E06000010,A57,286,88,3.25
all time,E06000010,A60,1068,235,4.54468085106383
all time,E06000010,A63,2,1,2.0
all time,E06000010,A67,34,14,2.4285714285714284
all time,E06000010,A7,62,8,7.75
all time,E06000010,A73,426,92,4.630434782608695
all time,E06000010,A79,838,48,17.458333333333332
all time,E06000010,A81,3944,126,31.3015873015873
all time,E06000010,A82,68,8,8.5
all time,E06000010,A83,300,23,13.043478260869565
all time,E06000010,A86,234,43,5.441860465116279
all time,E06000011,,80,26,3.076923076923077
all time,E06000011,A1,64,29,2.206896551724138
all time,E06000011,A12,104,9,11.555555555555555
all time,E06000011,A20,122,56,2.1785714285714284
all time,E06000011,A24,106,40,2.65
all time,E06000011,A28,290,8,36.25
all time,E06000011,A29,886,79,11.215189873417721
all time,E06000011,A33,520,11,47.27272727272727
all time,E06000011,A37,14,1,14.0
all time,E06000011,A41,1032,204,5.0588235294117645
all time,E06000011,A47,60,7,8.571428571428571
all time,E06000011,A48,354,19,18.63157894736842
all time,E06000011,A53,80,23,3.4782608695652173
all time,E06000011,A54,1490,388,3.8402061855670104
all time,E06000011,A56,142,61,2.3278688524590163
all time,E06000011,A57,418,123,3.3983739837398375
all time,E06000011,A60,1804,306,5.895424836601308
all time,E06000011,A63,8,3,2.6666666666666665
all time,E06000011,A66,90,12,7.5
all time,E06000011,A67,24,10,2.4
all time,E06000011,A73,134,36,3.7222222222222223
all time,E06000011,A79,152,30,5.066666666666666
all time,E06000011,A8,334,53,6.30188679245283
all time,E06000011,A81,4324,142,30.450704225352112
all time,E06000011,A82,98,17,5.764705882352941
all time,E06000011,A83,1042,49,21.26530612244898
all time,E06000011,A86,56,12,4.666666666666667
all time,E06000012,,14,5,2.8
all time,E06000012,A1,42,18,2.3333333333333335
all time,E06000012,A12,4,2,2.0
all time,E06000012,A20,52,21,2.4761904761904763
all time,E06000012,A24,14,7,2.0
all time,E06000012,A28,8,3,2.6666666666666665
all time,E06000012,A29,402,58,6.931034482758621
all time,E06000012,A33,42,5,8.4
all time,E06000012,A41,154,61,2.5245901639344264
all time,E06000012,A53,18,7,2.5714285714285716
all time,E06000012,A54,180,62,2.903225806451613
all time,E06000012,A56,116,41,2.8292682926829267
all time,E06000012,A57,116,45,2.577777777777778
all time,E06000012,A60,346,98,3.5306122448979593
all time,E06000012,A63,2,1,2.0
all time,E06000012,A73,72,28,2.5714285714285716
all time,E06000012,A79,50,20,2.5
all time,E06000012,A81,196,39,5.0256410256410255
all time,E06000012,A82,14,6,2.3333333333333335
all time,E06000012,A83,30,8,3.75
all time,E06000012,A86,16,8,2.0
