period,LAD,SHEF_B_CODE,report_count,user_count,average
2012-2,,B16,1,1,1.0
2012-2,,B26,1,1,1.0
2012-2,,B27,1,1,1.0
2012-2,,B6,2,2,1.0
2012-2,E06000001,B6,1,1,1.0
2012-2,E06000002,B13,1,1,1.0
2012-2,E06000002,B15,1,1,1.0
2012-2,E06000002,B18,1,1,1.0
2012-2,E06000002,B19,2,2,1.0
2012-2,E06000002,B26,1,1,1.0
2012-2,E06000002,B6,1,1,1.0
2012-2,E06000003,B28,4,3,1.3333333333333333
2012-2,E06000003,B6,4,4,1.0
2012-2,E06000004,B6,3,1,3.0
2012-2,E06000005,B13,1,1,1.0
2012-2,E06000005,B28,1,1,1.0
2012-2,E06000006,B13,1,1,1.0
2012-2,E06000006,B19,2,2,1.0
2012-2,E06000006,B25,1,1,1.0
2012-2,E06000007,B1,1,1,1.0
2012-2,E06000007,B13,3,2,1.5
2012-2,E06000007,B17,1,1,1.0
2012-2,E06000007,B25,9,8,1.125
2012-2,E06000007,B28,1,1,1.0
2012-2,E06000007,B6,3,3,1.0
2012-2,E06000008,B14,1,1,1.0
2012-2,E06000008,B15,1,1,1.0
2012-2,E06000008,B16,1,1,1.0
2012-2,E06000008,B18,1,1,1.0
2012-2,E06000008,B24,1,1,1.0
2012-2,E06000008,B25,15,7,2.142857142857143
2012-2,E06000008,B26,8,7,1.1428571428571428
2012-2,E06000008,B28,2,2,1.0
2012-2,E06000008,B6,1,1,1.0
2012-2,E06000009,B13,3,3,1.0
2012-2,E06000009,B14,1,1,1.0
2012-2,E06000009,B15,1,1,1.0
2012-2,E06000009,B16,1,1,1.0
2012-2,E06000009,B18,1,1,1.0
2012-2,E06000009,B25,4,4,1.0
2012-2,E06000009,B26,1,1,1.0
2012-2,E06000009,B27,2,2,1.0
2012-2,E06000009,B28,1,1,1.0
2012-2,E06000010,B13,1,1,1.0
2012-2,E06000010,B25,4,2,2.0
2012-2,E06000010,B26,1,1,1.0
2012-2,E06000010,B6,2,2,1.0
2012-2,E06000011,B1,2,2,1.0
2012-2,E06000011,B13,5,1,5.0
2012-2,E06000011,B15,1,1,1.0
2012-2,E06000011,B17,1,1,1.0
2012-2,E06000011,B18,3,3,1.0
2012-2,E06000011,B19,1,1,1.0
2012-2,E06000011,B24,2,2,1.0
2012-2,E06000011,B25,3,3,1.0
2012-2,E06000011,B26,1,1,1.0
2012-2,E06000011,B28,3,3,1.0
2012-2,E06000011,B6,2,2,1.0
2012-2,E06000012,B19,1,1,1.0
2012-2,E06000012,B25,1,1,1.0
2012-2,E06000013,B1,1,1,1.0
2012-2,E06000013,B13,1,1,1.0
2012-2,E06000013,B25,1,1,1.0
2012-2,E06000013,B26,1,1,1.0
2012-2,E06000013,B28,1,1,1.0
2012-2,E06000014,B14,2,2,1.0
2012-2,E06000014,B16,1,1,1.0
2012-2,E06000014,B24,5,3,1.6666666666666667
2012-2,E06000014,B25,1,1,1.0
2012-2,E06000014,B28,2,2,1.0
2012-2,E06000015,B13,3,3,1.0
2012-2,E06000015,B14,1,1,1.0
2012-2,E06000015,B16,2,2,1.0
2012-2,E06000015,B25,1,1,1.0
2012-2,E06000015,B26,4,3,1.3333333333333333
2012-2,E06000015,B28,1,1,1.0
2012-2,E06000016,B13,1,1,1.0
2012-2,E06000016,B14,1,1,1.0
2012-2,E06000016,B25,3,3,1.0
2012-2,E06000016,B26,1,1,1.0
2012-2,E06000017,B28,1,1,1.0
2012-2,E06000018,B1,1,1,1.0
2012-2,E06000018,B13,4,4,1.0
2012-2,E06000018,B14,2,2,1.0
2012-2,E06000018,B16,1,1,1.0
2012-2,E06000018,B18,2,2,1.0
2012-2,E06000018,B19,4,4,1.0
2012-2,E06000018,B25,1,1,1.0
2012-2,E06000018,B26,1,1,1.0
2012-2,E06000018,B6,1,1,1.0
2012-2,E06000019,B13,1,1,1.0
2012-2,E06000019,B15,1,1,1.0
2012-2,E06000019,B24,1,1,1.0
2012-2,E06000019,B25,2,2,1.0
2012-2,E06000019,B26,1,1,1.0
2012-2,E06000019,B28,1,1,1.0
2012-2,E06000020,B19,2,2,1.0
2012-2,E06000020,B24,1,1,1.0
2012-2,E06000020,B25,22,5,4.4
2012-2,E06000020,B26,5,2,2.5
2012-2,E06000021,B1,1,1,1.0
2012-2,E06000021,B13,11,5,2.2
2012-2,E06000021,B14,1,1,1.0
2012-2,E06000021,B16,4,4,1.0
2012-2,E06000021,B18,1,1,1.0
2012-2,E06000021,B19,1,1,1.0
2012-2,E06000021,B25,29,14,2.0714285714285716
2012-2,E06000021,B26,1,1,1.0
2012-2,E06000021,B6,2,2,1.0
2012-2,E06000022,B17,1,1,1.0
2012-2,E06000022,B19,1,1,1.0
2012-2,E06000022,B25,3,3,1.0
2012-2,E06000022,B28,2,2,1.0
2012-2,E06000023,B1,2,2,1.0
2012-2,E06000023,B13,6,5,1.2
2012-2,E06000023,B14,50,2,25.0
2012-2,E06000023,B15,1,1,1.0
2012-2,E06000023,B16,3,3,1.0
2012-2,E06000023,B18,2,2,1.0
2012-2,E06000023,B19,5,4,1.25
2012-2,E06000023,B24,2,2,1.0
2012-2,E06000023,B25,3,3,1.0
2012-2,E06000023,B26,19,8,2.375
2012-2,E06000023,B28,5,4,1.25
2012-2,E06000023,B6,3,3,1.0
2012-2,E06000024,B1,1,1,1.0
2012-2,E06000024,B13,5,2,2.5
2012-2,E06000024,B18,1,1,1.0
2012-2,E06000024,B25,8,7,1.1428571428571428
2012-2,E06000024,B28,1,1,1.0
2012-2,E06000025,B1,1,1,1.0
2012-2,E06000025,B13,4,2,2.0
2012-2,E06000025,B16,1,1,1.0
2012-2,E06000025,B18,1,1,1.0
2012-2,E06000025,B25,4,4,1.0
2012-2,E06000025,B26,2,1,2.0
2012-2,E06000025,B6,2,2,1.0
2012-2,E06000026,B1,2,2,1.0
2012-2,E06000026,B13,3,3,1.0
2012-2,E06000026,B15,1,1,1.0
2012-2,E06000026,B16,4,4,1.0
2012-2,E06000026,B19,4,4,1.0
2012-2,E06000026,B25,10,8,1.25
2012-2,E06000026,B26,7,7,1.0
2012-2,E06000026,B28,1,1,1.0
2012-2,E06000026,B6,1,1,1.0
2012-2,E06000027,B1,1,1,1.0
2012-2,E06000027,B13,1,1,1.0
2012-2,E06000027,B16,1,1,1.0
2012-2,E06000027,B25,2,2,1.0
2012-2,E06000027,B28,2,1,2.0
2012-2,E06000027,B6,2,2,1.0
2012-2,E06000028,B13,4,3,1.3333333333333333
2012-2,E06000028,B14,11,1,11.0
2012-2,E06000028,B15,1,1,1.0
2012-2,E06000028,B16,2,2,1.0
2012-2,E06000028,B19,6,3,2.0
2012-2,E06000028,B24,6,3,2.0
2012-2,E06000028,B25,2,2,1.0
2012-2,E06000028,B26,4,4,1.0
2012-2,E06000028,B27,1,1,1.0
2012-2,E06000028,B4,2,1,2.0
2012-2,E06000029,B1,1,1,1.0
2012-2,E06000029,B13,2,1,2.0
2012-2,E06000029,B14,2,1,2.0
2012-2,E06000029,B19,2,2,1.0
2012-2,E06000029,B24,2,2,1.0
2012-2,E06000029,B26,1,1,1.0
2012-2,E06000030,B14,1,1,1.0
2012-2,E06000030,B16,1,1,1.0
2012-2,E06000030,B24,1,1,1.0
2012-2,E06000030,B28,1,1,1.0
2012-2,E06000031,B1,1,1,1.0
2012-2,E06000031,B13,2,2,1.0
2012-2,E06000031,B14,2,2,1.0
2012-2,E06000031,B16,6,6,1.0
2012-2,E06000031,B19,1,1,1.0
2012-2,E06000031,B24,7,4,1.75
2012-2,E06000031,B25,2,2,1.0
2012-2,E06000031,B26,16,6,2.6666666666666665
2012-2,E06000031,B28,8,4,2.0
2012-2,E06000031,B4,1,1,1.0
2012-2,E06000032,B1,1,1,1.0
2012-2,E06000032,B18,2,1,2.0
2012-2,E06000032,B19,1,1,1.0
2012-2,E06000032,B24,1,1,1.0
2012-2,E06000032,B26,1,1,1.0
2012-2,E06000032,B6,1,1,1.0
2012-2,E06000033,B16,11,3,3.6666666666666665
2012-2,E06000034,B16,1,1,1.0
2012-2,E06000034,B28,1,1,1.0
2012-2,E06000034,B6,1,1,1.0
2012-2,E06000035,B1,3,3,1.0
2012-2,E06000035,B16,1,1,1.0
2012-2,E06000035,B19,1,1,1.0
2012-2,E06000035,B24,1,1,1.0
2012-2,E06000035,B25,1,1,1.0
2012-2,E06000035,B26,1,1,1.0
2012-2,E06000035,B6,1,1,1.0
2012-2,E06000036,B13,1,1,1.0
2012-2,E06000036,B19,1,1,1.0
2012-2,E06000036,B25,1,1,1.0
2012-2,E06000036,B26,3,3,1.0
2012-2,E06000036,B27,1,1,1.0
2012-2,E06000036,B28,1,1,1.0
2012-2,E06000036,B6,1,1,1.0
2012-2,E06000037,B16,1,1,1.0
2012-2,E06000037,B17,1,1,1.0
2012-2,E06000037,B25,10,8,1.25
2012-2,E06000037,B26,2,1,2.0
2012-2,E06000037,B28,2,2,1.0
2012-2,E06000038,B13,3,2,1.5
2012-2,E06000038,B14,6,2,3.0
2012-2,E06000038,B16,1,1,1.0
2012-2,E06000038,B19,1,1,1.0
2012-2,E06000038,B24,4,4,1.0
2012-2,E06000038,B25,8,7,1.1428571428571428
2012-2,E06000038,B26,16,8,2.0
2012-2,E06000038,B28,2,2,1.0
2012-2,E06000038,B6,5,3,1.6666666666666667
2012-2,E06000039,B18,1,1,1.0
2012-2,E06000039,B19,1,1,1.0
2012-2,E06000039,B24,1,1,1.0
2012-2,E06000039,B26,1,1,1.0
2012-2,E06000039,B28,2,2,1.0
2012-2,E06000040,B1,1,1,1.0
2012-2,E06000040,B13,2,2,1.0
2012-2,E06000040,B16,1,1,1.0
2012-2,E06000040,B25,3,2,1.5
2012-2,E06000040,B26,1,1,1.0
2012-2,E06000041,B13,4,4,1.0
2012-2,E06000041,B16,1,1,1.0
2012-2,E06000041,B17,1,1,1.0
2012-2,E06000041,B19,1,1,1.0
2012-2,E06000041,B24,1,1,1.0
2012-2,E06000041,B25,6,4,1.5
