period,LAD,SHEF_B,report_count,user_count,average
2014-8,E06000001,Bus Stops Damage,1,1,1.0
2014-8,E06000001,Dog Fouling,1,1,1.0
2014-8,E06000001,Other,1,1,1.0
2014-8,E06000001,Parking,1,1,1.0
2014-8,E06000001,Pavement /Footway Defects,1,1,1.0
2014-8,E06000001,Rubbish,1,1,1.0
2014-8,E06000001,Street Lights,2,2,1.0
2014-8,E06000002,Highways Enquiries,2,2,1.0
2014-8,E06000002,Other,2,2,1.0
2014-8,E06000002,Pavement /Footway Defects,2,2,1.0
2014-8,E06000002,Road Safety,1,1,1.0
2014-8,E06000002,Road Surface Defects,1,1,1.0
2014-8,E06000002,Rubbish,1,1,1.0
2014-8,E06000003,Dog Fouling,1,1,1.0
2014-8,E06000003,Incivilities,2,2,1.0
2014-8,E06000003,Other,1,1,1.0
2014-8,E06000003,Parking,1,1,1.0
2014-8,E06000003,Pavement /Footway Defects,1,1,1.0
2014-8,E06000003,Road Surface Defects,1,1,1.0
2014-8,E06000003,Rubbish,3,3,1.0
2014-8,E06000004,Highways Enquiries,4,4,1.0
2014-8,E06000004,Open Spaces/Parks,3,3,1.0
2014-8,E06000004,Other,4,4,1.0
2014-8,E06000004,Overgrown/Fallen Veg/Trees,1,1,1.0
2014-8,E06000004,Parking,3,2,1.5
2014-8,E06000004,Pavement /Footway Defects,10,7,1.4285714285714286
2014-8,E06000004,Road Safety,6,4,1.5
2014-8,E06000004,Road Surface Defects,3,3,1.0
2014-8,E06000004,Rubbish,6,6,1.0
2014-8,E06000004,Street Lights,8,8,1.0
2014-8,E06000005,Highways Enquiries,2,2,1.0
2014-8,E06000005,Rubbish,2,2,1.0
2014-8,E06000005,Street Lights,1,1,1.0
2014-8,E06000006,Overgrown/Fallen Veg/Trees,1,1,1.0
2014-8,E06000006,Pavement /Footway Defects,1,1,1.0
2014-8,E06000006,Road Safety,1,1,1.0
2014-8,E06000006,Road Surface Defects,1,1,1.0
2014-8,E06000006,Rubbish,3,3,1.0
2014-8,E06000007,Dog Fouling,1,1,1.0
2014-8,E06000007,Highways Enquiries,5,5,1.0
2014-8,E06000007,Other,1,1,1.0
2014-8,E06000007,Parking,1,1,1.0
2014-8,E06000007,Road Safety,2,2,1.0
2014-8,E06000007,Road Surface Defects,2,2,1.0
2014-8,E06000007,Rubbish,4,4,1.0
2014-8,E06000007,Street Lights,1,1,1.0
2014-8,E06000008,Highways Enquiries,3,3,1.0
2014-8,E06000008,Open Spaces/Parks,1,1,1.0
2014-8,E06000008,Other,2,2,1.0
2014-8,E06000008,Parking,1,1,1.0
2014-8,E06000008,Pavement /Footway Defects,5,5,1.0
2014-8,E06000008,Road Safety,1,1,1.0
2014-8,E06000008,Road Surface Defects,3,3,1.0
2014-8,E06000008,Rubbish,8,5,1.6
2014-8,E06000008,Street Lights,15,10,1.5
2014-8,E06000009,Abandoned Vehicles,1,1,1.0
2014-8,E06000009,Dog Fouling,1,1,1.0
2014-8,E06000009,Highways Enquiries,1,1,1.0
2014-8,E06000009,Other,1,1,1.0
2014-8,E06000009,Parking,2,2,1.0
2014-8,E06000009,Road Surface Defects,1,1,1.0
2014-8,E06000009,Rubbish,5,5,1.0
2014-8,E06000009,Street Lights,2,2,1.0
2014-8,E06000010,Highways Enquiries,3,3,1.0
2014-8,E06000010,Open Spaces/Parks,1,1,1.0
2014-8,E06000010,Other,3,3,1.0
2014-8,E06000010,Overgrown/Fallen Veg/Trees,1,1,1.0
2014-8,E06000010,Parking,3,2,1.5
2014-8,E06000010,Pavement /Footway Defects,3,2,1.5
2014-8,E06000010,Road Safety,3,1,3.0
2014-8,E06000010,Rubbish,21,5,4.2
2014-8,E06000010,Street Furniture,2,2,1.0
2014-8,E06000010,Street Lights,49,3,16.333333333333332
2014-8,E06000011,Abandoned Vehicles,1,1,1.0
2014-8,E06000011,Dog Fouling,1,1,1.0
2014-8,E06000011,Highways Enquiries,10,5,2.0
2014-8,E06000011,Incivilities,1,1,1.0
2014-8,E06000011,Open Spaces/Parks,5,1,5.0
2014-8,E06000011,Other,6,3,2.0
2014-8,E06000011,Overgrown/Fallen Veg/Trees,1,1,1.0
2014-8,E06000011,Parking,1,1,1.0
2014-8,E06000011,Pavement /Footway Defects,4,3,1.3333333333333333
2014-8,E06000011,Road Safety,7,1,7.0
2014-8,E06000011,Road Surface Defects,2,2,1.0
2014-8,E06000011,Rubbish,17,3,5.666666666666667
2014-8,E06000011,Street Lights,64,2,32.0
2014-8,E06000012,Highways Enquiries,2,2,1.0
2014-8,E06000012,Other,1,1,1.0
2014-8,E06000012,Parking,4,1,4.0
2014-8,E06000012,Rubbish,2,2,1.0
2014-8,E06000012,Street Lights,2,1,2.0
2014-8,E06000013,Highways Enquiries,2,2,1.0
2014-8,E06000013,Pavement /Footway Defects,2,1,2.0
2014-8,E06000013,Rubbish,3,2,1.5
2014-8,E06000013,Street Lights,7,1,7.0
2014-8,E06000014,Highways Enquiries,2,2,1.0
2014-8,E06000014,Other,1,1,1.0
2014-8,E06000014,Pavement /Footway Defects,3,3,1.0
2014-8,E06000014,Road Safety,1,1,1.0
2014-8,E06000014,Road Surface Defects,2,1,2.0
2014-8,E06000014,Rubbish,5,4,1.25
2014-8,E06000014,Street Lights,12,5,2.4
2014-8,E06000015,Abandoned Vehicles,1,1,1.0
2014-8,E06000015,Open Spaces/Parks,1,1,1.0
2014-8,E06000015,Other,1,1,1.0
2014-8,E06000015,Pavement /Footway Defects,1,1,1.0
2014-8,E06000015,Road Safety,1,1,1.0
2014-8,E06000015,Road Surface Defects,1,1,1.0
2014-8,E06000015,Rubbish,1,1,1.0
2014-8,E06000016,Abandoned Vehicles,1,1,1.0
2014-8,E06000016,Highways Enquiries,4,4,1.0
2014-8,E06000016,Other,2,2,1.0
2014-8,E06000016,Parking,1,1,1.0
2014-8,E06000016,Pavement /Footway Defects,2,2,1.0
2014-8,E06000016,Rubbish,2,2,1.0
2014-8,E06000017,Other,1,1,1.0
2014-8,E06000017,Pavement /Footway Defects,2,1,2.0
2014-8,E06000017,Street Lights,1,1,1.0
2014-8,E06000018,Highways Enquiries,3,3,1.0
2014-8,E06000018,Incivilities,28,1,28.0
2014-8,E06000018,Other,7,1,7.0
2014-8,E06000018,Overgrown/Fallen Veg/Trees,1,1,1.0
2014-8,E06000018,Pavement /Footway Defects,11,4,2.75
2014-8,E06000018,Road Safety,1,1,1.0
2014-8,E06000018,Road Surface Defects,3,2,1.5
2014-8,E06000018,Rubbish,10,5,2.0
2014-8,E06000018,Street Lights,1,1,1.0
2014-8,E06000019,Dog Fouling,1,1,1.0
2014-8,E06000019,Highways Enquiries,4,4,1.0
2014-8,E06000019,Other,1,1,1.0
2014-8,E06000019,Pavement /Footway Defects,1,1,1.0
2014-8,E06000019,Road Safety,1,1,1.0
2014-8,E06000019,Road Surface Defects,15,9,1.6666666666666667
2014-8,E06000019,Rubbish,2,2,1.0
2014-8,E06000020,Dog Fouling,1,1,1.0
2014-8,E06000020,Highways Enquiries,3,3,1.0
2014-8,E06000020,Incivilities,11,1,11.0
2014-8,E06000020,Pavement /Footway Defects,3,3,1.0
2014-8,E06000021,Highways Enquiries,3,2,1.5
2014-8,E06000021,Open Spaces/Parks,1,1,1.0
2014-8,E06000021,Other,3,3,1.0
2014-8,E06000021,Overgrown/Fallen Veg/Trees,2,2,1.0
2014-8,E06000021,Parking,6,2,3.0
2014-8,E06000021,Pavement /Footway Defects,4,3,1.3333333333333333
2014-8,E06000021,Road Safety,1,1,1.0
2014-8,E06000021,Road Surface Defects,6,4,1.5
2014-8,E06000021,Rubbish,4,3,1.3333333333333333
2014-8,E06000022,Highways Enquiries,3,3,1.0
2014-8,E06000022,Parking,1,1,1.0
2014-8,E06000022,Pavement /Footway Defects,4,3,1.3333333333333333
2014-8,E06000022,Street Lights,1,1,1.0
2014-8,E06000023,Abandoned Vehicles,2,2,1.0
2014-8,E06000023,Dog Fouling,1,1,1.0
2014-8,E06000023,Highways Enquiries,9,8,1.125
2014-8,E06000023,Incivilities,1,1,1.0
2014-8,E06000023,Other,4,4,1.0
2014-8,E06000023,Overgrown/Fallen Veg/Trees,4,3,1.3333333333333333
2014-8,E06000023,Parking,5,3,1.6666666666666667
2014-8,E06000023,Pavement /Footway Defects,5,5,1.0
2014-8,E06000023,Road Safety,2,2,1.0
2014-8,E06000023,Road Surface Defects,7,6,1.1666666666666667
2014-8,E06000023,Rubbish,8,8,1.0
2014-8,E06000023,Street Furniture,1,1,1.0
