period,LAD,SHEF_B,report_count,user_count,average
2014,E06000001,Bus Stops Damage,1,1,1.0
2014,E06000001,Dog Fouling,6,5,1.2
2014,E06000001,Highways Enquiries,8,7,1.1428571428571428
2014,E06000001,Other,3,3,1.0
2014,E06000001,Overgrown/Fallen Veg/Trees,2,2,1.0
2014,E06000001,Parking,1,1,1.0
2014,E06000001,Pavement /Footway Defects,5,5,1.0
2014,E06000001,Road Safety,4,4,1.0
2014,E06000001,Road Surface Defects,15,9,1.6666666666666667
2014,E06000001,Rubbish,7,7,1.0
2014,E06000001,Street Furniture,2,2,1.0
2014,E06000001,Street Lights,13,9,1.4444444444444444
2014,E06000002,Abandoned Vehicles,1,1,1.0
2014,E06000002,Highways Enquiries,9,8,1.125
2014,E06000002,Incivilities,1,1,1.0
2014,E06000002,Open Spaces/Parks,2,2,1.0
2014,E06000002,Other,10,8,1.25
2014,E06000002,Overgrown/Fallen Veg/Trees,7,6,1.1666666666666667
2014,E06000002,Pavement /Footway Defects,7,6,1.1666666666666667
2014,E06000002,Road Safety,5,5,1.0
2014,E06000002,Road Surface Defects,8,8,1.0
2014,E06000002,Rubbish,17,8,2.125
2014,E06000002,Street Furniture,1,1,1.0
2014,E06000002,Street Lights,9,5,1.8
2014,E06000003,Dog Fouling,5,5,1.0
2014,E06000003,Highways Enquiries,15,12,1.25
2014,E06000003,Incivilities,2,2,1.0
2014,E06000003,Other,4,4,1.0
2014,E06000003,Parking,5,5,1.0
2014,E06000003,Pavement /Footway Defects,8,5,1.6
2014,E06000003,Road Safety,1,1,1.0
2014,E06000003,Road Surface Defects,6,5,1.2
2014,E06000003,Rubbish,14,9,1.5555555555555556
2014,E06000003,Street Lights,2,2,1.0
2014,E06000004,Abandoned Vehicles,5,5,1.0
2014,E06000004,Bus Stops Damage,2,2,1.0
2014,E06000004,Dog Fouling,10,10,1.0
2014,E06000004,Highways Enquiries,33,31,1.064516129032258
2014,E06000004,Incivilities,7,5,1.4
2014,E06000004,Open Spaces/Parks,10,9,1.1111111111111112
2014,E06000004,Other,31,27,1.1481481481481481
2014,E06000004,Overgrown/Fallen Veg/Trees,10,10,1.0
2014,E06000004,Parking,26,17,1.5294117647058822
2014,E06000004,Pavement /Footway Defects,45,31,1.4516129032258065
2014,E06000004,Road Safety,15,9,1.6666666666666667
2014,E06000004,Road Surface Defects,24,22,1.0909090909090908
2014,E06000004,Rubbish,31,27,1.1481481481481481
2014,E06000004,Street Furniture,6,5,1.2
2014,E06000004,Street Lights,59,45,1.3111111111111111
2014,E06000005,Abandoned Vehicles,1,1,1.0
2014,E06000005,Dog Fouling,1,1,1.0
2014,E06000005,Highways Enquiries,12,11,1.0909090909090908
2014,E06000005,Incivilities,3,3,1.0
2014,E06000005,Open Spaces/Parks,2,2,1.0
2014,E06000005,Other,8,6,1.3333333333333333
2014,E06000005,Overgrown/Fallen Veg/Trees,1,1,1.0
2014,E06000005,Parking,2,2,1.0
2014,E06000005,Pavement /Footway Defects,7,7,1.0
2014,E06000005,Road Safety,3,1,3.0
2014,E06000005,Road Surface Defects,13,12,1.0833333333333333
2014,E06000005,Rubbish,20,14,1.4285714285714286
2014,E06000005,Street Lights,13,9,1.4444444444444444
2014,E06000006,Abandoned Vehicles,2,2,1.0
2014,E06000006,Bus Stops Damage,2,1,2.0
2014,E06000006,Dog Fouling,2,2,1.0
2014,E06000006,Highways Enquiries,15,13,1.1538461538461537
2014,E06000006,Incivilities,3,2,1.5
2014,E06000006,Open Spaces/Parks,5,5,1.0
2014,E06000006,Other,13,12,1.0833333333333333
2014,E06000006,Overgrown/Fallen Veg/Trees,7,7,1.0
2014,E06000006,Parking,5,5,1.0
2014,E06000006,Pavement /Footway Defects,13,9,1.4444444444444444
2014,E06000006,Road Safety,3,3,1.0
2014,E06000006,Road Surface Defects,18,12,1.5
2014,E06000006,Rubbish,23,16,1.4375
2014,E06000006,Street Furniture,1,1,1.0
2014,E06000006,Street Lights,17,13,1.3076923076923077
2014,E06000007,Abandoned Vehicles,5,4,1.25
2014,E06000007,Bus Stops Damage,4,2,2.0
2014,E06000007,Dog Fouling,7,7,1.0
2014,E06000007,Highways Enquiries,35,31,1.1290322580645162
2014,E06000007,Incivilities,2,2,1.0
2014,E06000007,Open Spaces/Parks,4,4,1.0
2014,E06000007,Other,18,13,1.3846153846153846
2014,E06000007,Overgrown/Fallen Veg/Trees,3,3,1.0
2014,E06000007,Parking,9,6,1.5
2014,E06000007,Pavement /Footway Defects,27,19,1.4210526315789473
2014,E06000007,Road Safety,15,10,1.5
2014,E06000007,Road Surface Defects,53,40,1.325
2014,E06000007,Rubbish,27,19,1.4210526315789473
2014,E06000007,Street Furniture,1,1,1.0
2014,E06000007,Street Lights,48,21,2.2857142857142856
2014,E06000008,Abandoned Vehicles,3,3,1.0
2014,E06000008,Dog Fouling,7,7,1.0
2014,E06000008,Highways Enquiries,60,37,1.6216216216216217
2014,E06000008,Incivilities,4,3,1.3333333333333333
2014,E06000008,Open Spaces/Parks,9,7,1.2857142857142858
2014,E06000008,Other,38,29,1.3103448275862069
2014,E06000008,Overgrown/Fallen Veg/Trees,7,6,1.1666666666666667
2014,E06000008,Parking,8,8,1.0
2014,E06000008,Pavement /Footway Defects,27,26,1.0384615384615385
2014,E06000008,Road Safety,11,10,1.1
2014,E06000008,Road Surface Defects,75,53,1.4150943396226414
2014,E06000008,Rubbish,95,40,2.375
2014,E06000008,Street Furniture,1,1,1.0
2014,E06000008,Street Lights,89,58,1.5344827586206897
2014,E06000009,Abandoned Vehicles,5,5,1.0
2014,E06000009,Dog Fouling,5,4,1.25
2014,E06000009,Highways Enquiries,17,17,1.0
2014,E06000009,Open Spaces/Parks,1,1,1.0
2014,E06000009,Other,22,21,1.0476190476190477
2014,E06000009,Overgrown/Fallen Veg/Trees,1,1,1.0
2014,E06000009,Parking,8,7,1.1428571428571428
2014,E06000009,Pavement /Footway Defects,21,18,1.1666666666666667
2014,E06000009,Road Safety,3,3,1.0
2014,E06000009,Road Surface Defects,19,16,1.1875
2014,E06000009,Rubbish,52,29,1.793103448275862
2014,E06000009,Street Lights,26,15,1.7333333333333334
2014,E06000010,Abandoned Vehicles,2,1,2.0
2014,E06000010,Highways Enquiries,48,25,1.92
2014,E06000010,Incivilities,4,2,2.0
2014,E06000010,Open Spaces/Parks,5,4,1.25
2014,E06000010,Other,16,10,1.6
2014,E06000010,Overgrown/Fallen Veg/Trees,6,4,1.5
2014,E06000010,Parking,16,10,1.6
2014,E06000010,Pavement /Footway Defects,26,16,1.625
2014,E06000010,Road Safety,30,5,6.0
2014,E06000010,Road Surface Defects,41,22,1.8636363636363635
2014,E06000010,Rubbish,121,30,4.033333333333333
2014,E06000010,Street Furniture,8,4,2.0
2014,E06000010,Street Lights,204,20,10.2
2014,E06000011,Abandoned Vehicles,2,2,1.0
2014,E06000011,Bus Stops Damage,5,1,5.0
2014,E06000011,Dog Fouling,3,3,1.0
2014,E06000011,Highways Enquiries,85,40,2.125
2014,E06000011,Incivilities,11,2,5.5
2014,E06000011,Open Spaces/Parks,13,7,1.8571428571428572
2014,E06000011,Other,32,17,1.8823529411764706
2014,E06000011,Overgrown/Fallen Veg/Trees,5,5,1.0
2014,E06000011,Parking,10,8,1.25
2014,E06000011,Pavement /Footway Defects,44,26,1.6923076923076923
2014,E06000011,Road Safety,50,11,4.545454545454546
2014,E06000011,Road Surface Defects,90,46,1.9565217391304348
2014,E06000011,Rubbish,87,21,4.142857142857143
2014,E06000011,Street Furniture,5,4,1.25
2014,E06000011,Street Lights,313,23,13.608695652173912
2014,E06000012,Abandoned Vehicles,1,1,1.0
2014,E06000012,Dog Fouling,2,2,1.0
2014,E06000012,Highways Enquiries,11,9,1.2222222222222223
2014,E06000012,Open Spaces/Parks,3,3,1.0
2014,E06000012,Other,5,5,1.0
2014,E06000012,Overgrown/Fallen Veg/Trees,1,1,1.0
2014,E06000012,Parking,6,3,2.0
2014,E06000012,Pavement /Footway Defects,5,5,1.0
2014,E06000012,Road Safety,3,3,1.0
2014,E06000012,Road Surface Defects,17,15,1.1333333333333333
