period,LAD,SHEF_B_CODE,report_count,user_count,average
2015,,B19,1,1,1.0
2015,,B28,3,2,1.5
2015,E06000001,B13,6,5,1.2
2015,E06000001,B14,4,3,1.3333333333333333
2015,E06000001,B15,4,4,1.0
2015,E06000001,B16,14,11,1.2727272727272727
2015,E06000001,B17,2,2,1.0
2015,E06000001,B18,1,1,1.0
2015,E06000001,B19,6,4,1.5
2015,E06000001,B24,5,4,1.25
2015,E06000001,B25,9,7,1.2857142857142858
2015,E06000001,B26,35,9,3.888888888888889
2015,E06000001,B28,12,8,1.5
2015,E06000001,B6,2,2,1.0
2015,E06000002,B1,1,1,1.0
2015,E06000002,B13,8,4,2.0
2015,E06000002,B14,3,2,1.5
2015,E06000002,B16,17,13,1.3076923076923077
2015,E06000002,B17,1,1,1.0
2015,E06000002,B18,2,2,1.0
2015,E06000002,B19,10,7,1.4285714285714286
2015,E06000002,B24,9,6,1.5
2015,E06000002,B25,7,6,1.1666666666666667
2015,E06000002,B26,16,11,1.4545454545454546
2015,E06000002,B27,1,1,1.0
2015,E06000002,B28,13,10,1.3
2015,E06000002,B4,1,1,1.0
2015,E06000002,B6,3,3,1.0
2015,E06000003,B13,3,3,1.0
2015,E06000003,B15,2,2,1.0
2015,E06000003,B16,7,7,1.0
2015,E06000003,B17,1,1,1.0
2015,E06000003,B18,7,7,1.0
2015,E06000003,B19,9,4,2.25
2015,E06000003,B24,1,1,1.0
2015,E06000003,B25,9,9,1.0
2015,E06000003,B26,18,14,1.2857142857142858
2015,E06000003,B28,5,4,1.25
2015,E06000003,B4,1,1,1.0
2015,E06000003,B6,4,4,1.0
2015,E06000004,B1,6,6,1.0
2015,E06000004,B13,24,21,1.1428571428571428
2015,E06000004,B14,4,4,1.0
2015,E06000004,B15,6,5,1.2
2015,E06000004,B16,32,26,1.2307692307692308
2015,E06000004,B17,7,7,1.0
2015,E06000004,B18,32,27,1.1851851851851851
2015,E06000004,B19,28,21,1.3333333333333333
2015,E06000004,B24,21,11,1.9090909090909092
2015,E06000004,B25,28,22,1.2727272727272727
2015,E06000004,B26,53,27,1.962962962962963
2015,E06000004,B27,3,3,1.0
