lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000001,B1,2,2,1.0
E06000002,B1,2,2,1.0
E06000003,B1,10,9,1.1111111111111112
E06000004,B1,28,25,1.12
E06000005,B1,11,7,1.5714285714285714
E06000006,B1,6,5,1.2
E06000007,B1,13,13,1.0
E06000008,B1,21,18,1.1666666666666667
E06000009,B1,6,6,1.0
E06000010,B1,9,9,1.0
E06000011,B1,1,1,1.0
E06000012,B1,1,1,1.0
E06000013,B1,7,5,1.4
E06000014,B1,2,2,1.0
E06000015,B1,11,11,1.0
E06000016,B1,19,15,1.2666666666666666
E06000017,B1,1,1,1.0
E06000018,B1,2,2,1.0
E06000019,B1,8,7,1.1428571428571428
E06000020,B1,7,6,1.1666666666666667
E06000021,B1,47,35,1.3428571428571427
E06000022,B1,53,43,1.2325581395348837
E06000023,B1,79,63,1.253968253968254
E06000024,B1,17,12,1.4166666666666667
E06000025,B1,32,31,1.032258064516129
E06000026,B1,13,13,1.0
E06000027,B1,4,4,1.0
E06000030,B1,12,11,1.0909090909090908
E06000031,B1,109,84,1.2976190476190477
E06000032,B1,212,156,1.358974358974359
E06000033,B1,5,5,1.0
E06000034,B1,14,11,1.2727272727272727
E06000035,B1,28,26,1.0769230769230769
E06000036,B1,14,11,1.2727272727272727
E06000038,B1,25,24,1.0416666666666667
E06000039,B1,23,20,1.15
E06000040,B1,25,20,1.25
E06000041,B1,19,16,1.1875
E06000042,B1,22,17,1.2941176470588236
E06000043,B1,17,14,1.2142857142857142
E06000044,B1,9,9,1.0
E06000046,B1,11,6,1.8333333333333333
E06000047,B1,2,2,1.0
E06000049,B1,2,1,2.0
E06000050,B1,1,1,1.0
E06000051,B1,14,14,1.0
E06000052,B1,45,38,1.1842105263157894
E06000054,B1,1,1,1.0
E06000055,B1,101,99,1.02020202020202
E06000056,B1,84,77,1.0909090909090908
E06000057,B1,5,5,1.0
E06000058,B1,10,10,1.0
E06000059,B1,25,21,1.1904761904761905
E06000060,B1,197,157,1.2547770700636942
E07000008,B1,51,47,1.0851063829787233
E07000009,B1,25,25,1.0
E07000010,B1,17,17,1.0
E07000011,B1,62,59,1.0508474576271187
E07000012,B1,65,62,1.0483870967741935
E07000026,B1,1,1,1.0
E07000029,B1,6,6,1.0
E07000030,B1,2,2,1.0
E07000031,B1,9,5,1.8
E07000032,B1,4,4,1.0
E07000033,B1,6,6,1.0
E07000034,B1,5,5,1.0
E07000035,B1,4,3,1.3333333333333333
E07000036,B1,5,5,1.0
E07000037,B1,3,2,1.5
E07000038,B1,9,7,1.2857142857142858
E07000039,B1,6,5,1.2
E07000040,B1,9,9,1.0
E07000041,B1,2,2,1.0
E07000042,B1,7,6,1.1666666666666667
E07000043,B1,3,3,1.0
E07000044,B1,5,5,1.0
E07000045,B1,7,7,1.0
E07000047,B1,2,2,1.0
E07000061,B1,3,3,1.0
E07000062,B1,13,12,1.0833333333333333
E07000063,B1,22,20,1.1
E07000064,B1,30,24,1.25
E07000065,B1,14,13,1.0769230769230769
E07000066,B1,8,8,1.0
E07000067,B1,8,7,1.1428571428571428
E07000068,B1,4,4,1.0
E07000069,B1,1,1,1.0
E07000070,B1,16,12,1.3333333333333333
E07000071,B1,15,15,1.0
E07000072,B1,21,18,1.1666666666666667
E07000073,B1,7,7,1.0
E07000074,B1,4,3,1.3333333333333333
E07000075,B1,8,8,1.0
E07000076,B1,4,4,1.0
E07000077,B1,4,4,1.0
E07000078,B1,10,9,1.1111111111111112
E07000079,B1,2,2,1.0
E07000080,B1,3,3,1.0
E07000081,B1,7,7,1.0
E07000082,B1,5,5,1.0
E07000083,B1,4,4,1.0
E07000084,B1,38,29,1.3103448275862069
E07000085,B1,20,15,1.3333333333333333
E07000086,B1,14,12,1.1666666666666667
E07000087,B1,7,7,1.0
E07000088,B1,3,3,1.0
E07000089,B1,66,58,1.1379310344827587
E07000090,B1,14,9,1.5555555555555556
E07000091,B1,8,7,1.1428571428571428
E07000092,B1,20,16,1.25
E07000093,B1,9,8,1.125
E07000094,B1,5,5,1.0
E07000095,B1,18,13,1.3846153846153846
E07000096,B1,25,21,1.1904761904761905
E07000098,B1,30,26,1.1538461538461537
E07000099,B1,26,22,1.1818181818181819
E07000102,B1,29,20,1.45
E07000103,B1,11,9,1.2222222222222223
E07000105,B1,5,5,1.0
E07000106,B1,10,9,1.1111111111111112
