lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000001,B1,2,2,1.0
E06000003,B1,4,4,1.0
E06000005,B1,1,1,1.0
E06000008,B1,1,1,1.0
E06000015,B1,1,1,1.0
E06000016,B1,1,1,1.0
E06000017,B1,2,2,1.0
E06000019,B1,1,1,1.0
E06000021,B1,3,2,1.5
E06000022,B1,13,11,1.1818181818181819
E06000024,B1,1,1,1.0
E06000025,B1,4,4,1.0
E06000026,B1,2,2,1.0
E06000030,B1,2,2,1.0
E06000031,B1,18,17,1.0588235294117647
E06000032,B1,12,7,1.7142857142857142
E06000033,B1,2,1,2.0
E06000035,B1,4,4,1.0
E06000036,B1,1,1,1.0
E06000038,B1,1,1,1.0
E06000039,B1,1,1,1.0
E06000040,B1,2,1,2.0
E06000041,B1,3,3,1.0
E06000042,B1,4,4,1.0
E06000043,B1,1,1,1.0
E06000044,B1,1,1,1.0
E06000046,B1,5,3,1.6666666666666667
E06000047,B1,1,1,1.0
E06000052,B1,3,3,1.0
E06000055,B1,2,2,1.0
E06000056,B1,1,1,1.0
E06000057,B1,1,1,1.0
E06000059,B1,6,5,1.2
E06000060,B1,28,28,1.0
E07000008,B1,1,1,1.0
E07000009,B1,1,1,1.0
E07000010,B1,8,7,1.1428571428571428
E07000011,B1,5,5,1.0
E07000012,B1,5,5,1.0
E07000026,B1,3,3,1.0
E07000027,B1,1,1,1.0
E07000029,B1,1,1,1.0
E07000031,B1,1,1,1.0
E07000038,B1,1,1,1.0
E07000040,B1,3,3,1.0
E07000044,B1,1,1,1.0
E07000045,B1,1,1,1.0
E07000064,B1,1,1,1.0
E07000065,B1,1,1,1.0
E07000066,B1,2,1,2.0
E07000068,B1,1,1,1.0
E07000069,B1,1,1,1.0
E07000071,B1,2,2,1.0
E07000072,B1,2,2,1.0
E07000073,B1,1,1,1.0
E07000076,B1,1,1,1.0
E07000077,B1,1,1,1.0
E07000079,B1,2,2,1.0
E07000085,B1,3,3,1.0
E07000086,B1,1,1,1.0
E07000088,B1,2,2,1.0
E07000089,B1,6,6,1.0
E07000090,B1,2,1,2.0
E07000093,B1,1,1,1.0
E07000094,B1,1,1,1.0
E07000096,B1,6,5,1.2
E07000098,B1,1,1,1.0
E07000102,B1,3,1,3.0
E07000103,B1,1,1,1.0
E07000109,B1,4,4,1.0
E07000111,B1,1,1,1.0
E07000112,B1,4,3,1.3333333333333333
E07000113,B1,1,1,1.0
E07000115,B1,2,2,1.0
E07000116,B1,1,1,1.0
E07000118,B1,2,1,2.0
E07000120,B1,2,2,1.0
E07000123,B1,1,1,1.0
E07000124,B1,1,1,1.0
E07000125,B1,1,1,1.0
E07000131,B1,2,2,1.0
E07000132,B1,2,1,2.0
E07000135,B1,2,2,1.0
E07000136,B1,1,1,1.0
E07000137,B1,1,1,1.0
E07000138,B1,4,2,2.0
E07000139,B1,4,4,1.0
E07000140,B1,1,1,1.0
E07000142,B1,2,2,1.0
E07000143,B1,1,1,1.0
E07000144,B1,1,1,1.0
E07000146,B1,1,1,1.0
E07000148,B1,2,2,1.0
E07000149,B1,1,1,1.0
E07000150,B1,2,2,1.0
E07000151,B1,1,1,1.0
E07000152,B1,3,3,1.0
E07000154,B1,2,2,1.0
E07000155,B1,1,1,1.0
E07000156,B1,1,1,1.0
E07000163,B1,1,1,1.0
E07000164,B1,2,2,1.0
E07000166,B1,1,1,1.0
E07000177,B1,4,4,1.0
E07000178,B1,3,2,1.5
E07000179,B1,10,9,1.1111111111111112
E07000180,B1,6,6,1.0
E07000181,B1,4,3,1.3333333333333333
E07000187,B1,2,2,1.0
E07000188,B1,2,2,1.0
E07000199,B1,1,1,1.0
E07000207,B1,1,1,1.0
E07000208,B1,1,1,1.0
E07000209,B1,3,3,1.0
E07000210,B1,1,1,1.0
E07000211,B1,2,2,1.0
E07000212,B1,4,4,1.0
E07000213,B1,1,1,1.0
E07000214,B1,1,1,1.0
E07000215,B1,3,3,1.0
E07000218,B1,1,1,1.0
E07000221,B1,1,1,1.0
E07000223,B1,2,2,1.0
E07000227,B1,1,1,1.0
E07000228,B1,1,1,1.0
E07000229,B1,1,1,1.0
E07000234,B1,1,1,1.0
E07000237,B1,1,1,1.0
E07000241,B1,3,2,1.5
E07000243,B1,11,9,1.2222222222222223
E07000244,B1,1,1,1.0
E08000001,B1,3,3,1.0
E08000003,B1,4,4,1.0
E08000004,B1,2,2,1.0
E08000005,B1,2,2,1.0
E08000008,B1,3,2,1.5
E08000012,B1,1,1,1.0
E08000014,B1,2,2,1.0
E08000015,B1,1,1,1.0
E08000016,B1,3,3,1.0
E08000019,B1,11,11,1.0
E08000022,B1,1,1,1.0
E08000023,B1,1,1,1.0
E08000024,B1,3,3,1.0
E08000025,B1,37,31,1.1935483870967742
E08000026,B1,4,4,1.0
E08000027,B1,4,4,1.0
E08000029,B1,1,1,1.0
E08000030,B1,2,2,1.0
E08000031,B1,4,4,1.0
E08000032,B1,1,1,1.0
E08000035,B1,1,1,1.0
E08000036,B1,3,2,1.5
E08000037,B1,1,1,1.0
