period,LAD,SHEF_B,report_count,user_count,average
all time,E06000001,Abandoned Vehicles,6,6,1.0
all time,E06000001,Bus Stops Damage,4,4,1.0
all time,E06000001,Dog Fouling,32,27,1.1851851851851851
all time,E06000001,Highways Enquiries,96,55,1.7454545454545454
all time,E06000001,Incivilities,18,12,1.5
all time,E06000001,Open Spaces/Parks,30,13,2.3076923076923075
all time,E06000001,Other,90,59,1.5254237288135593
all time,E06000001,Overgrown/Fallen Veg/Trees,11,10,1.1
all time,E06000001,Parking,26,22,1.1818181818181819
all time,E06000001,Pavement /Footway Defects,66,46,1.434782608695652
all time,E06000001,Public Toilets,7,5,1.4
all time,E06000001,Road Safety,35,23,1.5217391304347827
all time,E06000001,Road Surface Defects,141,72,1.9583333333333333
all time,E06000001,Rubbish,224,66,3.393939393939394
all time,E06000001,Street Furniture,9,8,1.125
all time,E06000001,Street Lights,105,52,2.019230769230769
all time,E06000002,Abandoned Vehicles,27,18,1.5
all time,E06000002,Bus Stops Damage,5,2,2.5
all time,E06000002,Dog Fouling,31,28,1.1071428571428572
all time,E06000002,Highways Enquiries,88,44,2.0
all time,E06000002,Incivilities,16,9,1.7777777777777777
all time,E06000002,Open Spaces/Parks,28,13,2.1538461538461537
all time,E06000002,Other,138,91,1.5164835164835164
all time,E06000002,Overgrown/Fallen Veg/Trees,30,27,1.1111111111111112
all time,E06000002,Parking,43,36,1.1944444444444444
all time,E06000002,Pavement /Footway Defects,104,67,1.5522388059701493
all time,E06000002,Road Safety,44,28,1.5714285714285714
all time,E06000002,Road Surface Defects,157,75,2.0933333333333333
all time,E06000002,Rubbish,158,76,2.0789473684210527
all time,E06000002,Street Furniture,5,5,1.0
all time,E06000002,Street Lights,126,67,1.8805970149253732
all time,E06000003,Abandoned Vehicles,18,16,1.125
all time,E06000003,Bus Stops Damage,14,10,1.4
all time,E06000003,Dog Fouling,58,51,1.1372549019607843
all time,E06000003,Highways Enquiries,96,55,1.7454545454545454
all time,E06000003,Incivilities,7,6,1.1666666666666667
all time,E06000003,Open Spaces/Parks,18,13,1.3846153846153846
all time,E06000003,Other,101,73,1.3835616438356164
all time,E06000003,Overgrown/Fallen Veg/Trees,20,18,1.1111111111111112
all time,E06000003,Parking,65,43,1.5116279069767442
all time,E06000003,Pavement /Footway Defects,62,38,1.631578947368421
all time,E06000003,Road Safety,22,19,1.1578947368421053
all time,E06000003,Road Surface Defects,118,83,1.4216867469879517
all time,E06000003,Rubbish,149,80,1.8625
all time,E06000003,Street Furniture,5,5,1.0
all time,E06000003,Street Lights,73,56,1.3035714285714286
all time,E06000004,Abandoned Vehicles,85,57,1.4912280701754386
all time,E06000004,Bus Stops Damage,20,16,1.25
all time,E06000004,Dog Fouling,98,64,1.53125
all time,E06000004,Highways Enquiries,191,135,1.4148148148148147
all time,E06000004,Incivilities,50,25,2.0
all time,E06000004,Open Spaces/Parks,69,47,1.4680851063829787
all time,E06000004,Other,230,170,1.3529411764705883
all time,E06000004,Overgrown/Fallen Veg/Trees,59,52,1.1346153846153846
all time,E06000004,Parking,168,124,1.3548387096774193
all time,E06000004,Pavement /Footway Defects,226,141,1.6028368794326242
all time,E06000004,Public Toilets,1,1,1.0
all time,E06000004,Road Safety,83,47,1.7659574468085106
all time,E06000004,Road Surface Defects,304,180,1.6888888888888889
all time,E06000004,Rubbish,347,172,2.0174418604651163
all time,E06000004,Street Furniture,31,24,1.2916666666666667
all time,E06000004,Street Lights,413,272,1.5183823529411764
all time,E06000005,Abandoned Vehicles,16,15,1.0666666666666667
all time,E06000005,Bus Stops Damage,5,5,1.0
all time,E06000005,Dog Fouling,29,25,1.16
all time,E06000005,Highways Enquiries,118,70,1.6857142857142857
all time,E06000005,Incivilities,21,15,1.4
all time,E06000005,Open Spaces/Parks,9,7,1.2857142857142858
all time,E06000005,Other,55,44,1.25
all time,E06000005,Overgrown/Fallen Veg/Trees,10,10,1.0
all time,E06000005,Parking,22,21,1.0476190476190477
all time,E06000005,Pavement /Footway Defects,65,42,1.5476190476190477
all time,E06000005,Road Safety,27,17,1.588235294117647
all time,E06000005,Road Surface Defects,177,86,2.058139534883721
all time,E06000005,Rubbish,263,80,3.2875
all time,E06000005,Street Furniture,4,4,1.0
all time,E06000005,Street Lights,72,47,1.5319148936170213
all time,E06000006,Abandoned Vehicles,54,47,1.148936170212766
all time,E06000006,Bus Stops Damage,9,5,1.8
all time,E06000006,Dog Fouling,31,25,1.24
all time,E06000006,Highways Enquiries,132,78,1.6923076923076923
all time,E06000006,Incivilities,14,10,1.4
all time,E06000006,Open Spaces/Parks,41,25,1.64
all time,E06000006,Other,89,69,1.289855072463768
all time,E06000006,Overgrown/Fallen Veg/Trees,60,38,1.5789473684210527
all time,E06000006,Parking,48,37,1.2972972972972974
all time,E06000006,Pavement /Footway Defects,76,57,1.3333333333333333
all time,E06000006,Road Safety,28,22,1.2727272727272727
all time,E06000006,Road Surface Defects,138,80,1.725
all time,E06000006,Rubbish,214,92,2.3260869565217392
all time,E06000006,Street Furniture,6,6,1.0
all time,E06000006,Street Lights,73,55,1.3272727272727274
all time,E06000007,Abandoned Vehicles,43,36,1.1944444444444444
all time,E06000007,Bus Stops Damage,11,6,1.8333333333333333
all time,E06000007,Dog Fouling,42,40,1.05
all time,E06000007,Highways Enquiries,266,172,1.5465116279069768
all time,E06000007,Incivilities,9,9,1.0
all time,E06000007,Open Spaces/Parks,44,26,1.6923076923076923
all time,E06000007,Other,142,115,1.2347826086956522
all time,E06000007,Overgrown/Fallen Veg/Trees,59,53,1.1132075471698113
all time,E06000007,Parking,111,74,1.5
all time,E06000007,Pavement /Footway Defects,144,98,1.469387755102041
all time,E06000007,Public Toilets,1,1,1.0
all time,E06000007,Road Safety,85,52,1.6346153846153846
all time,E06000007,Road Surface Defects,522,265,1.969811320754717
all time,E06000007,Rubbish,207,112,1.8482142857142858
all time,E06000007,Street Furniture,17,16,1.0625
all time,E06000007,Street Lights,253,116,2.1810344827586206
all time,E06000008,Abandoned Vehicles,96,78,1.2307692307692308
all time,E06000008,Bus Stops Damage,7,7,1.0
all time,E06000008,Dog Fouling,100,84,1.1904761904761905
all time,E06000008,Highways Enquiries,460,205,2.2439024390243905
all time,E06000008,Incivilities,34,29,1.1724137931034482
all time,E06000008,Open Spaces/Parks,71,42,1.6904761904761905
all time,E06000008,Other,248,182,1.3626373626373627
all time,E06000008,Overgrown/Fallen Veg/Trees,45,42,1.0714285714285714
all time,E06000008,Parking,102,89,1.146067415730337
all time,E06000008,Pavement /Footway Defects,219,152,1.4407894736842106
all time,E06000008,Road Safety,109,79,1.379746835443038
all time,E06000008,Road Surface Defects,648,299,2.1672240802675584
all time,E06000008,Rubbish,948,352,2.6931818181818183
all time,E06000008,Street Furniture,10,9,1.1111111111111112
all time,E06000008,Street Lights,447,232,1.9267241379310345
all time,E06000009,Abandoned Vehicles,68,48,1.4166666666666667
all time,E06000009,Bus Stops Damage,9,6,1.5
