period,LAD,SHEF_C_CODE,report_count,user_count,average
2007-6,E06000001,C3,1,1,1.0
2007-6,E06000002,C7,1,1,1.0
2007-6,E06000003,C3,1,1,1.0
2007-6,E06000003,C7,1,1,1.0
2007-6,E06000004,C7,1,1,1.0
2007-6,E06000006,C3,1,1,1.0
2007-6,E06000006,C7,3,2,1.5
2007-6,E06000010,C4,1,1,1.0
2007-6,E06000010,C5,1,1,1.0
2007-6,E06000011,C5,1,1,1.0
2007-6,E06000014,C1,2,2,1.0
2007-6,E06000014,C7,1,1,1.0
2007-6,E06000015,C7,1,1,1.0
2007-6,E06000016,C4,1,1,1.0
2007-6,E06000016,C7,2,1,2.0
2007-6,E06000016,C8,2,2,1.0
2007-6,E06000018,C2,2,2,1.0
2007-6,E06000018,C3,2,1,2.0
2007-6,E06000018,C4,2,2,1.0
2007-6,E06000018,C5,1,1,1.0
2007-6,E06000018,C7,1,1,1.0
2007-6,E06000018,C8,1,1,1.0
2007-6,E06000019,C3,1,1,1.0
2007-6,E06000020,C4,1,1,1.0
2007-6,E06000020,C7,2,2,1.0
2007-6,E06000020,C8,1,1,1.0
2007-6,E06000021,C3,1,1,1.0
2007-6,E06000021,C5,1,1,1.0
2007-6,E06000021,C7,2,1,2.0
2007-6,E06000022,C3,1,1,1.0
2007-6,E06000022,C5,1,1,1.0
2007-6,E06000022,C7,1,1,1.0
2007-6,E06000022,C8,2,2,1.0
2007-6,E06000023,C3,1,1,1.0
2007-6,E06000023,C7,4,4,1.0
2007-6,E06000023,C8,1,1,1.0
2007-6,E06000024,C7,1,1,1.0
2007-6,E06000026,C3,4,3,1.3333333333333333
2007-6,E06000026,C5,1,1,1.0
2007-6,E06000026,C7,1,1,1.0
2007-6,E06000026,C8,1,1,1.0
2007-6,E06000027,C2,1,1,1.0
2007-6,E06000027,C8,1,1,1.0
2007-6,E06000028,C3,1,1,1.0
2007-6,E06000030,C2,1,1,1.0
2007-6,E06000030,C3,3,3,1.0
2007-6,E06000030,C7,1,1,1.0
2007-6,E06000030,C8,1,1,1.0
2007-6,E06000031,C2,1,1,1.0
2007-6,E06000031,C4,1,1,1.0
2007-6,E06000031,C7,2,1,2.0
