period,LAD,SHEF_C_CODE,report_count,user_count,average
2007,E06000001,C3,1,1,1.0
2007,E06000001,C5,3,3,1.0
2007,E06000002,C2,1,1,1.0
2007,E06000002,C5,4,4,1.0
2007,E06000002,C7,3,3,1.0
2007,E06000003,C2,1,1,1.0
2007,E06000003,C3,3,3,1.0
2007,E06000003,C5,5,5,1.0
2007,E06000003,C7,10,6,1.6666666666666667
2007,E06000003,C8,1,1,1.0
2007,E06000004,C2,1,1,1.0
2007,E06000004,C3,7,7,1.0
2007,E06000004,C5,5,4,1.25
2007,E06000004,C6,1,1,1.0
2007,E06000004,C7,5,4,1.25
2007,E06000004,C8,3,3,1.0
2007,E06000005,C5,4,4,1.0
2007,E06000005,C7,2,1,2.0
2007,E06000006,C3,6,5,1.2
2007,E06000006,C5,4,4,1.0
2007,E06000006,C7,5,4,1.25
2007,E06000006,C8,1,1,1.0
2007,E06000007,C5,6,6,1.0
2007,E06000007,C7,3,3,1.0
2007,E06000007,C8,2,2,1.0
2007,E06000008,C3,8,7,1.1428571428571428
2007,E06000008,C5,2,2,1.0
2007,E06000008,C7,4,4,1.0
2007,E06000008,C8,1,1,1.0
2007,E06000009,C3,3,3,1.0
2007,E06000009,C5,4,4,1.0
2007,E06000009,C7,7,7,1.0
2007,E06000009,C8,1,1,1.0
2007,E06000010,C3,4,3,1.3333333333333333
2007,E06000010,C4,1,1,1.0
2007,E06000010,C5,11,7,1.5714285714285714
2007,E06000010,C7,8,7,1.1428571428571428
2007,E06000011,C3,1,1,1.0
2007,E06000011,C5,5,5,1.0
2007,E06000011,C7,4,4,1.0
2007,E06000012,C3,2,2,1.0
2007,E06000012,C5,4,4,1.0
2007,E06000012,C7,6,3,2.0
2007,E06000012,C8,1,1,1.0
2007,E06000013,C3,2,1,2.0
2007,E06000013,C4,1,1,1.0
2007,E06000013,C5,1,1,1.0
2007,E06000013,C7,9,1,9.0
2007,E06000013,C8,1,1,1.0
2007,E06000014,C1,2,2,1.0
2007,E06000014,C3,3,3,1.0
2007,E06000014,C4,3,3,1.0
2007,E06000014,C5,4,3,1.3333333333333333
2007,E06000014,C6,1,1,1.0
2007,E06000014,C7,9,5,1.8
2007,E06000014,C8,2,2,1.0
2007,E06000015,C2,1,1,1.0
2007,E06000015,C3,7,7,1.0
2007,E06000015,C4,5,4,1.25
2007,E06000015,C5,3,3,1.0
2007,E06000015,C7,7,4,1.75
2007,E06000015,C8,3,3,1.0
2007,E06000016,C3,5,5,1.0
2007,E06000016,C4,7,6,1.1666666666666667
2007,E06000016,C5,15,7,2.142857142857143
2007,E06000016,C7,6,5,1.2
2007,E06000016,C8,6,5,1.2
2007,E06000018,C2,4,4,1.0
2007,E06000018,C3,26,14,1.8571428571428572
2007,E06000018,C4,9,4,2.25
2007,E06000018,C5,17,4,4.25
2007,E06000018,C6,1,1,1.0
2007,E06000018,C7,21,10,2.1
2007,E06000018,C8,6,6,1.0
2007,E06000019,C2,2,2,1.0
2007,E06000019,C3,19,10,1.9
2007,E06000019,C4,14,6,2.3333333333333335
2007,E06000019,C5,9,9,1.0
2007,E06000019,C6,1,1,1.0
2007,E06000019,C7,20,12,1.6666666666666667
2007,E06000019,C8,8,4,2.0
2007,E06000020,C2,1,1,1.0
2007,E06000020,C3,1,1,1.0
2007,E06000020,C4,1,1,1.0
2007,E06000020,C5,14,8,1.75
2007,E06000020,C7,19,5,3.8
2007,E06000020,C8,2,2,1.0
2007,E06000021,C2,3,3,1.0
2007,E06000021,C3,21,6,3.5
2007,E06000021,C4,1,1,1.0
2007,E06000021,C5,9,8,1.125
2007,E06000021,C7,7,4,1.75
2007,E06000021,C8,4,2,2.0
2007,E06000022,C2,2,2,1.0
2007,E06000022,C3,10,7,1.4285714285714286
2007,E06000022,C4,1,1,1.0
2007,E06000022,C5,25,11,2.272727272727273
