period,LAD,SHEF_C,report_count,user_count,average
2009-12,E06000002,Environmental Health,1,1,1.0
2009-12,E06000002,Road Safety & Defects,3,3,1.0
2009-12,E06000003,Abandoned Vehicles & Parking,2,1,2.0
2009-12,E06000003,Environmental Disruptions,2,1,2.0
2009-12,E06000003,Environmental Health,2,2,1.0
2009-12,E06000003,Road Safety & Defects,1,1,1.0
2009-12,E06000004,Environmental Disruptions,1,1,1.0
2009-12,E06000004,Environmental Health,4,3,1.3333333333333333
2009-12,E06000004,Other,1,1,1.0
2009-12,E06000004,Road Safety & Defects,4,3,1.3333333333333333
2009-12,E06000005,Environmental Health,1,1,1.0
2009-12,E06000005,Incivilities,1,1,1.0
2009-12,E06000005,Road Safety & Defects,3,3,1.0
2009-12,E06000006,Road Safety & Defects,2,2,1.0
2009-12,E06000007,Environmental Health,1,1,1.0
2009-12,E06000007,Road Safety & Defects,2,2,1.0
2009-12,E06000008,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000008,Environmental Health,2,1,2.0
2009-12,E06000008,Road Safety & Defects,3,3,1.0
2009-12,E06000009,Environmental Health,6,3,2.0
2009-12,E06000009,Public Space,1,1,1.0
2009-12,E06000009,Road Safety & Defects,11,8,1.375
2009-12,E06000010,Environmental Health,1,1,1.0
2009-12,E06000011,Incivilities,1,1,1.0
2009-12,E06000011,Other,2,2,1.0
2009-12,E06000011,Road Safety & Defects,4,3,1.3333333333333333
2009-12,E06000013,Road Safety & Defects,1,1,1.0
2009-12,E06000014,Other,3,3,1.0
2009-12,E06000014,Road Safety & Defects,1,1,1.0
2009-12,E06000015,Environmental Disruptions,1,1,1.0
2009-12,E06000015,Environmental Health,3,3,1.0
2009-12,E06000015,Incivilities,1,1,1.0
2009-12,E06000015,Other,1,1,1.0
2009-12,E06000015,Road Safety & Defects,7,7,1.0
2009-12,E06000016,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000016,Environmental Health,1,1,1.0
2009-12,E06000016,Road Safety & Defects,3,2,1.5
2009-12,E06000018,Environmental Health,1,1,1.0
2009-12,E06000018,Incivilities,5,2,2.5
2009-12,E06000018,Other,1,1,1.0
2009-12,E06000018,Public Space,1,1,1.0
2009-12,E06000018,Road Safety & Defects,6,6,1.0
2009-12,E06000018,Vehicles,1,1,1.0
2009-12,E06000019,Environmental Disruptions,1,1,1.0
2009-12,E06000019,Environmental Health,1,1,1.0
2009-12,E06000019,Other,1,1,1.0
2009-12,E06000019,Road Safety & Defects,3,3,1.0
2009-12,E06000020,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000020,Environmental Health,1,1,1.0
2009-12,E06000020,Other,1,1,1.0
2009-12,E06000020,Road Safety & Defects,2,2,1.0
2009-12,E06000021,Abandoned Vehicles & Parking,3,2,1.5
2009-12,E06000021,Environmental Health,1,1,1.0
2009-12,E06000021,Other,1,1,1.0
2009-12,E06000021,Road Safety & Defects,7,4,1.75
2009-12,E06000022,Environmental Health,2,1,2.0
2009-12,E06000022,Other,1,1,1.0
2009-12,E06000023,Abandoned Vehicles & Parking,2,1,2.0
2009-12,E06000023,Environmental Health,9,8,1.125
2009-12,E06000023,Incivilities,1,1,1.0
2009-12,E06000023,Other,1,1,1.0
2009-12,E06000023,Road Safety & Defects,7,7,1.0
2009-12,E06000023,Vehicles,1,1,1.0
2009-12,E06000024,Road Safety & Defects,8,5,1.6
2009-12,E06000024,Vehicles,2,2,1.0
2009-12,E06000025,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E06000025,Road Safety & Defects,2,2,1.0
2009-12,E06000025,Vehicles,2,2,1.0
2009-12,E06000026,Environmental Disruptions,1,1,1.0
2009-12,E06000026,Environmental Health,1,1,1.0
2009-12,E06000026,Incivilities,1,1,1.0
2009-12,E06000026,Other,3,3,1.0
2009-12,E06000026,Road Safety & Defects,8,6,1.3333333333333333
