period,LAD,SHEF_C,report_count,user_count,average
2011,E06000001,Abandoned Vehicles & Parking,1,1,1.0
2011,E06000001,Environmental Disruptions,2,2,1.0
2011,E06000001,Environmental Health,10,5,2.0
2011,E06000001,Road Safety & Defects,19,15,1.2666666666666666
2011,E06000002,Abandoned Vehicles & Parking,2,2,1.0
2011,E06000002,Environmental Disruptions,9,8,1.125
2011,E06000002,Environmental Health,22,13,1.6923076923076923
2011,E06000002,Incivilities,1,1,1.0
2011,E06000002,Other,15,13,1.1538461538461537
2011,E06000002,Public Space,1,1,1.0
2011,E06000002,Road Safety & Defects,27,23,1.173913043478261
2011,E06000003,Abandoned Vehicles & Parking,3,3,1.0
2011,E06000003,Environmental Disruptions,1,1,1.0
2011,E06000003,Environmental Health,14,7,2.0
2011,E06000003,Other,7,6,1.1666666666666667
2011,E06000003,Public Space,1,1,1.0
2011,E06000003,Road Safety & Defects,29,24,1.2083333333333333
2011,E06000003,Vehicles,1,1,1.0
2011,E06000004,Abandoned Vehicles & Parking,2,2,1.0
2011,E06000004,Environmental Disruptions,5,5,1.0
2011,E06000004,Environmental Health,16,13,1.2307692307692308
2011,E06000004,Incivilities,4,3,1.3333333333333333
2011,E06000004,Other,8,8,1.0
2011,E06000004,Public Space,2,1,2.0
2011,E06000004,Road Safety & Defects,30,22,1.3636363636363635
2011,E06000004,Vehicles,2,2,1.0
2011,E06000005,Abandoned Vehicles & Parking,3,3,1.0
2011,E06000005,Environmental Disruptions,2,2,1.0
2011,E06000005,Environmental Health,6,6,1.0
2011,E06000005,Other,5,4,1.25
2011,E06000005,Public Space,1,1,1.0
2011,E06000005,Road Safety & Defects,46,29,1.5862068965517242
2011,E06000005,Vehicles,2,2,1.0
2011,E06000006,Abandoned Vehicles & Parking,1,1,1.0
2011,E06000006,Environmental Disruptions,2,2,1.0
2011,E06000006,Environmental Health,12,10,1.2
2011,E06000006,Other,3,3,1.0
2011,E06000006,Public Space,2,2,1.0
2011,E06000006,Road Safety & Defects,31,18,1.7222222222222223
2011,E06000006,Vehicles,3,3,1.0
