lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000017,C1,4,4,1.0
E06000019,C1,1,1,1.0
E06000022,C1,2,2,1.0
E06000023,C1,24,15,1.6
E06000031,C1,9,8,1.125
E06000037,C1,6,5,1.2
E06000038,C1,1,1,1.0
E06000045,C1,1,1,1.0
E06000051,C1,2,1,2.0
E06000052,C1,1,1,1.0
E06000060,C1,6,4,1.5
E07000062,C1,1,1,1.0
E07000063,C1,1,1,1.0
E07000064,C1,7,7,1.0
E07000065,C1,6,3,2.0
E07000067,C1,1,1,1.0
E07000073,C1,1,1,1.0
E07000080,C1,1,1,1.0
E07000098,C1,1,1,1.0
E07000102,C1,1,1,1.0
E07000137,C1,5,3,1.6666666666666667
E07000138,C1,2,2,1.0
E07000139,C1,1,1,1.0
E07000140,C1,2,2,1.0
E07000141,C1,3,3,1.0
E07000142,C1,1,1,1.0
E07000146,C1,8,1,8.0
E07000147,C1,38,1,38.0
E07000149,C1,2,1,2.0
E07000151,C1,2,2,1.0
E07000152,C1,2,2,1.0
E07000153,C1,2,2,1.0
E07000155,C1,1,1,1.0
E07000179,C1,1,1,1.0
E07000202,C1,2,2,1.0
E07000207,C1,1,1,1.0
E07000209,C1,2,2,1.0
E07000211,C1,1,1,1.0
E07000212,C1,1,1,1.0
E07000214,C1,2,1,2.0
E07000215,C1,2,2,1.0
E07000216,C1,1,1,1.0
E07000218,C1,2,2,1.0
E07000220,C1,6,5,1.2
E07000221,C1,9,6,1.5
E07000222,C1,12,10,1.2
E07000242,C1,1,1,1.0
E07000244,C1,1,1,1.0
E07000245,C1,1,1,1.0
E09000003,C1,1,1,1.0
E09000004,C1,51,41,1.2439024390243902
E09000006,C1,1,1,1.0
E09000007,C1,2,2,1.0
E09000013,C1,1,1,1.0
E09000018,C1,43,28,1.5357142857142858
E09000023,C1,1,1,1.0
E09000024,C1,1,1,1.0
E09000027,C1,1,1,1.0
E09000033,C1,2,1,2.0
E06000001,C2,1,1,1.0
E06000004,C2,1,1,1.0
E06000007,C2,2,2,1.0
E06000008,C2,1,1,1.0
E06000013,C2,1,1,1.0
E06000015,C2,1,1,1.0
E06000017,C2,2,2,1.0
E06000022,C2,19,19,1.0
E06000023,C2,12,11,1.0909090909090908
E06000024,C2,2,2,1.0
E06000025,C2,4,4,1.0
E06000031,C2,3,3,1.0
E06000032,C2,1,1,1.0
E06000034,C2,1,1,1.0
E06000035,C2,2,2,1.0
E06000037,C2,3,3,1.0
E06000041,C2,4,4,1.0
E06000045,C2,3,3,1.0
E06000049,C2,2,2,1.0
E06000051,C2,1,1,1.0
E06000052,C2,3,3,1.0
E06000054,C2,1,1,1.0
E06000058,C2,1,1,1.0
E06000059,C2,2,2,1.0
E06000060,C2,35,30,1.1666666666666667
E07000031,C2,1,1,1.0
E07000035,C2,2,2,1.0
E07000036,C2,1,1,1.0
E07000038,C2,5,3,1.6666666666666667
E07000039,C2,2,2,1.0
E07000041,C2,1,1,1.0
E07000061,C2,3,3,1.0
E07000062,C2,3,3,1.0
E07000063,C2,4,4,1.0
E07000064,C2,1,1,1.0
E07000065,C2,1,1,1.0
E07000066,C2,2,2,1.0
E07000070,C2,2,2,1.0
E07000071,C2,1,1,1.0
E07000072,C2,2,2,1.0
E07000076,C2,1,1,1.0
E07000077,C2,1,1,1.0
E07000079,C2,2,2,1.0
E07000080,C2,1,1,1.0
E07000082,C2,1,1,1.0
E07000085,C2,1,1,1.0
E07000091,C2,1,1,1.0
E07000092,C2,1,1,1.0
E07000094,C2,1,1,1.0
E07000096,C2,2,2,1.0
E07000098,C2,3,3,1.0
E07000099,C2,2,2,1.0
E07000102,C2,1,1,1.0
E07000105,C2,2,2,1.0
E07000108,C2,1,1,1.0
E07000111,C2,1,1,1.0
E07000112,C2,2,2,1.0
E07000115,C2,1,1,1.0
E07000116,C2,1,1,1.0
E07000121,C2,1,1,1.0
E07000126,C2,2,2,1.0
E07000129,C2,1,1,1.0
E07000130,C2,11,1,11.0
E07000133,C2,1,1,1.0
E07000134,C2,2,2,1.0
E07000137,C2,15,10,1.5
E07000138,C2,3,2,1.5
E07000139,C2,5,4,1.25
E07000141,C2,5,5,1.0
E07000142,C2,3,3,1.0
E07000151,C2,1,1,1.0
E07000152,C2,4,4,1.0
E07000153,C2,3,3,1.0
E07000154,C2,4,3,1.3333333333333333
E07000155,C2,2,2,1.0
E07000156,C2,3,2,1.5
E07000169,C2,1,1,1.0
E07000172,C2,1,1,1.0
E07000177,C2,14,14,1.0
E07000178,C2,12,7,1.7142857142857142
E07000179,C2,18,15,1.2
E07000180,C2,18,18,1.0
E07000181,C2,13,12,1.0833333333333333
