lad,SHEF_C_CODE,reports,unique_users,average_per_user
E06000001,C1,13,8,1.625
E06000003,C1,2,2,1.0
E06000004,C1,6,5,1.2
E06000007,C1,1,1,1.0
E06000009,C1,4,4,1.0
E06000010,C1,2,2,1.0
E06000011,C1,30,15,2.0
E06000013,C1,8,4,2.0
E06000014,C1,2,2,1.0
E06000015,C1,1,1,1.0
E06000016,C1,1,1,1.0
E06000017,C1,193,114,1.6929824561403508
E06000018,C1,2,2,1.0
E06000019,C1,96,45,2.1333333333333333
E06000020,C1,4,4,1.0
E06000021,C1,2,2,1.0
E06000022,C1,167,123,1.3577235772357723
E06000023,C1,785,435,1.8045977011494252
E06000024,C1,2,2,1.0
E06000025,C1,3,2,1.5
E06000026,C1,5,5,1.0
E06000030,C1,2,2,1.0
E06000031,C1,231,116,1.9913793103448276
E06000032,C1,5,5,1.0
E06000033,C1,2,2,1.0
E06000035,C1,2,2,1.0
E06000037,C1,766,286,2.6783216783216783
E06000038,C1,7,6,1.1666666666666667
E06000040,C1,7,5,1.4
E06000041,C1,2,2,1.0
E06000043,C1,5,4,1.25
E06000044,C1,1,1,1.0
E06000045,C1,58,38,1.5263157894736843
E06000046,C1,5,3,1.6666666666666667
E06000047,C1,2,2,1.0
E06000049,C1,3,3,1.0
E06000050,C1,1,1,1.0
E06000051,C1,83,44,1.8863636363636365
E06000052,C1,24,18,1.3333333333333333
E06000054,C1,3,3,1.0
E06000055,C1,4,4,1.0
E06000056,C1,45,34,1.3235294117647058
E06000057,C1,11,11,1.0
E06000058,C1,14,12,1.1666666666666667
E06000059,C1,9,9,1.0
E06000060,C1,83,52,1.5961538461538463
E07000008,C1,8,7,1.1428571428571428
E07000010,C1,2,2,1.0
E07000011,C1,1,1,1.0
E07000012,C1,3,3,1.0
E07000026,C1,1,1,1.0
E07000029,C1,1,1,1.0
E07000030,C1,1,1,1.0
E07000031,C1,2,2,1.0
E07000032,C1,17,4,4.25
E07000034,C1,3,3,1.0
E07000035,C1,1,1,1.0
E07000036,C1,4,4,1.0
E07000037,C1,3,2,1.5
E07000038,C1,2,2,1.0
E07000039,C1,1,1,1.0
E07000040,C1,21,12,1.75
E07000041,C1,9,8,1.125
E07000042,C1,7,7,1.0
E07000043,C1,22,20,1.1
E07000044,C1,16,10,1.6
E07000045,C1,11,10,1.1
E07000046,C1,11,7,1.5714285714285714
E07000047,C1,2,2,1.0
E07000061,C1,41,31,1.3225806451612903
E07000062,C1,114,82,1.3902439024390243
E07000063,C1,237,106,2.2358490566037736
E07000064,C1,309,160,1.93125
E07000065,C1,606,153,3.9607843137254903
E07000066,C1,35,27,1.2962962962962963
E07000067,C1,28,21,1.3333333333333333
E07000068,C1,26,19,1.368421052631579
E07000069,C1,10,6,1.6666666666666667
E07000070,C1,61,46,1.326086956521739
E07000071,C1,46,30,1.5333333333333334
E07000072,C1,28,24,1.1666666666666667
E07000073,C1,25,16,1.5625
E07000074,C1,10,7,1.4285714285714286
E07000075,C1,44,34,1.2941176470588236
E07000076,C1,20,17,1.1764705882352942
E07000077,C1,25,18,1.3888888888888888
E07000078,C1,27,21,1.2857142857142858
E07000079,C1,52,27,1.9259259259259258
E07000080,C1,37,26,1.4230769230769231
E07000081,C1,22,20,1.1
E07000082,C1,44,30,1.4666666666666666
E07000083,C1,41,24,1.7083333333333333
E07000084,C1,53,30,1.7666666666666666
E07000085,C1,21,16,1.3125
E07000086,C1,25,20,1.25
E07000087,C1,5,4,1.25
E07000088,C1,6,4,1.5
E07000089,C1,64,44,1.4545454545454546
E07000090,C1,3,3,1.0
E07000091,C1,21,15,1.4
E07000092,C1,7,4,1.75
E07000093,C1,40,18,2.2222222222222223
E07000094,C1,34,19,1.7894736842105263
E07000095,C1,5,5,1.0
E07000096,C1,46,34,1.3529411764705883
E07000098,C1,53,41,1.2926829268292683
E07000099,C1,49,28,1.75
E07000102,C1,47,30,1.5666666666666667
E07000103,C1,23,16,1.4375
E07000105,C1,1,1,1.0
E07000106,C1,9,4,2.25
E07000108,C1,2,2,1.0
E07000110,C1,1,1,1.0
E07000111,C1,1,1,1.0
E07000112,C1,10,8,1.25
E07000113,C1,1,1,1.0
E07000114,C1,3,3,1.0
E07000115,C1,1,1,1.0
E07000116,C1,2,2,1.0
E07000117,C1,1,1,1.0
E07000119,C1,6,6,1.0
E07000120,C1,1,1,1.0
E07000121,C1,2,2,1.0
E07000123,C1,2,2,1.0
E07000126,C1,1,1,1.0
E07000128,C1,2,2,1.0
E07000130,C1,1,1,1.0
E07000136,C1,22,18,1.2222222222222223
E07000137,C1,92,60,1.5333333333333334
E07000138,C1,57,42,1.3571428571428572
E07000139,C1,75,61,1.2295081967213115
E07000140,C1,67,35,1.9142857142857144
E07000141,C1,71,58,1.2241379310344827
E07000142,C1,43,34,1.2647058823529411
E07000143,C1,435,82,5.304878048780488
E07000144,C1,232,79,2.9367088607594938
E07000145,C1,74,46,1.608695652173913
E07000146,C1,262,79,3.3164556962025316
E07000147,C1,988,57,17.333333333333332
E07000148,C1,13,10,1.3
E07000149,C1,156,86,1.813953488372093
E07000150,C1,21,17,1.2352941176470589
E07000151,C1,59,49,1.2040816326530612
E07000152,C1,55,40,1.375
E07000153,C1,30,21,1.4285714285714286
E07000154,C1,62,36,1.7222222222222223
E07000155,C1,96,56,1.7142857142857142
E07000156,C1,36,26,1.3846153846153846
E07000163,C1,1,1,1.0
E07000165,C1,3,3,1.0
E07000166,C1,1,1,1.0
E07000167,C1,1,1,1.0
E07000168,C1,4,4,1.0
E07000172,C1,1,1,1.0
E07000176,C1,1,1,1.0
E07000177,C1,165,102,1.6176470588235294
E07000178,C1,85,64,1.328125
E07000179,C1,203,146,1.3904109589041096
E07000180,C1,240,146,1.643835616438356
E07000181,C1,77,65,1.1846153846153846
E07000187,C1,4,3,1.3333333333333333
E07000188,C1,3,3,1.0
E07000189,C1,3,3,1.0
E07000193,C1,3,3,1.0
E07000194,C1,3,1,3.0
E07000195,C1,2,2,1.0
E07000196,C1,1,1,1.0
E07000197,C1,1,1,1.0
E07000200,C1,82,23,3.5652173913043477
E07000202,C1,34,29,1.1724137931034482
E07000203,C1,131,48,2.7291666666666665
E07000207,C1,83,56,1.4821428571428572
E07000208,C1,34,25,1.36
E07000209,C1,109,74,1.472972972972973
E07000210,C1,83,48,1.7291666666666667
E07000211,C1,71,52,1.3653846153846154
E07000212,C1,100,79,1.2658227848101267
E07000213,C1,64,50,1.28
E07000214,C1,69,61,1.1311475409836065
E07000215,C1,65,44,1.4772727272727273
E07000216,C1,73,55,1.3272727272727274
E07000217,C1,59,36,1.6388888888888888
E07000218,C1,184,135,1.362962962962963
E07000219,C1,302,171,1.7660818713450293
E07000220,C1,398,188,2.117021276595745
E07000221,C1,591,303,1.9504950495049505
E07000222,C1,468,276,1.6956521739130435
E07000223,C1,2,1,2.0
E07000224,C1,3,3,1.0
E07000227,C1,1,1,1.0
E07000228,C1,3,3,1.0
E07000229,C1,2,2,1.0
E07000234,C1,16,13,1.2307692307692308
E07000235,C1,11,9,1.2222222222222223
E07000236,C1,7,6,1.1666666666666667
E07000237,C1,4,4,1.0
E07000238,C1,17,9,1.8888888888888888
E07000239,C1,20,10,2.0
E07000240,C1,49,36,1.3611111111111112
E07000241,C1,52,34,1.5294117647058822
E07000242,C1,91,75,1.2133333333333334
E07000243,C1,150,110,1.3636363636363635
E07000244,C1,251,89,2.8202247191011236
E07000245,C1,72,44,1.6363636363636365
E08000002,C1,1,1,1.0
E08000003,C1,9,8,1.125
E08000004,C1,3,3,1.0
E08000005,C1,1,1,1.0
E08000007,C1,4,4,1.0
E08000009,C1,2,2,1.0
E08000010,C1,1,1,1.0
E08000012,C1,1,1,1.0
E08000014,C1,2,2,1.0
E08000015,C1,2,2,1.0
E08000016,C1,1,1,1.0
E08000017,C1,1,1,1.0
E08000019,C1,11,9,1.2222222222222223
E08000021,C1,1,1,1.0
E08000022,C1,5,4,1.25
E08000023,C1,1,1,1.0
E08000024,C1,3,2,1.5
E08000025,C1,8,8,1.0
E08000028,C1,2,2,1.0
E08000030,C1,57,40,1.425
E08000032,C1,4,4,1.0
E08000033,C1,1,1,1.0
E08000035,C1,3,3,1.0
E08000036,C1,2,1,2.0
E09000002,C1,4,4,1.0
E09000003,C1,3,3,1.0
E09000004,C1,1546,497,3.1106639839034207
E09000005,C1,5,4,1.25
E09000006,C1,863,502,1.7191235059760956
E09000007,C1,37,26,1.4230769230769231
E09000008,C1,7,3,2.3333333333333335
E09000009,C1,12,8,1.5
E09000010,C1,7,7,1.0
E09000011,C1,16,13,1.2307692307692308
E09000012,C1,41,30,1.3666666666666667
E09000013,C1,4,4,1.0
E09000014,C1,4,4,1.0
E09000015,C1,4,4,1.0
E09000016,C1,1,1,1.0
E09000017,C1,9,4,2.25
E09000018,C1,715,334,2.1407185628742513
E09000019,C1,6,6,1.0
E09000020,C1,3,3,1.0
E09000021,C1,4,4,1.0
E09000022,C1,17,13,1.3076923076923077
E09000023,C1,51,41,1.2439024390243902
E09000024,C1,2,2,1.0
E09000025,C1,2,2,1.0
E09000026,C1,10,9,1.1111111111111112
E09000027,C1,10,7,1.4285714285714286
E09000028,C1,8,8,1.0
E09000029,C1,1,1,1.0
E09000030,C1,10,9,1.1111111111111112
E09000031,C1,6,5,1.2
E09000032,C1,7,7,1.0
E09000033,C1,14,10,1.4
N09000004,C1,1,1,1.0
S12000006,C1,5,5,1.0
S12000010,C1,1,1,1.0
S12000011,C1,1,1,1.0
S12000014,C1,5,5,1.0
S12000017,C1,7,5,1.4
S12000019,C1,1,1,1.0
S12000020,C1,1,1,1.0
S12000021,C1,1,1,1.0
S12000026,C1,1,1,1.0
S12000028,C1,1,1,1.0
S12000029,C1,1,1,1.0
S12000030,C1,3,2,1.5
S12000034,C1,2,2,1.0
S12000035,C1,1,1,1.0
S12000036,C1,16,12,1.3333333333333333
S12000038,C1,3,3,1.0
S12000039,C1,1,1,1.0
S12000047,C1,4,1,4.0
S12000048,C1,1,1,1.0
S12000049,C1,8,7,1.1428571428571428
W06000001,C1,1,1,1.0
W06000002,C1,2,2,1.0
W06000003,C1,5,5,1.0
W06000004,C1,1,1,1.0
W06000005,C1,2,2,1.0
W06000006,C1,1,1,1.0
W06000008,C1,1,1,1.0
W06000009,C1,5,4,1.25
W06000010,C1,4,4,1.0
W06000011,C1,10,3,3.3333333333333335
W06000013,C1,4,4,1.0
W06000014,C1,2,2,1.0
W06000015,C1,4,4,1.0
W06000016,C1,2,2,1.0
W06000018,C1,1,1,1.0
W06000021,C1,2,2,1.0
W06000023,C1,1,1,1.0
W06000024,C1,1,1,1.0
E06000001,C2,82,58,1.4137931034482758
E06000002,C2,42,35,1.2
E06000003,C2,56,47,1.1914893617021276
E06000004,C2,201,149,1.348993288590604
E06000005,C2,34,30,1.1333333333333333
E06000006,C2,130,74,1.7567567567567568
E06000007,C2,147,110,1.3363636363636364
E06000008,C2,83,68,1.2205882352941178
E06000009,C2,52,36,1.4444444444444444
E06000010,C2,190,133,1.4285714285714286
E06000011,C2,112,86,1.302325581395349
E06000012,C2,32,27,1.1851851851851851
E06000013,C2,83,46,1.8043478260869565
E06000014,C2,104,55,1.8909090909090909
E06000015,C2,149,105,1.4190476190476191
E06000016,C2,70,53,1.320754716981132
E06000017,C2,183,105,1.7428571428571429
E06000018,C2,110,64,1.71875
E06000019,C2,125,92,1.358695652173913
E06000020,C2,71,52,1.3653846153846154
E06000021,C2,230,143,1.6083916083916083
E06000022,C2,858,425,2.018823529411765
E06000023,C2,910,533,1.7073170731707317
E06000024,C2,124,77,1.6103896103896105
E06000025,C2,230,160,1.4375
E06000026,C2,131,98,1.336734693877551
E06000027,C2,52,34,1.5294117647058822
E06000030,C2,122,87,1.4022988505747127
E06000031,C2,390,213,1.8309859154929577
E06000032,C2,204,131,1.5572519083969465
E06000033,C2,97,68,1.4264705882352942
E06000034,C2,51,24,2.125
E06000035,C2,104,70,1.4857142857142858
E06000036,C2,109,85,1.2823529411764707
E06000037,C2,248,149,1.6644295302013423
E06000038,C2,300,160,1.875
E06000039,C2,68,47,1.446808510638298
E06000040,C2,169,121,1.396694214876033
E06000041,C2,319,191,1.6701570680628273
E06000042,C2,192,136,1.411764705882353
E06000043,C2,254,146,1.7397260273972603
E06000044,C2,66,50,1.32
E06000045,C2,683,269,2.5390334572490705
E06000046,C2,110,44,2.5
E06000047,C2,153,115,1.3304347826086957
E06000049,C2,408,242,1.6859504132231404
E06000050,C2,169,118,1.4322033898305084
E06000051,C2,123,80,1.5375
E06000052,C2,303,227,1.3348017621145374
E06000054,C2,119,93,1.2795698924731183
E06000055,C2,115,79,1.4556962025316456
E06000056,C2,263,171,1.5380116959064327
E06000057,C2,134,98,1.3673469387755102
E06000058,C2,258,130,1.9846153846153847
E06000059,C2,122,97,1.2577319587628866
E06000060,C2,2262,1436,1.575208913649025
E07000008,C2,144,98,1.469387755102041
E07000009,C2,37,29,1.2758620689655173
E07000010,C2,56,23,2.4347826086956523
E07000011,C2,97,81,1.1975308641975309
E07000012,C2,177,137,1.2919708029197081
E07000026,C2,15,15,1.0
E07000027,C2,37,26,1.4230769230769231
E07000028,C2,17,14,1.2142857142857142
