period,LSOA,report_count,user_count,average
2010-1,,1,1,1.0
2010-1,E01000003,1,1,1.0
2010-1,E01000007,2,1,2.0
2010-1,E01000044,2,1,2.0
2010-1,E01000050,2,2,1.0
2010-1,E01000071,1,1,1.0
2010-1,E01000072,1,1,1.0
2010-1,E01000115,3,1,3.0
2010-1,E01000119,2,2,1.0
2010-1,E01000120,3,3,1.0
2010-1,E01000122,1,1,1.0
2010-1,E01000123,2,1,2.0
2010-1,E01000125,1,1,1.0
2010-1,E01000126,2,2,1.0
2010-1,E01000127,2,2,1.0
2010-1,E01000129,2,2,1.0
2010-1,E01000130,2,2,1.0
2010-1,E01000134,1,1,1.0
2010-1,E01000135,2,2,1.0
2010-1,E01000138,2,2,1.0
2010-1,E01000140,1,1,1.0
2010-1,E01000142,1,1,1.0
2010-1,E01000146,1,1,1.0
2010-1,E01000147,1,1,1.0
2010-1,E01000155,1,1,1.0
2010-1,E01000159,1,1,1.0
2010-1,E01000160,1,1,1.0
2010-1,E01000161,1,1,1.0
2010-1,E01000163,1,1,1.0
2010-1,E01000164,2,2,1.0
2010-1,E01000165,3,2,1.5
2010-1,E01000166,1,1,1.0
2010-1,E01000167,1,1,1.0
2010-1,E01000168,1,1,1.0
2010-1,E01000169,6,4,1.5
2010-1,E01000170,2,2,1.0
2010-1,E01000171,2,2,1.0
2010-1,E01000173,1,1,1.0
2010-1,E01000174,1,1,1.0
2010-1,E01000175,2,2,1.0
2010-1,E01000180,3,2,1.5
2010-1,E01000182,1,1,1.0
2010-1,E01000188,2,2,1.0
2010-1,E01000192,1,1,1.0
2010-1,E01000193,1,1,1.0
2010-1,E01000194,1,1,1.0
2010-1,E01000196,1,1,1.0
2010-1,E01000203,1,1,1.0
2010-1,E01000204,3,3,1.0
2010-1,E01000205,1,1,1.0
2010-1,E01000206,2,2,1.0
2010-1,E01000207,3,3,1.0
2010-1,E01000208,1,1,1.0
2010-1,E01000210,1,1,1.0
2010-1,E01000211,1,1,1.0
2010-1,E01000213,3,3,1.0
2010-1,E01000215,1,1,1.0
2010-1,E01000218,1,1,1.0
2010-1,E01000221,5,4,1.25
2010-1,E01000222,1,1,1.0
2010-1,E01000225,1,1,1.0
2010-1,E01000228,2,2,1.0
2010-1,E01000229,2,2,1.0
2010-1,E01000232,1,1,1.0
2010-1,E01000234,1,1,1.0
2010-1,E01000235,1,1,1.0
2010-1,E01000237,1,1,1.0
2010-1,E01000239,1,1,1.0
2010-1,E01000240,1,1,1.0
2010-1,E01000243,3,3,1.0
2010-1,E01000244,1,1,1.0
2010-1,E01000246,1,1,1.0
2010-1,E01000248,1,1,1.0
2010-1,E01000249,3,3,1.0
2010-1,E01000250,2,2,1.0
2010-1,E01000251,2,2,1.0
2010-1,E01000253,5,5,1.0
2010-1,E01000254,1,1,1.0
2010-1,E01000255,2,2,1.0
2010-1,E01000256,1,1,1.0
2010-1,E01000257,7,7,1.0
2010-1,E01000259,1,1,1.0
2010-1,E01000260,2,2,1.0
2010-1,E01000262,2,2,1.0
2010-1,E01000263,1,1,1.0
2010-1,E01000267,3,3,1.0
2010-1,E01000268,4,3,1.3333333333333333
2010-1,E01000270,5,4,1.25
2010-1,E01000271,1,1,1.0
2010-1,E01000272,7,7,1.0
2010-1,E01000273,1,1,1.0
2010-1,E01000274,1,1,1.0
2010-1,E01000280,3,2,1.5
2010-1,E01000281,2,1,2.0
2010-1,E01000285,1,1,1.0
2010-1,E01000287,2,2,1.0
2010-1,E01000288,2,2,1.0
2010-1,E01000290,1,1,1.0
2010-1,E01000293,5,5,1.0
2010-1,E01000294,2,2,1.0
2010-1,E01000295,1,1,1.0
2010-1,E01000296,2,2,1.0
2010-1,E01000297,2,2,1.0
2010-1,E01000299,2,2,1.0
2010-1,E01000301,5,5,1.0
2010-1,E01000302,4,4,1.0
2010-1,E01000305,6,6,1.0
2010-1,E01000307,2,2,1.0
2010-1,E01000309,2,2,1.0
2010-1,E01000310,3,3,1.0
2010-1,E01000311,1,1,1.0
2010-1,E01000312,1,1,1.0
2010-1,E01000316,2,2,1.0
2010-1,E01000317,4,2,2.0
2010-1,E01000318,1,1,1.0
2010-1,E01000319,1,1,1.0
2010-1,E01000320,3,2,1.5
2010-1,E01000332,1,1,1.0
2010-1,E01000335,1,1,1.0
2010-1,E01000338,1,1,1.0
2010-1,E01000379,1,1,1.0
2010-1,E01000392,1,1,1.0
2010-1,E01000412,1,1,1.0
2010-1,E01000433,1,1,1.0
2010-1,E01000471,2,1,2.0
2010-1,E01000497,1,1,1.0
2010-1,E01000516,1,1,1.0
2010-1,E01000530,5,1,5.0
2010-1,E01000531,2,1,2.0
2010-1,E01000532,5,1,5.0
2010-1,E01000543,1,1,1.0
2010-1,E01000548,1,1,1.0
2010-1,E01000553,1,1,1.0
2010-1,E01000555,1,1,1.0
2010-1,E01000571,1,1,1.0
2010-1,E01000585,1,1,1.0
2010-1,E01000586,2,2,1.0
2010-1,E01000649,2,1,2.0
2010-1,E01000671,2,2,1.0
2010-1,E01000704,1,1,1.0
2010-1,E01000714,1,1,1.0
2010-1,E01000718,1,1,1.0
2010-1,E01000733,1,1,1.0
2010-1,E01000740,1,1,1.0
2010-1,E01000742,1,1,1.0
2010-1,E01000748,4,1,4.0
2010-1,E01000751,1,1,1.0
2010-1,E01000790,1,1,1.0
2010-1,E01000799,2,1,2.0
2010-1,E01000810,1,1,1.0
2010-1,E01000855,1,1,1.0
2010-1,E01000856,2,1,2.0
2010-1,E01000859,1,1,1.0
2010-1,E01000863,1,1,1.0
2010-1,E01000878,1,1,1.0
2010-1,E01000899,1,1,1.0
2010-1,E01000900,1,1,1.0
2010-1,E01000909,1,1,1.0
2010-1,E01000918,1,1,1.0
2010-1,E01000940,1,1,1.0
2010-1,E01000946,1,1,1.0
2010-1,E01000963,2,2,1.0
2010-1,E01000969,1,1,1.0
2010-1,E01001004,3,1,3.0
2010-1,E01001019,1,1,1.0
2010-1,E01001020,1,1,1.0
2010-1,E01001031,1,1,1.0
2010-1,E01001035,1,1,1.0
2010-1,E01001057,1,1,1.0
2010-1,E01001074,1,1,1.0
2010-1,E01001088,1,1,1.0
2010-1,E01001094,2,2,1.0
2010-1,E01001102,1,1,1.0
2010-1,E01001133,1,1,1.0
2010-1,E01001155,1,1,1.0
2010-1,E01001159,1,1,1.0
2010-1,E01001164,1,1,1.0
2010-1,E01001168,1,1,1.0
2010-1,E01001240,1,1,1.0
2010-1,E01001242,1,1,1.0
2010-1,E01001245,1,1,1.0
2010-1,E01001249,1,1,1.0
2010-1,E01001252,3,1,3.0
2010-1,E01001255,1,1,1.0
2010-1,E01001269,1,1,1.0
2010-1,E01001289,1,1,1.0
2010-1,E01001294,1,1,1.0
2010-1,E01001295,1,1,1.0
2010-1,E01001323,1,1,1.0
2010-1,E01001353,1,1,1.0
2010-1,E01001354,1,1,1.0
2010-1,E01001365,1,1,1.0
2010-1,E01001449,1,1,1.0
2010-1,E01001459,1,1,1.0
