lsoa,reports,unique_users,average_per_user
95AA11S1,1,1,1.0
95AA14W1,1,1,1.0
95BB03S1,1,1,1.0
95BB03S2,1,1,1.0
95BB05S2,1,1,1.0
95BB07S1,1,1,1.0
95BB10S1,1,1,1.0
95BB11S2,1,1,1.0
95BB12S2,1,1,1.0
95BB15S1,6,1,6.0
95BB16S1,1,1,1.0
95BB18S1,1,1,1.0
95BB18S2,1,1,1.0
95BB19S3,1,1,1.0
95BB21S2,4,1,4.0
95BB22S1,2,2,1.0
95BB23S1,1,1,1.0
95CC03W1,1,1,1.0
95CC06S1,1,1,1.0
95CC13W1,1,1,1.0
95CC18W1,2,2,1.0
95CC20S1,1,1,1.0
95DD08W1,1,1,1.0
95DD14S1,1,1,1.0
95DD21W1,1,1,1.0
95FF01S2,1,1,1.0
95FF17W1,1,1,1.0
95GG03S3,1,1,1.0
95GG04S1,1,1,1.0
95GG06S2,3,2,1.5
95GG06S3,7,2,3.5
95GG09S1,2,1,2.0
95GG10S2,2,1,2.0
95GG11S1,2,1,2.0
95GG12S1,1,1,1.0
95GG12S2,5,1,5.0
95GG12S3,8,2,4.0
95GG12S4,1,1,1.0
95GG13S3,1,1,1.0
95GG14S2,1,1,1.0
95GG15S1,1,1,1.0
95GG15S3,1,1,1.0
95GG16S2,1,1,1.0
95GG16S3,1,1,1.0
95GG17S3,1,1,1.0
95GG18S2,2,2,1.0
95GG19S2,1,1,1.0
95GG20S2,1,1,1.0
95GG21S1,1,1,1.0
95GG21S3,1,1,1.0
95GG22S1,1,1,1.0
95GG22S3,1,1,1.0
95GG25S1,1,1,1.0
95GG29S2,1,1,1.0
95GG31S1,1,1,1.0
95GG34S3,1,1,1.0
95GG35S1,1,1,1.0
95GG36S1,1,1,1.0
95GG37S1,1,1,1.0
95GG41S2,1,1,1.0
95GG42S4,1,1,1.0
95GG43S1,1,1,1.0
95GG44S1,1,1,1.0
95GG44S2,1,1,1.0
95GG45S1,1,1,1.0
95GG46S1,1,1,1.0
95GG47S1,1,1,1.0
95GG49S2,1,1,1.0
95GG49S3,1,1,1.0
95HH03W1,1,1,1.0
95HH04S2,1,1,1.0
95HH06S1,2,2,1.0
95HH06S2,2,2,1.0
95HH08W1,2,2,1.0
95HH09W1,1,1,1.0
95HH12W1,1,1,1.0
95HH13W1,1,1,1.0
95HH14W1,1,1,1.0
95HH15W1,2,2,1.0
95HH17W1,1,1,1.0
95II01S2,1,1,1.0
95II04S1,3,1,3.0
95II13W1,2,2,1.0
95II18W1,1,1,1.0
95II19S1,2,2,1.0
95JJ08S1,1,1,1.0
95JJ09W1,1,1,1.0
95JJ17W1,2,2,1.0
95KK03W1,2,1,2.0
95KK07W1,1,1,1.0
95LL02S2,2,2,1.0
95LL04W1,3,1,3.0
95LL09S1,1,1,1.0
95LL15S2,1,1,1.0
95LL16S2,1,1,1.0
95LL19S1,1,1,1.0
95LL19S2,1,1,1.0
95LL23W1,2,1,2.0
95LL25S2,2,2,1.0
95LL26S1,2,2,1.0
95MM01S2,1,1,1.0
95MM12S1,2,1,2.0
95MM13S2,1,1,1.0
95MM13S4,1,1,1.0
95MM18S2,1,1,1.0
95MM25S2,1,1,1.0
95MM27S1,1,1,1.0
95MM28W1,1,1,1.0
95NN03S1,1,1,1.0
95NN03S2,1,1,1.0
95NN13W1,2,2,1.0
95NN21W1,1,1,1.0
95NN22W1,1,1,1.0
95OO07W1,1,1,1.0
95PP04W1,1,1,1.0
95PP10W1,2,1,2.0
95PP11W1,1,1,1.0
95PP15W1,1,1,1.0
95PP17W1,1,1,1.0
95PP18W1,1,1,1.0
95PP19W1,1,1,1.0
95PP21W1,6,1,6.0
95PP23W1,2,2,1.0
95QQ02W1,1,1,1.0
95QQ07W1,1,1,1.0
95QQ09W1,1,1,1.0
95SS01S1,1,1,1.0
95SS02S2,1,1,1.0
95SS03S1,1,1,1.0
95SS05S1,1,1,1.0
95SS05S2,2,2,1.0
95SS07S3,1,1,1.0
