lsoa,reports,unique_users,average_per_user
95BB01S2,1,1,1.0
95BB02W1,1,1,1.0
95BB15S1,1,1,1.0
95BB21S2,2,1,2.0
95DD02S1,1,1,1.0
95EE05W1,1,1,1.0
95GG01S3,1,1,1.0
95GG37S1,1,1,1.0
95GG40S2,1,1,1.0
95GG50S1,1,1,1.0
95II03S2,1,1,1.0
95II19S1,1,1,1.0
95II21W1,1,1,1.0
95LL13S2,1,1,1.0
95MM12S1,2,1,2.0
95MM20S2,1,1,1.0
95NN14S1,1,1,1.0
95NN16S1,1,1,1.0
95PP20W1,1,1,1.0
95QQ13W1,1,1,1.0
95SS03S1,1,1,1.0
95SS08S1,2,1,2.0
95SS08S2,1,1,1.0
95VV26W1,1,1,1.0
95VV27W1,2,1,2.0
95WW13S2,1,1,1.0
E01000001,1,1,1.0
E01000003,2,2,1.0
E01000032,1,1,1.0
E01000049,1,1,1.0
E01000075,1,1,1.0
E01000112,1,1,1.0
E01000117,3,2,1.5
E01000118,1,1,1.0
E01000124,2,2,1.0
E01000128,1,1,1.0
E01000132,2,1,2.0
E01000135,1,1,1.0
E01000138,2,2,1.0
E01000141,1,1,1.0
E01000144,1,1,1.0
E01000148,2,1,2.0
E01000150,5,3,1.6666666666666667
E01000157,5,2,2.5
E01000158,5,4,1.25
E01000160,4,3,1.3333333333333333
E01000161,1,1,1.0
E01000163,1,1,1.0
E01000167,1,1,1.0
E01000169,4,2,2.0
E01000170,1,1,1.0
E01000173,1,1,1.0
E01000180,1,1,1.0
E01000186,1,1,1.0
E01000188,2,1,2.0
E01000190,2,2,1.0
E01000192,1,1,1.0
E01000193,1,1,1.0
E01000198,3,2,1.5
E01000199,2,2,1.0
E01000202,2,1,2.0
E01000203,1,1,1.0
E01000204,2,2,1.0
E01000205,4,2,2.0
E01000206,1,1,1.0
E01000207,2,2,1.0
E01000211,2,2,1.0
E01000212,1,1,1.0
E01000213,2,2,1.0
E01000221,2,2,1.0
E01000228,1,1,1.0
E01000230,1,1,1.0
E01000234,2,2,1.0
E01000235,2,2,1.0
E01000237,1,1,1.0
E01000238,2,1,2.0
E01000241,1,1,1.0
E01000242,1,1,1.0
E01000245,1,1,1.0
E01000246,1,1,1.0
E01000247,1,1,1.0
E01000249,1,1,1.0
E01000250,2,2,1.0
E01000253,2,2,1.0
E01000254,1,1,1.0
E01000258,2,2,1.0
E01000260,4,3,1.3333333333333333
E01000263,1,1,1.0
E01000267,1,1,1.0
E01000269,1,1,1.0
E01000271,1,1,1.0
E01000272,4,1,4.0
E01000273,3,3,1.0
E01000283,2,1,2.0
E01000286,1,1,1.0
