period,LSOA,SHEF_A_CODE,report_count,user_count,average
2008-2,,A54,1,1,1.0
2008-2,E01000001,A86,1,1,1.0
2008-2,E01000002,A81,1,1,1.0
2008-2,E01000040,A1,1,1,1.0
2008-2,E01000207,A57,2,1,2.0
2008-2,E01000210,A41,1,1,1.0
2008-2,E01000236,A54,1,1,1.0
2008-2,E01000238,A1,1,1,1.0
2008-2,E01000238,A73,1,1,1.0
2008-2,E01000246,A1,1,1,1.0
2008-2,E01000248,A20,1,1,1.0
2008-2,E01000286,A57,1,1,1.0
2008-2,E01000310,A29,1,1,1.0
2008-2,E01000408,A29,1,1,1.0
2008-2,E01000690,A20,1,1,1.0
2008-2,E01000695,A57,1,1,1.0
2008-2,E01000699,A73,1,1,1.0
2008-2,E01000751,A33,1,1,1.0
2008-2,E01000756,A33,2,1,2.0
2008-2,E01000775,A29,1,1,1.0
2008-2,E01000802,A20,1,1,1.0
2008-2,E01000863,A86,1,1,1.0
2008-2,E01000914,A83,1,1,1.0
2008-2,E01000969,A94,1,1,1.0
2008-2,E01000985,A54,1,1,1.0
2008-2,E01001027,A60,1,1,1.0
2008-2,E01001162,A53,1,1,1.0
2008-2,E01001211,A60,1,1,1.0
2008-2,E01001237,A33,1,1,1.0
2008-2,E01001245,A57,1,1,1.0
2008-2,E01001252,A81,1,1,1.0
2008-2,E01001253,A29,2,1,2.0
2008-2,E01001277,A86,1,1,1.0
2008-2,E01001302,A54,1,1,1.0
2008-2,E01001311,A81,1,1,1.0
2008-2,E01001321,A41,1,1,1.0
2008-2,E01001321,A57,1,1,1.0
2008-2,E01001326,A20,1,1,1.0
2008-2,E01001381,A29,1,1,1.0
2008-2,E01001381,A60,1,1,1.0
2008-2,E01001394,A60,1,1,1.0
2008-2,E01001403,A54,1,1,1.0
2008-2,E01001404,A53,1,1,1.0
2008-2,E01001465,A60,1,1,1.0
2008-2,E01001501,A60,1,1,1.0
2008-2,E01001506,A54,2,1,2.0
2008-2,E01001506,A60,1,1,1.0
2008-2,E01001530,A41,1,1,1.0
2008-2,E01001568,A60,1,1,1.0
2008-2,E01001570,A54,1,1,1.0
2008-2,E01001686,A33,1,1,1.0
2008-2,E01001716,A60,1,1,1.0
2008-2,E01001731,A82,1,1,1.0
2008-2,E01001742,A29,1,1,1.0
2008-2,E01001824,A82,1,1,1.0
2008-2,E01001845,A60,1,1,1.0
2008-2,E01001886,A81,1,1,1.0
2008-2,E01001894,A79,1,1,1.0
2008-2,E01001903,A82,1,1,1.0
2008-2,E01001933,A20,1,1,1.0
2008-2,E01001966,A1,1,1,1.0
2008-2,E01002000,A83,1,1,1.0
2008-2,E01002002,A57,1,1,1.0
2008-2,E01002003,A60,1,1,1.0
2008-2,E01002013,A54,1,1,1.0
2008-2,E01002018,A73,1,1,1.0
2008-2,E01002019,A57,1,1,1.0
2008-2,E01002019,A73,1,1,1.0
2008-2,E01002030,A29,1,1,1.0
2008-2,E01002037,A1,1,1,1.0
2008-2,E01002047,A60,1,1,1.0
2008-2,E01002048,A29,1,1,1.0
2008-2,E01002059,A33,1,1,1.0
2008-2,E01002063,A57,1,1,1.0
2008-2,E01002065,A29,1,1,1.0
2008-2,E01002065,A41,1,1,1.0
2008-2,E01002097,A54,1,1,1.0
2008-2,E01002113,A60,1,1,1.0
2008-2,E01002165,A20,1,1,1.0
2008-2,E01002264,A60,1,1,1.0
2008-2,E01002431,A1,1,1,1.0
2008-2,E01002470,A86,1,1,1.0
2008-2,E01002478,A57,1,1,1.0
2008-2,E01002574,A81,1,1,1.0
2008-2,E01002611,A29,1,1,1.0
2008-2,E01002611,A41,1,1,1.0
2008-2,E01002611,A54,1,1,1.0
2008-2,E01002613,A33,2,1,2.0
2008-2,E01002634,A41,1,1,1.0
