period,LSOA,SHEF_A_CODE,report_count,user_count,average
2015,,A29,4,1,4.0
2015,,A33,2,2,1.0
2015,,A41,1,1,1.0
2015,,A54,1,1,1.0
2015,,A60,1,1,1.0
2015,,A81,5,5,1.0
2015,95BB01S1,A83,1,1,1.0
2015,95BB01S2,A41,1,1,1.0
2015,95BB01S2,A53,1,1,1.0
2015,95BB05S1,A54,1,1,1.0
2015,95BB07S1,A81,1,1,1.0
2015,95BB07S2,A81,1,1,1.0
2015,95BB10S1,A81,4,1,4.0
2015,95BB11S2,A12,1,1,1.0
2015,95BB11S2,A81,5,2,2.5
2015,95BB12S2,A60,4,1,4.0
2015,95BB12S2,A81,1,1,1.0
2015,95BB15S1,A1,1,1,1.0
2015,95BB15S1,A41,5,1,5.0
2015,95BB15S1,A54,1,1,1.0
2015,95BB15S1,A81,1,1,1.0
2015,95BB15S2,A41,1,1,1.0
2015,95BB16S1,A60,1,1,1.0
2015,95BB17S2,A60,1,1,1.0
2015,95BB18S2,A57,1,1,1.0
2015,95BB18S2,A81,1,1,1.0
2015,95BB21S2,A81,9,2,4.5
2015,95CC18W1,A53,1,1,1.0
2015,95DD03W1,A81,1,1,1.0
2015,95DD19S1,A81,1,1,1.0
2015,95DD24W1,A81,1,1,1.0
2015,95FF05W1,A41,1,1,1.0
2015,95FF09W1,A81,1,1,1.0
2015,95GG01S3,A33,1,1,1.0
2015,95GG01S3,A81,1,1,1.0
2015,95GG07S2,A81,1,1,1.0
2015,95GG09S3,A33,1,1,1.0
2015,95GG09S3,A81,1,1,1.0
2015,95GG10S2,A33,1,1,1.0
2015,95GG11S3,A81,1,1,1.0
2015,95GG12S2,A33,1,1,1.0
2015,95GG12S2,A53,1,1,1.0
2015,95GG12S2,A54,1,1,1.0
2015,95GG12S3,A29,2,1,2.0
2015,95GG12S3,A54,2,1,2.0
2015,95GG12S3,A57,1,1,1.0
2015,95GG12S3,A79,1,1,1.0
2015,95GG13S3,A54,2,1,2.0
2015,95GG13S3,A57,1,1,1.0
2015,95GG13S3,A82,1,1,1.0
2015,95GG14S2,A81,1,1,1.0
2015,95GG18S2,A57,1,1,1.0
2015,95GG20S1,A57,1,1,1.0
2015,95GG20S2,A81,1,1,1.0
2015,95GG21S2,A20,1,1,1.0
2015,95GG22S1,A54,1,1,1.0
2015,95GG22S2,A54,1,1,1.0
2015,95GG32S1,A57,1,1,1.0
2015,95GG33S3,A60,1,1,1.0
2015,95GG34S2,A33,1,1,1.0
2015,95GG34S2,A57,1,1,1.0
2015,95GG34S3,A81,1,1,1.0
2015,95GG36S2,A57,1,1,1.0
2015,95GG36S2,A81,1,1,1.0
2015,95GG36S3,A54,1,1,1.0
