lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
95GG06S3,A1,1,1,1.0
95GG10S2,A1,1,1,1.0
95HH12W1,A1,2,1,2.0
95II04S2,A1,1,1,1.0
95II09S1,A1,1,1,1.0
95II17W1,A1,1,1,1.0
95II18W1,A1,1,1,1.0
95MM18S2,A1,1,1,1.0
95MM19S1,A1,1,1,1.0
95QQ02W1,A1,1,1,1.0
95VV12S1,A1,2,1,2.0
95WW06S1,A1,1,1,1.0
95WW20S2,A1,1,1,1.0
E01000014,A1,1,1,1.0
E01000015,A1,1,1,1.0
E01000017,A1,1,1,1.0
E01000025,A1,1,1,1.0
E01000035,A1,1,1,1.0
E01000041,A1,1,1,1.0
E01000042,A1,1,1,1.0
E01000068,A1,1,1,1.0
E01000074,A1,1,1,1.0
E01000075,A1,2,1,2.0
E01000091,A1,1,1,1.0
E01000092,A1,1,1,1.0
E01000098,A1,2,2,1.0
E01000110,A1,1,1,1.0
E01000111,A1,1,1,1.0
E01000114,A1,1,1,1.0
E01000115,A1,1,1,1.0
E01000117,A1,1,1,1.0
E01000118,A1,2,2,1.0
E01000119,A1,1,1,1.0
E01000120,A1,1,1,1.0
E01000122,A1,1,1,1.0
E01000123,A1,2,2,1.0
E01000125,A1,1,1,1.0
E01000127,A1,3,3,1.0
E01000128,A1,4,2,2.0
E01000130,A1,1,1,1.0
E01000132,A1,7,2,3.5
E01000133,A1,5,4,1.25
E01000148,A1,2,2,1.0
E01000153,A1,2,2,1.0
E01000155,A1,1,1,1.0
E01000157,A1,11,3,3.6666666666666665
E01000158,A1,2,2,1.0
E01000159,A1,2,2,1.0
E01000160,A1,4,3,1.3333333333333333
E01000163,A1,11,4,2.75
E01000164,A1,23,5,4.6
E01000165,A1,1,1,1.0
E01000167,A1,1,1,1.0
E01000168,A1,1,1,1.0
E01000169,A1,1,1,1.0
E01000171,A1,4,4,1.0
E01000176,A1,1,1,1.0
E01000182,A1,1,1,1.0
E01000188,A1,1,1,1.0
E01000189,A1,2,2,1.0
E01000190,A1,1,1,1.0
E01000198,A1,1,1,1.0
E01000202,A1,1,1,1.0
E01000205,A1,1,1,1.0
E01000206,A1,4,2,2.0
E01000211,A1,2,2,1.0
E01000215,A1,1,1,1.0
E01000226,A1,1,1,1.0
E01000227,A1,2,2,1.0
E01000228,A1,3,2,1.5
E01000229,A1,3,2,1.5
E01000231,A1,2,2,1.0
E01000232,A1,1,1,1.0
E01000233,A1,1,1,1.0
E01000235,A1,1,1,1.0
E01000237,A1,1,1,1.0
E01000238,A1,3,3,1.0
E01000243,A1,2,1,2.0
E01000245,A1,1,1,1.0
E01000246,A1,2,2,1.0
E01000247,A1,4,2,2.0
E01000250,A1,1,1,1.0
E01000251,A1,1,1,1.0
E01000253,A1,1,1,1.0
E01000254,A1,1,1,1.0
