lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
95MM12S1,A1,2,1,2.0
E01000030,A1,2,1,2.0
E01000132,A1,1,1,1.0
E01000148,A1,1,1,1.0
E01000152,A1,1,1,1.0
E01000157,A1,1,1,1.0
E01000164,A1,1,1,1.0
E01000167,A1,1,1,1.0
E01000208,A1,1,1,1.0
E01000211,A1,1,1,1.0
E01000231,A1,1,1,1.0
E01000232,A1,2,1,2.0
E01000264,A1,1,1,1.0
E01000267,A1,1,1,1.0
E01000327,A1,1,1,1.0
E01000334,A1,6,6,1.0
E01000335,A1,3,3,1.0
E01000337,A1,2,2,1.0
E01000338,A1,1,1,1.0
E01000341,A1,1,1,1.0
E01000343,A1,1,1,1.0
E01000356,A1,1,1,1.0
E01000357,A1,2,2,1.0
E01000358,A1,1,1,1.0
E01000362,A1,1,1,1.0
E01000363,A1,2,2,1.0
E01000364,A1,3,3,1.0
E01000365,A1,1,1,1.0
E01000367,A1,1,1,1.0
E01000369,A1,3,3,1.0
E01000371,A1,2,2,1.0
E01000372,A1,1,1,1.0
E01000373,A1,1,1,1.0
E01000374,A1,1,1,1.0
E01000375,A1,1,1,1.0
E01000376,A1,1,1,1.0
E01000378,A1,4,4,1.0
E01000380,A1,1,1,1.0
E01000381,A1,1,1,1.0
E01000383,A1,1,1,1.0
E01000384,A1,1,1,1.0
E01000385,A1,4,3,1.3333333333333333
E01000389,A1,1,1,1.0
E01000393,A1,3,3,1.0
E01000394,A1,1,1,1.0
E01000396,A1,5,5,1.0
E01000399,A1,2,1,2.0
E01000400,A1,1,1,1.0
E01000401,A1,1,1,1.0
E01000405,A1,4,4,1.0
E01000406,A1,1,1,1.0
E01000407,A1,1,1,1.0
E01000410,A1,3,3,1.0
E01000411,A1,2,2,1.0
E01000414,A1,1,1,1.0
E01000415,A1,4,4,1.0
E01000418,A1,4,2,2.0
E01000421,A1,2,2,1.0
E01000425,A1,1,1,1.0
E01000429,A1,1,1,1.0
E01000432,A1,1,1,1.0
E01000433,A1,1,1,1.0
E01000435,A1,2,2,1.0
E01000436,A1,1,1,1.0
E01000441,A1,1,1,1.0
E01000442,A1,1,1,1.0
E01000446,A1,1,1,1.0
E01000447,A1,1,1,1.0
E01000450,A1,1,1,1.0
E01000454,A1,1,1,1.0
E01000455,A1,1,1,1.0
E01000457,A1,2,2,1.0
E01000458,A1,1,1,1.0
E01000461,A1,1,1,1.0
E01000464,A1,1,1,1.0
E01000465,A1,1,1,1.0
E01000468,A1,2,2,1.0
E01000470,A1,1,1,1.0
E01000647,A1,2,2,1.0
E01000648,A1,2,2,1.0
E01000649,A1,1,1,1.0
E01000652,A1,1,1,1.0
E01000653,A1,1,1,1.0
E01000654,A1,1,1,1.0
E01000655,A1,1,1,1.0
E01000656,A1,1,1,1.0
E01000658,A1,1,1,1.0
E01000661,A1,1,1,1.0
E01000664,A1,1,1,1.0
E01000667,A1,2,2,1.0
E01000668,A1,2,2,1.0
E01000669,A1,3,3,1.0
E01000671,A1,1,1,1.0
E01000673,A1,1,1,1.0
E01000675,A1,3,3,1.0
E01000676,A1,1,1,1.0
E01000679,A1,1,1,1.0
E01000680,A1,1,1,1.0
E01000682,A1,1,1,1.0
E01000683,A1,2,2,1.0
E01000685,A1,4,3,1.3333333333333333
E01000686,A1,2,2,1.0
E01000687,A1,1,1,1.0
E01000689,A1,4,4,1.0
E01000690,A1,1,1,1.0
E01000691,A1,4,4,1.0
E01000692,A1,1,1,1.0
E01000693,A1,1,1,1.0
E01000694,A1,1,1,1.0
E01000695,A1,1,1,1.0
E01000699,A1,1,1,1.0
E01000701,A1,4,4,1.0
E01000703,A1,3,3,1.0
E01000704,A1,1,1,1.0
E01000705,A1,1,1,1.0
E01000706,A1,2,2,1.0
E01000708,A1,2,2,1.0
E01000711,A1,2,2,1.0
E01000715,A1,1,1,1.0
E01000716,A1,1,1,1.0
E01000717,A1,1,1,1.0
E01000718,A1,1,1,1.0
E01000719,A1,3,3,1.0
E01000720,A1,3,3,1.0
E01000722,A1,1,1,1.0
E01000724,A1,2,2,1.0
E01000726,A1,2,2,1.0
E01000728,A1,1,1,1.0
E01000729,A1,1,1,1.0
E01000730,A1,1,1,1.0
E01000732,A1,1,1,1.0
E01000733,A1,4,3,1.3333333333333333
E01000737,A1,1,1,1.0
E01000738,A1,1,1,1.0
E01000739,A1,1,1,1.0
E01000741,A1,4,3,1.3333333333333333
E01000742,A1,2,2,1.0
E01000744,A1,1,1,1.0
E01000745,A1,1,1,1.0
E01000746,A1,2,2,1.0
E01000747,A1,1,1,1.0
E01000755,A1,1,1,1.0
E01000756,A1,1,1,1.0
E01000758,A1,1,1,1.0
E01000760,A1,2,2,1.0
E01000761,A1,2,2,1.0
E01000764,A1,1,1,1.0
E01000767,A1,3,3,1.0
E01000768,A1,1,1,1.0
E01000769,A1,2,2,1.0
E01000775,A1,1,1,1.0
E01000780,A1,4,4,1.0
E01000785,A1,1,1,1.0
E01000787,A1,1,1,1.0
E01000789,A1,2,2,1.0
E01000790,A1,4,4,1.0
E01000792,A1,1,1,1.0
E01000794,A1,3,2,1.5
E01000795,A1,2,2,1.0
E01000797,A1,2,2,1.0
E01000798,A1,2,2,1.0
E01000799,A1,1,1,1.0
E01000800,A1,3,3,1.0
E01000802,A1,2,1,2.0
E01000805,A1,2,2,1.0
E01000806,A1,2,2,1.0
E01000807,A1,1,1,1.0
E01000808,A1,2,2,1.0
E01000810,A1,1,1,1.0
E01000814,A1,1,1,1.0
E01000816,A1,1,1,1.0
E01000818,A1,2,2,1.0
E01000819,A1,1,1,1.0
E01000820,A1,1,1,1.0
E01000825,A1,1,1,1.0
E01000827,A1,1,1,1.0
E01000834,A1,1,1,1.0
E01000840,A1,2,2,1.0
E01000841,A1,3,2,1.5
E01000894,A1,2,1,2.0
E01000896,A1,2,1,2.0
E01000914,A1,1,1,1.0
