period,LSOA,SHEF_B_CODE,report_count,user_count,average
2009-3,,B13,1,1,1.0
2009-3,E01000002,B28,1,1,1.0
2009-3,E01000007,B25,2,1,2.0
2009-3,E01000009,B25,2,1,2.0
2009-3,E01000039,B19,1,1,1.0
2009-3,E01000129,B13,1,1,1.0
2009-3,E01000138,B25,1,1,1.0
2009-3,E01000155,B13,1,1,1.0
2009-3,E01000160,B6,1,1,1.0
2009-3,E01000197,B26,1,1,1.0
2009-3,E01000203,B18,1,1,1.0
2009-3,E01000210,B26,1,1,1.0
2009-3,E01000243,B18,1,1,1.0
2009-3,E01000250,B24,1,1,1.0
2009-3,E01000258,B28,1,1,1.0
2009-3,E01000260,B18,1,1,1.0
2009-3,E01000276,B26,1,1,1.0
2009-3,E01000290,B16,1,1,1.0
2009-3,E01000298,B16,1,1,1.0
2009-3,E01000304,B25,1,1,1.0
2009-3,E01000309,B1,1,1,1.0
2009-3,E01000320,B6,1,1,1.0
2009-3,E01000364,B25,1,1,1.0
2009-3,E01000371,B26,1,1,1.0
2009-3,E01000404,B4,1,1,1.0
2009-3,E01000412,B25,1,1,1.0
2009-3,E01000416,B26,1,1,1.0
2009-3,E01000424,B16,1,1,1.0
2009-3,E01000446,B6,1,1,1.0
2009-3,E01000455,B26,1,1,1.0
2009-3,E01000471,B16,1,1,1.0
2009-3,E01000490,B26,1,1,1.0
2009-3,E01000530,B6,1,1,1.0
2009-3,E01000531,B6,1,1,1.0
2009-3,E01000553,B26,7,3,2.3333333333333335
2009-3,E01000554,B26,2,1,2.0
2009-3,E01000555,B25,1,1,1.0
2009-3,E01000558,B26,1,1,1.0
2009-3,E01000567,B25,1,1,1.0
2009-3,E01000579,B14,1,1,1.0
2009-3,E01000584,B26,1,1,1.0
2009-3,E01000585,B14,4,1,4.0
2009-3,E01000585,B26,5,1,5.0
2009-3,E01000586,B14,11,1,11.0
2009-3,E01000586,B19,1,1,1.0
2009-3,E01000586,B27,1,1,1.0
2009-3,E01000601,B25,1,1,1.0
2009-3,E01000645,B18,1,1,1.0
2009-3,E01000667,B1,1,1,1.0
2009-3,E01000677,B26,1,1,1.0
2009-3,E01000694,B1,1,1,1.0
